Term: analytics                      Term Frequency: 48        
Term: learning                       Term Frequency: 47        
Term: students                       Term Frequency: 43        
Term: data                           Term Frequency: 37        
Term: n                              Term Frequency: 26        
Term: student                        Term Frequency: 26        
Term: privacy                        Term Frequency: 25        
Term: percent                        Term Frequency: 24        
Term: were                           Term Frequency: 22        
Term: may                            Term Frequency: 18        
Term: about                          Term Frequency: 16        
Term: from                           Term Frequency: 16        
Term: institutions                   Term Frequency: 13        
Term: survey                         Term Frequency: 13        
Term: 1                              Term Frequency: 11        
Term: have                           Term Frequency: 11        
Term: more                           Term Frequency: 11        
Term: used                           Term Frequency: 10        
Term: 2016                           Term Frequency: 10        
Term: ethics                         Term Frequency: 9         
Term: while                          Term Frequency: 9         
Term: has                            Term Frequency: 9         
Term: however                        Term Frequency: 9         
Term: 3                              Term Frequency: 8         
Term: ethical                        Term Frequency: 8         
Term: use                            Term Frequency: 8         
Term: 17                             Term Frequency: 8         
Term: them                           Term Frequency: 8         
Term: questions                      Term Frequency: 8         
Term: educational                    Term Frequency: 8         
Term: years                          Term Frequency: 8         
Term: system                         Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: 2                              Term Frequency: 7         
Term: education                      Term Frequency: 7         
Term: which                          Term Frequency: 7         
Term: been                           Term Frequency: 7         
Term: 2017                           Term Frequency: 7         
Term: 6                              Term Frequency: 6         
Term: 7                              Term Frequency: 6         
Term: information                    Term Frequency: 6         
Term: methodology                    Term Frequency: 6         
Term: concerns                       Term Frequency: 6         
Term: issues                         Term Frequency: 6         
Term: must                           Term Frequency: 6         
Term: yes                            Term Frequency: 6         
Term: you                            Term Frequency: 6         
Term: enrolled                       Term Frequency: 6         
Term: all                            Term Frequency: 6         
Term: would                          Term Frequency: 5         
Term: 4                              Term Frequency: 5         
Term: applied                        Term Frequency: 5         
Term: three                          Term Frequency: 5         
Term: experience                     Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: many                           Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: tool                           Term Frequency: 5         
Term: research                       Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: than                           Term Frequency: 5         
Term: one                            Term Frequency: 5         
Term: we                             Term Frequency: 5         
Term: respondents                    Term Frequency: 5         
Term: purposes                       Term Frequency: 5         
Term: your                           Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: other                          Term Frequency: 5         
Term: where                          Term Frequency: 5         
Term: higher                         Term Frequency: 5         
