Term: learners                       Term Frequency: 26        
Term: visualizations                 Term Frequency: 24        
Term: learning                       Term Frequency: 20        
Term: were                           Term Frequency: 14        
Term: 2                              Term Frequency: 12        
Term: numeracy                       Term Frequency: 12        
Term: visualization                  Term Frequency: 11        
Term: 1                              Term Frequency: 10        
Term: performance                    Term Frequency: 10        
Term: 3                              Term Frequency: 8         
Term: information                    Term Frequency: 7         
Term: analytics                      Term Frequency: 7         
Term: when                           Term Frequency: 7         
Term: conditions                     Term Frequency: 7         
Term: participants                   Term Frequency: 7         
Term: 7                              Term Frequency: 6         
Term: discussion                     Term Frequency: 6         
Term: how                            Term Frequency: 6         
Term: use                            Term Frequency: 6         
Term: internal                       Term Frequency: 6         
Term: from                           Term Frequency: 6         
Term: all                            Term Frequency: 6         
Term: one                            Term Frequency: 6         
Term: would                          Term Frequency: 5         
Term: 4                              Term Frequency: 5         
Term: 6                              Term Frequency: 5         
Term: must                           Term Frequency: 5         
Term: test                           Term Frequency: 5         
Term: graphicacy                     Term Frequency: 5         
Term: interviewees                   Term Frequency: 5         
Term: online                         Term Frequency: 5         
Term: study                          Term Frequency: 5         
Term: more                           Term Frequency: 5         
Term: both                           Term Frequency: 5         
Term: effects                        Term Frequency: 5         
Term: cognitive                      Term Frequency: 5         
Term: feedback                       Term Frequency: 5         
Term: goal                           Term Frequency: 5         
Term: self                           Term Frequency: 5         
Term: orientation                    Term Frequency: 5         
Term: 5                              Term Frequency: 4         
Term: 8                              Term Frequency: 4         
Term: provided                       Term Frequency: 4         
Term: activities                     Term Frequency: 4         
Term: each                           Term Frequency: 4         
Term: two                            Term Frequency: 4         
Term: judgments                      Term Frequency: 4         
Term: low                            Term Frequency: 4         
Term: graph                          Term Frequency: 4         
Term: made                           Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: though                         Term Frequency: 4         
Term: strategies                     Term Frequency: 4         
Term: achievement                    Term Frequency: 4         
Term: discussions                    Term Frequency: 4         
Term: results                        Term Frequency: 4         
Term: individual                     Term Frequency: 4         
Term: factors                        Term Frequency: 4         
Term: s                              Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: academic                       Term Frequency: 3         
Term: including                      Term Frequency: 3         
Term: prototypes                     Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: group                          Term Frequency: 3         
Term: impact                         Term Frequency: 3         
Term: 2012                           Term Frequency: 3         
Term: being                          Term Frequency: 3         
Term: together                       Term Frequency: 3         
Term: may                            Term Frequency: 3         
Term: within                         Term Frequency: 3         
Term: best                           Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: designers                      Term Frequency: 3         
Term: regulation                     Term Frequency: 3         
Term: reflect                        Term Frequency: 3         
Term: goals                          Term Frequency: 3         
Term: based                          Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: quality                        Term Frequency: 3         
Term: intentions                     Term Frequency: 3         
Term: http                           Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: either                         Term Frequency: 3         
Term: courses                        Term Frequency: 3         
Term: risk                           Term Frequency: 3         
Term: utilize                        Term Frequency: 3         
Term: differences                    Term Frequency: 3         
Term: who                            Term Frequency: 3         
Term: high                           Term Frequency: 3         
Term: interviews                     Term Frequency: 3         
Term: support                        Term Frequency: 3         
Term: we                             Term Frequency: 3         
Term: types                          Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: data                           Term Frequency: 3         
Term: numerical                      Term Frequency: 3         
Term: contributor                    Term Frequency: 3         
Term: cognition                      Term Frequency: 3         
Term: without                        Term Frequency: 2         
Term: mastery                        Term Frequency: 2         
Term: external                       Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: approach                       Term Frequency: 2         
Term: understand                     Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: particularly                   Term Frequency: 2         
Term: upon                           Term Frequency: 2         
Term: less                           Term Frequency: 2         
Term: design                         Term Frequency: 2         
Term: quantitative                   Term Frequency: 2         
Term: blended                        Term Frequency: 2         
Term: has                            Term Frequency: 2         
Term: dx.doi.org                     Term Frequency: 2         
Term: median                         Term Frequency: 2         
Term: correlated                     Term Frequency: 2         
Term: memory                         Term Frequency: 2         
Term: assumptions                    Term Frequency: 2         
Term: perceived                      Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: 3027385.3029487                Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: preference                     Term Frequency: 2         
Term: assigned                       Term Frequency: 2         
Term: adult                          Term Frequency: 2         
Term: some                           Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: hypothesized                   Term Frequency: 2         
Term: framing                        Term Frequency: 2         
Term: messages                       Term Frequency: 2         
Term: numerate                       Term Frequency: 2         
Term: feel                           Term Frequency: 2         
Term: international                  Term Frequency: 2         
Term: literacy                       Term Frequency: 2         
Term: depicted                       Term Frequency: 2         
Term: about                          Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: don’t                          Term Frequency: 2         
Term: 50                             Term Frequency: 2         
Term: common                         Term Frequency: 2         
Term: 75                             Term Frequency: 2         
Term: 80                             Term Frequency: 2         
Term: work                           Term Frequency: 2         
Term: abstract                       Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: score                          Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: utility                        Term Frequency: 2         
Term: instructions                   Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: act                            Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: often                          Term Frequency: 2         
Term: trust                          Term Frequency: 2         
Term: number                         Term Frequency: 2         
Term: distributed                    Term Frequency: 2         
Term: aid                            Term Frequency: 2         
Term: new                            Term Frequency: 2         
Term: below                          Term Frequency: 2         
Term: rated                          Term Frequency: 2         
Term: resulted                       Term Frequency: 2         
Term: individuals                    Term Frequency: 2         
Term: what                           Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: lowest                         Term Frequency: 2         
Term: used                           Term Frequency: 2         
Term: contribute                     Term Frequency: 2         
Term: visually                       Term Frequency: 2         
Term: also                           Term Frequency: 2         
Term: affect                         Term Frequency: 2         
Term: incorrect                      Term Frequency: 2         
Term: regulatory                     Term Frequency: 2         
Term: peers                          Term Frequency: 2         
Term: four                           Term Frequency: 2         
Term: tasks                          Term Frequency: 2         
Term: posts                          Term Frequency: 2         
Term: than                           Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: mixed                          Term Frequency: 2         
Term: social                         Term Frequency: 2         
Term: objective                      Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: graphically                    Term Frequency: 2         
Term: emphasize                      Term Frequency: 2         
Term: technology                     Term Frequency: 2         
Term: comprehension                  Term Frequency: 2         
Term: own                            Term Frequency: 2         
Term: development                    Term Frequency: 2         
Term: proposed                       Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: questionnaires                 Term Frequency: 2         
Term: functions                      Term Frequency: 1         
Term: volunteers                     Term Frequency: 1         
Term: avoidance                      Term Frequency: 1         
Term: replies                        Term Frequency: 1         
Term: 9                              Term Frequency: 1         
Term: poorly                         Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: heuristics                     Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: rational                       Term Frequency: 1         
Term: echoed                         Term Frequency: 1         
Term: combined                       Term Frequency: 1         
Term: correct                        Term Frequency: 1         
Term: anchoring                      Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: imdb                           Term Frequency: 1         
Term: success                        Term Frequency: 1         
Term: instrument                     Term Frequency: 1         
Term: divides                        Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: considered                     Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: assisted                       Term Frequency: 1         
Term: strongly                       Term Frequency: 1         
Term: matter                         Term Frequency: 1         
Term: indicating                     Term Frequency: 1         
Term: motivational                   Term Frequency: 1         
Term: tertile                        Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: pivotal                        Term Frequency: 1         
Term: exhibiting                     Term Frequency: 1         
Term: 672                            Term Frequency: 1         
Term: comparison                     Term Frequency: 1         
Term: 680                            Term Frequency: 1         
Term: substantiated                  Term Frequency: 1         
Term: 218                            Term Frequency: 1         
Term: performing                     Term Frequency: 1         
Term: stable                         Term Frequency: 1         
Term: concert                        Term Frequency: 1         
Term: quartile                       Term Frequency: 1         
Term: want                           Term Frequency: 1         
Term: recognize                      Term Frequency: 1         
Term: comparisons                    Term Frequency: 1         
Term: difference                     Term Frequency: 1         
Term: 250                            Term Frequency: 1         
Term: pop                            Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: desired                        Term Frequency: 1         
Term: reported                       Term Frequency: 1         
Term: participate                    Term Frequency: 1         
Term: disparate                      Term Frequency: 1         
Term: formative                      Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: anything                       Term Frequency: 1         
Term: yet                            Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: time                           Term Frequency: 1         
Term: measured                       Term Frequency: 1         
Term: forming                        Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: her                            Term Frequency: 1         
Term: options                        Term Frequency: 1         
Term: conclusions                    Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: methods                        Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: randomly                       Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: recognizing                    Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: created                        Term Frequency: 1         
Term: format                         Term Frequency: 1         
Term: misconstrued                   Term Frequency: 1         
Term: tend                           Term Frequency: 1         
Term: interviewee                    Term Frequency: 1         
Term: interaction                    Term Frequency: 1         
Term: been                           Term Frequency: 1         
Term: regulated                      Term Frequency: 1         
Term: areas                          Term Frequency: 1         
Term: evaluation                     Term Frequency: 1         
Term: cityscape                      Term Frequency: 1         
Term: visualized                     Term Frequency: 1         
Term: opportunity                    Term Frequency: 1         
Term: population                     Term Frequency: 1         
Term: influential                    Term Frequency: 1         
Term: emotional                      Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: quarter                        Term Frequency: 1         
Term: represent                      Term Frequency: 1         
Term: sometimes                      Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: later                          Term Frequency: 1         
Term: 2001                           Term Frequency: 1         
Term: impulsivity                    Term Frequency: 1         
Term: relatively                     Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: additional                     Term Frequency: 1         
Term: 2011                           Term Frequency: 1         
Term: standings                      Term Frequency: 1         
Term: states                         Term Frequency: 1         
Term: 2007                           Term Frequency: 1         
Term: 2005                           Term Frequency: 1         
Term: ignore                         Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: monitor                        Term Frequency: 1         
Term: 2017                           Term Frequency: 1         
Term: 2015                           Term Frequency: 1         
Term: interpret                      Term Frequency: 1         
Term: superficial                    Term Frequency: 1         
Term: text                           Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: known                          Term Frequency: 1         
Term: socially                       Term Frequency: 1         
Term: subject                        Term Frequency: 1         
Term: motivated                      Term Frequency: 1         
Term: tooltips                       Term Frequency: 1         
Term: since                          Term Frequency: 1         
Term: provisioning                   Term Frequency: 1         
Term: sought                         Term Frequency: 1         
Term: thread                         Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: due                            Term Frequency: 1         
Term: evident                        Term Frequency: 1         
Term: opinions                       Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: interpretations                Term Frequency: 1         
Term: 10                             Term Frequency: 1         
Term: 11                             Term Frequency: 1         
Term: 13                             Term Frequency: 1         
Term: myself                         Term Frequency: 1         
Term: 19                             Term Frequency: 1         
Term: undertaken                     Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: 20                             Term Frequency: 1         
Term: 21                             Term Frequency: 1         
Term: shared                         Term Frequency: 1         
Term: crossover                      Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: 27                             Term Frequency: 1         
Term: examines                       Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 31                             Term Frequency: 1         
Term: 35                             Term Frequency: 1         
Term: 39                             Term Frequency: 1         
Term: people                         Term Frequency: 1         
Term: designing                      Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: 42                             Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: numbers                        Term Frequency: 1         
Term: exemplified                    Term Frequency: 1         
Term: displaying                     Term Frequency: 1         
Term: judging                        Term Frequency: 1         
Term: allow                          Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: judgements                     Term Frequency: 1         
Term: ranged                         Term Frequency: 1         
Term: employ                         Term Frequency: 1         
Term: volunteered                    Term Frequency: 1         
Term: during                         Term Frequency: 1         
Term: versions                       Term Frequency: 1         
Term: stated                         Term Frequency: 1         
Term: foundation                     Term Frequency: 1         
Term: established                    Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: alongside                      Term Frequency: 1         
Term: exists                         Term Frequency: 1         
Term: first                          Term Frequency: 1         
Term: misled                         Term Frequency: 1         
Term: literate                       Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: deployed                       Term Frequency: 1         
Term: interact                       Term Frequency: 1         
Term: track                          Term Frequency: 1         
Term: constructed                    Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: ultimately                     Term Frequency: 1         
Term: currently                      Term Frequency: 1         
Term: biases                         Term Frequency: 1         
Term: visual                         Term Frequency: 1         
Term: because                        Term Frequency: 1         
Term: 102nd                          Term Frequency: 1         
Term: navigate                       Term Frequency: 1         
Term: biased                         Term Frequency: 1         
Term: 1230                           Term Frequency: 1         
Term: appropriate                    Term Frequency: 1         
Term: 1241                           Term Frequency: 1         
Term: posted                         Term Frequency: 1         
Term: aspect                         Term Frequency: 1         
Term: behavior                       Term Frequency: 1         
Term: mitigate                       Term Frequency: 1         
Term: probabilistic                  Term Frequency: 1         
Term: statcan.gc.ca                  Term Frequency: 1         
Term: representing                   Term Frequency: 1         
Term: pedagogically                  Term Frequency: 1         
Term: orientations                   Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: theorized                      Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: 1275                           Term Frequency: 1         
Term: users                          Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: environment                    Term Frequency: 1         
Term: 1289                           Term Frequency: 1         
Term: happens                        Term Frequency: 1         
Term: aesthetic                      Term Frequency: 1         
Term: tendency                       Term Frequency: 1         
Term: algorithm                      Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: algorithms                     Term Frequency: 1         
Term: other                          Term Frequency: 1         
Term: asked                          Term Frequency: 1         
Term: decisions                      Term Frequency: 1         
Term: polar                          Term Frequency: 1         
Term: pedagogy                       Term Frequency: 1         
Term: reflexivity                    Term Frequency: 1         
Term: read                           Term Frequency: 1         
Term: conducted                      Term Frequency: 1         
Term: tool                           Term Frequency: 1         
Term: differed                       Term Frequency: 1         
Term: stimulating                    Term Frequency: 1         
Term: credence                       Term Frequency: 1         
Term: influenced                     Term Frequency: 1         
Term: chose                          Term Frequency: 1         
Term: saying                         Term Frequency: 1         
Term: employment                     Term Frequency: 1         
Term: application                    Term Frequency: 1         
Term: reliant                        Term Frequency: 1         
Term: until                          Term Frequency: 1         
Term: risky                          Term Frequency: 1         
Term: thought                        Term Frequency: 1         
Term: accurate                       Term Frequency: 1         
Term: expertise                      Term Frequency: 1         
Term: apt                            Term Frequency: 1         
Term: expected                       Term Frequency: 1         
Term: monitoring                     Term Frequency: 1         
Term: complexity                     Term Frequency: 1         
Term: frequently                     Term Frequency: 1         
Term: attribute                      Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: centered                       Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: might                          Term Frequency: 1         
Term: 13450                          Term Frequency: 1         
Term: difficulty                     Term Frequency: 1         
Term: mhatala                        Term Frequency: 1         
Term: classes                        Term Frequency: 1         
Term: affective                      Term Frequency: 1         
Term: non                            Term Frequency: 1         
Term: locking                        Term Frequency: 1         
Term: contextual                     Term Frequency: 1         
Term: decide                         Term Frequency: 1         
Term: explanatory                    Term Frequency: 1         
Term: participating                  Term Frequency: 1         
Term: plan                           Term Frequency: 1         
Term: utilized                       Term Frequency: 1         
Term: simulated                      Term Frequency: 1         
Term: aptitude                       Term Frequency: 1         
Term: categories                     Term Frequency: 1         
Term: contextually                   Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: section                        Term Frequency: 1         
Term: influence                      Term Frequency: 1         
Term: most                           Term Frequency: 1         
Term: perceive                       Term Frequency: 1         
Term: mentioned                      Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: 3.2.1                          Term Frequency: 1         
Term: move                           Term Frequency: 1         
Term: saw                            Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: designerly                     Term Frequency: 1         
