Term: facebook                       Term Frequency: 123       
Term: media                          Term Frequency: 119       
Term: social                         Term Frequency: 115       
Term: literacy                       Term Frequency: 90        
Term: learning                       Term Frequency: 88        
Term: skills                         Term Frequency: 78        
Term: new                            Term Frequency: 78        
Term: data                           Term Frequency: 76        
Term: behaviors                      Term Frequency: 50        
Term: information                    Term Frequency: 45        
Term: analytics                      Term Frequency: 43        
Term: study                          Term Frequency: 41        
Term: online                         Term Frequency: 41        
Term: sharing                        Term Frequency: 37        
Term: network                        Term Frequency: 37        
Term: can                            Term Frequency: 37        
Term: from                           Term Frequency: 36        
Term: platforms                      Term Frequency: 36        
Term: analysis                       Term Frequency: 33        
Term: factor                         Term Frequency: 31        
Term: activity                       Term Frequency: 31        
Term: research                       Term Frequency: 28        
Term: one                            Term Frequency: 27        
Term: individuals                    Term Frequency: 26        
Term: networking                     Term Frequency: 25        
Term: literacies                     Term Frequency: 25        
Term: also                           Term Frequency: 25        
Term: participants                   Term Frequency: 25        
Term: how                            Term Frequency: 24        
Term: different                      Term Frequency: 24        
Term: variables                      Term Frequency: 22        
Term: example                        Term Frequency: 22        
Term: whether                        Term Frequency: 21        
Term: friends                        Term Frequency: 21        
Term: other                          Term Frequency: 21        
Term: more                           Term Frequency: 21        
Term: were                           Term Frequency: 20        
Term: behavior                       Term Frequency: 20        
Term: appropriation                  Term Frequency: 20        
Term: user                           Term Frequency: 19        
Term: 1                              Term Frequency: 18        
Term: 3                              Term Frequency: 18        
Term: activities                     Term Frequency: 18        
Term: share                          Term Frequency: 18        
Term: might                          Term Frequency: 18        
Term: popular                        Term Frequency: 18        
Term: technology                     Term Frequency: 18        
Term: researchers                    Term Frequency: 17        
Term: use                            Term Frequency: 17        
Term: communities                    Term Frequency: 17        
Term: particular                     Term Frequency: 17        
Term: participatory                  Term Frequency: 16        
Term: networks                       Term Frequency: 16        
Term: what                           Term Frequency: 16        
Term: platform                       Term Frequency: 15        
Term: ways                           Term Frequency: 15        
Term: related                        Term Frequency: 15        
Term: others                         Term Frequency: 15        
Term: may                            Term Frequency: 15        
Term: about                          Term Frequency: 15        
Term: work                           Term Frequency: 14        
Term: education                      Term Frequency: 14        
Term: links                          Term Frequency: 14        
Term: number                         Term Frequency: 14        
Term: however                        Term Frequency: 14        
Term: messaging                      Term Frequency: 14        
Term: messages                       Term Frequency: 14        
Term: exploratory                    Term Frequency: 14        
Term: through                        Term Frequency: 14        
Term: results                        Term Frequency: 14        
Term: table                          Term Frequency: 14        
Term: measures                       Term Frequency: 13        
Term: sociocultural                  Term Frequency: 13        
Term: negotiation                    Term Frequency: 13        
Term: play                           Term Frequency: 13        
Term: sites                          Term Frequency: 13        
Term: tools                          Term Frequency: 13        
Term: diverse                        Term Frequency: 13        
Term: one’s                          Term Frequency: 13        
Term: using                          Term Frequency: 13        
Term: science                        Term Frequency: 13        
Term: survey                         Term Frequency: 13        
Term: collection                     Term Frequency: 13        
Term: status                         Term Frequency: 12        
Term: via                            Term Frequency: 12        
Term: addition                       Term Frequency: 12        
Term: which                          Term Frequency: 12        
Term: ability                        Term Frequency: 12        
Term: opportunities                  Term Frequency: 12        
Term: measure                        Term Frequency: 12        
Term: develop                        Term Frequency: 12        
Term: strategies                     Term Frequency: 12        
Term: everyday                       Term Frequency: 12        
Term: environments                   Term Frequency: 12        
Term: collected                      Term Frequency: 12        
