Term: research                       Term Frequency: 21        
Term: evidence                       Term Frequency: 18        
Term: workshop                       Term Frequency: 15        
Term: learning                       Term Frequency: 13        
Term: analytics                      Term Frequency: 12        
Term: from                           Term Frequency: 11        
Term: field                          Term Frequency: 9         
Term: can                            Term Frequency: 9         
Term: plans                          Term Frequency: 8         
Term: 2                              Term Frequency: 7         
Term: findings                       Term Frequency: 7         
Term: use                            Term Frequency: 7         
Term: published                      Term Frequency: 7         
Term: 1                              Term Frequency: 6         
Term: improve                        Term Frequency: 6         
Term: researchers                    Term Frequency: 6         
Term: science                        Term Frequency: 6         
Term: learn                          Term Frequency: 6         
Term: http                           Term Frequency: 6         
Term: more                           Term Frequency: 6         
Term: which                          Term Frequency: 6         
Term: p                              Term Frequency: 5         
Term: success                        Term Frequency: 5         
Term: psychology                     Term Frequency: 5         
Term: part                           Term Frequency: 5         
Term: 2016                           Term Frequency: 5         
Term: problems                       Term Frequency: 5         
Term: base                           Term Frequency: 5         
Term: first                          Term Frequency: 5         
Term: poster                         Term Frequency: 5         
Term: failures                       Term Frequency: 5         
Term: significant                    Term Frequency: 5         
Term: negative                       Term Frequency: 5         
Term: very                           Term Frequency: 5         
Term: failure                        Term Frequency: 5         
Term: 3                              Term Frequency: 4         
Term: 6                              Term Frequency: 4         
Term: 8                              Term Frequency: 4         
Term: were                           Term Frequency: 4         
Term: each                           Term Frequency: 4         
Term: has                            Term Frequency: 4         
Term: provide                        Term Frequency: 4         
Term: build                          Term Frequency: 4         
Term: how                            Term Frequency: 4         
Term: other’s                        Term Frequency: 4         
Term: psychological                  Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: replications                   Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: other                          Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: most                           Term Frequency: 4         
Term: original                       Term Frequency: 4         
Term: also                           Term Frequency: 4         
Term: developed                      Term Frequency: 4         
Term: false                          Term Frequency: 4         
Term: second                         Term Frequency: 4         
Term: publication                    Term Frequency: 4         
Term: participants                   Term Frequency: 4         
Term: one                            Term Frequency: 4         
Term: we                             Term Frequency: 4         
Term: power                          Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: 4                              Term Frequency: 3         
Term: 7                              Term Frequency: 3         
Term: even                           Term Frequency: 3         
Term: particularly                   Term Frequency: 3         
Term: clinical                       Term Frequency: 3         
Term: objectives                     Term Frequency: 3         
