Term: students                       Term Frequency: 58        
Term: motion                         Term Frequency: 49        
Term: we                             Term Frequency: 44        
Term: student                        Term Frequency: 42        
Term: class                          Term Frequency: 41        
Term: attention                      Term Frequency: 34        
Term: classroom                      Term Frequency: 34        
Term: 1                              Term Frequency: 32        
Term: 2                              Term Frequency: 30        
Term: teacher                        Term Frequency: 25        
Term: which                          Term Frequency: 21        
Term: our                            Term Frequency: 21        
Term: from                           Term Frequency: 21        
Term: figure                         Term Frequency: 21        
Term: between                        Term Frequency: 20        
Term: person                         Term Frequency: 18        
Term: teachers                       Term Frequency: 17        
Term: p                              Term Frequency: 16        
Term: two                            Term Frequency: 16        
Term: lecture                        Term Frequency: 16        
Term: 4                              Term Frequency: 15        
Term: were                           Term Frequency: 15        
Term: shown                          Term Frequency: 14        
Term: time                           Term Frequency: 14        
Term: would                          Term Frequency: 13        
Term: d                              Term Frequency: 13        
Term: learning                       Term Frequency: 13        
Term: 3                              Term Frequency: 12        
Term: lag                            Term Frequency: 12        
Term: during                         Term Frequency: 12        
Term: more                           Term Frequency: 12        
Term: b                              Term Frequency: 11        
Term: has                            Term Frequency: 11        
Term: also                           Term Frequency: 11        
Term: can                            Term Frequency: 11        
Term: 5                              Term Frequency: 10        
Term: ofthe                          Term Frequency: 10        
Term: perception                     Term Frequency: 10        
Term: one                            Term Frequency: 10        
Term: correlation                    Term Frequency: 10        
Term: other                          Term Frequency: 10        
Term: level                          Term Frequency: 10        
Term: 6                              Term Frequency: 9         
Term: m                              Term Frequency: 9         
Term: v                              Term Frequency: 9         
Term: persons                        Term Frequency: 9         
Term: movement                       Term Frequency: 9         
Term: high                           Term Frequency: 9         
Term: s                              Term Frequency: 8         
Term: each                           Term Frequency: 8         
Term: interaction                    Term Frequency: 8         
Term: pages                          Term Frequency: 8         
Term: levels                         Term Frequency: 8         
Term: than                           Term Frequency: 8         
Term: data                           Term Frequency: 8         
Term: period                         Term Frequency: 8         
Term: represents                     Term Frequency: 8         
Term: found                          Term Frequency: 8         
Term: based                          Term Frequency: 8         
Term: number                         Term Frequency: 8         
Term: all                            Term Frequency: 8         
Term: both                           Term Frequency: 8         
Term: synchronization                Term Frequency: 8         
Term: further                        Term Frequency: 7         
Term: average                        Term Frequency: 7         
Term: intensity                      Term Frequency: 7         
Term: about                          Term Frequency: 7         
Term: 30                             Term Frequency: 7         
Term: trend                          Term Frequency: 7         
Term: research                       Term Frequency: 7         
Term: visible                        Term Frequency: 7         
Term: conference                     Term Frequency: 7         
Term: line                           Term Frequency: 7         
Term: how                            Term Frequency: 7         
Term: action                         Term Frequency: 7         
Term: periods                        Term Frequency: 7         
Term: measurements                   Term Frequency: 7         
Term: front                          Term Frequency: 7         
Term: sample                         Term Frequency: 7         
Term: over                           Term Frequency: 7         
Term: seconds                        Term Frequency: 7         
Term: 7                              Term Frequency: 6         
Term: 8                              Term Frequency: 6         
Term: c                              Term Frequency: 6         
Term: h                              Term Frequency: 6         
Term: i                              Term Frequency: 6         
Term: less                           Term Frequency: 6         
Term: reported                       Term Frequency: 6         
Term: teaching                       Term Frequency: 6         
Term: part                           Term Frequency: 6         
Term: 14                             Term Frequency: 6         
Term: education                      Term Frequency: 6         
Term: way                            Term Frequency: 6         
Term: who                            Term Frequency: 6         
Term: ii                             Term Frequency: 6         
Term: activity                       Term Frequency: 6         
Term: questionnaire                  Term Frequency: 6         
Term: immediate                      Term Frequency: 6         
Term: educational                    Term Frequency: 6         
Term: system                         Term Frequency: 6         
Term: personal                       Term Frequency: 6         
Term: current                        Term Frequency: 6         
Term: pairs                          Term Frequency: 6         
Term: individual                     Term Frequency: 6         
Term: others                         Term Frequency: 5         
Term: order                          Term Frequency: 5         
Term: have                           Term Frequency: 5         
Term: activities                     Term Frequency: 5         
Term: concept                        Term Frequency: 5         
Term: zone                           Term Frequency: 5         
Term: minutes                        Term Frequency: 5         
Term: perceived                      Term Frequency: 5         
Term: journal                        Term Frequency: 5         
Term: theclassroom                   Term Frequency: 5         
Term: main                           Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: 20                             Term Frequency: 5         
Term: 29                             Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: around                         Term Frequency: 5         
Term: stimulus                       Term Frequency: 5         
Term: lower                          Term Frequency: 5         
Term: synchronized                   Term Frequency: 5         
Term: second                         Term Frequency: 5         
Term: re                             Term Frequency: 5         
Term: location                       Term Frequency: 5         
Term: without                        Term Frequency: 5         
Term: analysis                       Term Frequency: 5         
Term: small                          Term Frequency: 5         
Term: vectors                        Term Frequency: 5         
Term: movements                      Term Frequency: 5         
Term: sleepers                       Term Frequency: 5         
Term: distance                       Term Frequency: 5         
Term: most                           Term Frequency: 5         
Term: stu                            Term Frequency: 5         
Term: hand                           Term Frequency: 4         
Term: g                              Term Frequency: 4         
Term: analytics                      Term Frequency: 4         
Term: µ                              Term Frequency: 4         
Term: taking                         Term Frequency: 4         
Term: inter                          Term Frequency: 4         
Term: top                            Term Frequency: 4         
Term: center                         Term Frequency: 4         
Term: low                            Term Frequency: 4         
Term: lectures                       Term Frequency: 4         
Term: duration                       Term Frequency: 4         
Term: being                          Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 18                             Term Frequency: 4         
Term: 23                             Term Frequency: 4         
Term: 27                             Term Frequency: 4         
Term: 31                             Term Frequency: 4         
Term: dents                          Term Frequency: 4         
Term: still                          Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: behavior                       Term Frequency: 4         
Term: volume                         Term Frequency: 4         
Term: end                            Term Frequency: 4         
Term: technological                  Term Frequency: 4         
Term: non                            Term Frequency: 4         
Term: far                            Term Frequency: 4         
Term: presented                      Term Frequency: 4         
Term: variance                       Term Frequency: 4         
Term: addition                       Term Frequency: 4         
Term: while                          Term Frequency: 4         
Term: gaze                           Term Frequency: 4         
Term: apart                          Term Frequency: 4         
Term: single                         Term Frequency: 4         
Term: up                             Term Frequency: 4         
Term: vertical                       Term Frequency: 4         
Term: cases                          Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: note                           Term Frequency: 4         
Term: blue                           Term Frequency: 4         
Term: analysed                       Term Frequency: 4         
Term: per                            Term Frequency: 4         
Term: it’s                           Term Frequency: 4         
Term: tion                           Term Frequency: 4         
Term: before                         Term Frequency: 4         
Term: group                          Term Frequency: 4         
Term: process                        Term Frequency: 4         
Term: been                           Term Frequency: 4         
Term: 2012                           Term Frequency: 4         
Term: material                       Term Frequency: 4         
Term: tracking                       Term Frequency: 4         
Term: present                        Term Frequency: 4         
Term: reaction                       Term Frequency: 4         
Term: people                         Term Frequency: 4         
Term: iii                            Term Frequency: 4         
Term: space                          Term Frequency: 4         
Term: track                          Term Frequency: 4         
Term: ing                            Term Frequency: 4         
Term: body                           Term Frequency: 4         
Term: teacher’s                      Term Frequency: 4         
Term: seating                        Term Frequency: 4         
Term: case                           Term Frequency: 4         
Term: slide                          Term Frequency: 4         
Term: described                      Term Frequency: 4         
Term: compared                       Term Frequency: 4         
Term: thinking                       Term Frequency: 4         
Term: different                      Term Frequency: 4         
Term: novice                         Term Frequency: 4         
Term: 100                            Term Frequency: 4         
Term: participants                   Term Frequency: 4         
Term: horizontal                     Term Frequency: 4         
Term: following                      Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: size                           Term Frequency: 3         
Term: 9                              Term Frequency: 3         
Term: after                          Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: making                         Term Frequency: 3         
Term: room                           Term Frequency: 3         
Term: defined                        Term Frequency: 3         
Term: away                           Term Frequency: 3         
Term: pair                           Term Frequency: 3         
Term: three                          Term Frequency: 3         
Term: grouping                       Term Frequency: 3         
Term: format                         Term Frequency: 3         
Term: third                          Term Frequency: 3         
Term: impact                         Term Frequency: 3         
Term: assigned                       Term Frequency: 3         
Term: 0.05                           Term Frequency: 3         
Term: 3.1                            Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: depicted                       Term Frequency: 3         
Term: observed                       Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: 28                             Term Frequency: 3         
Term: 1b                             Term Frequency: 3         
Term: common                         Term Frequency: 3         
Term: gathering                      Term Frequency: 3         
Term: threshold                      Term Frequency: 3         
Term: axis                           Term Frequency: 3         
Term: moving                         Term Frequency: 3         
Term: science                        Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: notes                          Term Frequency: 3         
Term: lecturing                      Term Frequency: 3         
Term: centric                        Term Frequency: 3         
Term: eye                            Term Frequency: 3         
Term: next                           Term Frequency: 3         
Term: classes                        Term Frequency: 3         
Term: conclusion                     Term Frequency: 3         
Term: green                          Term Frequency: 3         
Term: when                           Term Frequency: 3         
Term: probability                    Term Frequency: 3         
Term: used                           Term Frequency: 3         
Term: effect                         Term Frequency: 3         
Term: looking                        Term Frequency: 3         
Term: patterns                       Term Frequency: 3         
Term: go                             Term Frequency: 3         
Term: form                           Term Frequency: 3         
Term: teach                          Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: samples                        Term Frequency: 3         
Term: like                           Term Frequency: 3         
Term: groups                         Term Frequency: 3         
Term: slower                         Term Frequency: 3         
Term: audience                       Term Frequency: 3         
Term: visibility                     Term Frequency: 3         
Term: entire                         Term Frequency: 3         
Term: dominant                       Term Frequency: 3         
Term: measuring                      Term Frequency: 3         
Term: basic                          Term Frequency: 3         
Term: events                         Term Frequency: 3         
Term: actions                        Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: proxemics                      Term Frequency: 3         
Term: classrooms                     Term Frequency: 3         
Term: methods                        Term Frequency: 3         
Term: point                          Term Frequency: 3         
Term: mean                           Term Frequency: 3         
Term: you                            Term Frequency: 3         
Term: active                         Term Frequency: 3         
Term: zones                          Term Frequency: 3         
Term: take                           Term Frequency: 3         
Term: some                           Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: ment                           Term Frequency: 3         
Term: find                           Term Frequency: 3         
Term: steps                          Term Frequency: 3         
Term: task                           Term Frequency: 3         
Term: position                       Term Frequency: 3         
Term: best                           Term Frequency: 3         
Term: perspective                    Term Frequency: 3         
Term: annotated                      Term Frequency: 3         
Term: tracked                        Term Frequency: 3         
Term: moments                        Term Frequency: 3         
Term: paper                          Term Frequency: 3         
Term: moved                          Term Frequency: 3         
Term: orchestration                  Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: row                            Term Frequency: 3         
Term: using                          Term Frequency: 3         
Term: call                           Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: significant                    Term Frequency: 3         
Term: show                           Term Frequency: 3         
Term: introduce                      Term Frequency: 3         
Term: important                      Term Frequency: 3         
Term: move                           Term Frequency: 3         
Term: amount                         Term Frequency: 3         
Term: sec                            Term Frequency: 3         
Term: set                            Term Frequency: 3         
Term: setup                          Term Frequency: 3         
Term: large                          Term Frequency: 3         
Term: change                         Term Frequency: 3         
Term: focused                        Term Frequency: 3         
Term: social                         Term Frequency: 3         
