Term: data                           Term Frequency: 182       
Term: privacy                        Term Frequency: 87        
Term: information                    Term Frequency: 67        
Term: use                            Term Frequency: 57        
Term: personal                       Term Frequency: 52        
Term: may                            Term Frequency: 47        
Term: from                           Term Frequency: 46        
Term: consent                        Term Frequency: 40        
Term: learning                       Term Frequency: 38        
Term: out                            Term Frequency: 37        
Term: users                          Term Frequency: 36        
Term: opt                            Term Frequency: 36        
Term: students                       Term Frequency: 34        
Term: have                           Term Frequency: 33        
Term: 59                             Term Frequency: 33        
Term: surveillance                   Term Frequency: 33        
Term: collection                     Term Frequency: 33        
Term: we                             Term Frequency: 32        
Term: analysis                       Term Frequency: 32        
Term: also                           Term Frequency: 32        
Term: student                        Term Frequency: 31        
Term: analytics                      Term Frequency: 29        
Term: self                           Term Frequency: 28        
Term: 2014                           Term Frequency: 27        
Term: education                      Term Frequency: 26        
Term: clear                          Term Frequency: 25        
Term: which                          Term Frequency: 24        
Term: management                     Term Frequency: 24        
Term: collected                      Term Frequency: 23        
Term: edx                            Term Frequency: 22        
Term: context                        Term Frequency: 22        
Term: research                       Term Frequency: 22        
Term: used                           Term Frequency: 22        
Term: 2013                           Term Frequency: 22        
Term: retrieved                      Term Frequency: 21        
Term: how                            Term Frequency: 21        
Term: should                         Term Frequency: 21        
Term: about                          Term Frequency: 21        
Term: providers                      Term Frequency: 21        
Term: 3                              Term Frequency: 20        
Term: make                           Term Frequency: 20        
Term: individuals                    Term Frequency: 20        
Term: social                         Term Frequency: 20        
Term: more                           Term Frequency: 20        
Term: can                            Term Frequency: 20        
Term: http                           Term Frequency: 19        
Term: regarding                      Term Frequency: 19        
Term: opting                         Term Frequency: 18        
Term: approach                       Term Frequency: 18        
Term: you                            Term Frequency: 18        
Term: access                         Term Frequency: 18        
Term: three                          Term Frequency: 18        
Term: all                            Term Frequency: 18        
Term: both                           Term Frequency: 18        
Term: concerns                       Term Frequency: 17        
Term: issues                         Term Frequency: 17        
Term: new                            Term Frequency: 17        
Term: what                           Term Frequency: 17        
Term: sharing                        Term Frequency: 16        
Term: terms                          Term Frequency: 16        
Term: time                           Term Frequency: 16        
Term: between                        Term Frequency: 16        
Term: law                            Term Frequency: 16        
Term: provide                        Term Frequency: 16        
Term: 2012                           Term Frequency: 16        
Term: different                      Term Frequency: 15        
Term: only                           Term Frequency: 15        
Term: user                           Term Frequency: 15        
Term: people                         Term Frequency: 15        
Term: other                          Term Frequency: 15        
Term: care                           Term Frequency: 15        
Term: conditions                     Term Frequency: 15        
Term: higher                         Term Frequency: 15        
