Term: items                          Term Frequency: 62        
Term: we                             Term Frequency: 52        
Term: homework                       Term Frequency: 52        
Term: attempts                       Term Frequency: 45        
Term: item                           Term Frequency: 39        
Term: models                         Term Frequency: 38        
Term: missing                        Term Frequency: 38        
Term: scores                         Term Frequency: 36        
Term: data                           Term Frequency: 35        
Term: response                       Term Frequency: 33        
Term: observed                       Term Frequency: 30        
Term: students                       Term Frequency: 30        
Term: ability                        Term Frequency: 29        
Term: final                          Term Frequency: 28        
Term: from                           Term Frequency: 28        
Term: were                           Term Frequency: 28        
Term: score                          Term Frequency: 28        
Term: model                          Term Frequency: 27        
Term: 1                              Term Frequency: 26        
Term: exam                           Term Frequency: 26        
Term: number                         Term Frequency: 24        
Term: x                              Term Frequency: 22        
Term: responses                      Term Frequency: 22        
Term: more                           Term Frequency: 21        
Term: cfa                            Term Frequency: 19        
Term: attempt                        Term Frequency: 19        
Term: ec                             Term Frequency: 19        
Term: student                        Term Frequency: 19        
Term: first                          Term Frequency: 19        
Term: incorrect                      Term Frequency: 19        
Term: multiple                       Term Frequency: 18        
Term: scoring                        Term Frequency: 17        
Term: all                            Term Frequency: 17        
Term: 2                              Term Frequency: 16        
Term: which                          Term Frequency: 16        
Term: than                           Term Frequency: 16        
Term: correct                        Term Frequency: 16        
Term: between                        Term Frequency: 16        
Term: latent                         Term Frequency: 16        
Term: 3                              Term Frequency: 14        
Term: i                              Term Frequency: 14        
Term: s                              Term Frequency: 14        
Term: attempted                      Term Frequency: 14        
Term: using                          Term Frequency: 14        
Term: omitted                        Term Frequency: 14        
Term: estimation                     Term Frequency: 14        
Term: when                           Term Frequency: 14        
Term: group                          Term Frequency: 14        
Term: 0                              Term Frequency: 13        
Term: based                          Term Frequency: 13        
Term: our                            Term Frequency: 13        
Term: have                           Term Frequency: 12        
Term: two                            Term Frequency: 12        
Term: 90                             Term Frequency: 12        
Term: who                            Term Frequency: 12        
Term: course                         Term Frequency: 12        
Term: each                           Term Frequency: 12        
Term: table                          Term Frequency: 12        
Term: can                            Term Frequency: 12        
Term: 50                             Term Frequency: 11        
Term: work                           Term Frequency: 11        
Term: least                          Term Frequency: 11        
Term: correlations                   Term Frequency: 11        
Term: sequential                     Term Frequency: 11        
Term: only                           Term Frequency: 11        
Term: may                            Term Frequency: 11        
Term: 4                              Term Frequency: 10        
Term: shown                          Term Frequency: 10        
Term: 80                             Term Frequency: 10        
Term: polytomous                     Term Frequency: 10        
Term: one                            Term Frequency: 10        
Term: learning                       Term Frequency: 10        
Term: some                           Term Frequency: 10        
Term: treating                       Term Frequency: 10        
Term: j                              Term Frequency: 9         
Term: m                              Term Frequency: 9         
Term: r                              Term Frequency: 9         
Term: has                            Term Frequency: 9         
Term: proportion                     Term Frequency: 9         
Term: should                         Term Frequency: 9         
Term: variable                       Term Frequency: 9         
Term: grade                          Term Frequency: 9         
Term: 5                              Term Frequency: 8         
Term: 6                              Term Frequency: 8         
Term: average                        Term Frequency: 8         
Term: theory                         Term Frequency: 8         
Term: assumption                     Term Frequency: 8         
Term: difficult                      Term Frequency: 8         
Term: different                      Term Frequency: 8         
Term: used                           Term Frequency: 8         
