Term: students                       Term Frequency: 85        
Term: risk                           Term Frequency: 60        
Term: we                             Term Frequency: 56        
Term: time                           Term Frequency: 53        
Term: school                         Term Frequency: 52        
Term: student                        Term Frequency: 42        
Term: high                           Term Frequency: 40        
Term: off                            Term Frequency: 40        
Term: grade                          Term Frequency: 37        
Term: track                          Term Frequency: 35        
Term: models                         Term Frequency: 32        
Term: schools                        Term Frequency: 29        
Term: can                            Term Frequency: 29        
Term: out                            Term Frequency: 26        
Term: who                            Term Frequency: 25        
Term: data                           Term Frequency: 25        
Term: 1                              Term Frequency: 24        
Term: our                            Term Frequency: 24        
Term: from                           Term Frequency: 22        
Term: were                           Term Frequency: 22        
Term: more                           Term Frequency: 22        
Term: 3                              Term Frequency: 21        
Term: 2                              Term Frequency: 20        
Term: district                       Term Frequency: 20        
Term: 5                              Term Frequency: 19        
Term: 10                             Term Frequency: 19        
Term: each                           Term Frequency: 19        
Term: used                           Term Frequency: 19        
Term: scores                         Term Frequency: 18        
Term: have                           Term Frequency: 16        
Term: end                            Term Frequency: 16        
Term: than                           Term Frequency: 15        
Term: based                          Term Frequency: 15        
Term: system                         Term Frequency: 15        
Term: most                           Term Frequency: 15        
Term: metric                         Term Frequency: 14        
Term: help                           Term Frequency: 14        
Term: early                          Term Frequency: 14        
Term: 6th                            Term Frequency: 14        
Term: graduating                     Term Frequency: 14        
Term: model                          Term Frequency: 14        
Term: 9                              Term Frequency: 13        
Term: which                          Term Frequency: 13        
Term: likely                         Term Frequency: 13        
Term: those                          Term Frequency: 13        
Term: may                            Term Frequency: 13        
Term: academic                       Term Frequency: 12        
Term: year                           Term Frequency: 12        
Term: using                          Term Frequency: 12        
Term: all                            Term Frequency: 12        
Term: 4                              Term Frequency: 11        
Term: use                            Term Frequency: 11        
Term: predicting                     Term Frequency: 11        
Term: approach                       Term Frequency: 11        
Term: value                          Term Frequency: 11        
Term: between                        Term Frequency: 11        
Term: one                            Term Frequency: 11        
Term: performance                    Term Frequency: 11        
Term: other                          Term Frequency: 11        
Term: also                           Term Frequency: 11        
Term: 6                              Term Frequency: 10        
Term: student’s                      Term Frequency: 10        
Term: go                             Term Frequency: 10        
Term: graduate                       Term Frequency: 10        
Term: only                           Term Frequency: 10        
Term: drop                           Term Frequency: 10        
Term: group                          Term Frequency: 10        
Term: 7                              Term Frequency: 9         
Term: top                            Term Frequency: 9         
Term: rates                          Term Frequency: 9         
Term: features                       Term Frequency: 9         
Term: regression                     Term Frequency: 9         
Term: dropout                        Term Frequency: 9         
Term: first                          Term Frequency: 9         
Term: however                        Term Frequency: 9         
Term: studies                        Term Frequency: 9         
Term: when                           Term Frequency: 9         
Term: interventions                  Term Frequency: 9         
Term: stu                            Term Frequency: 9         
Term: 8                              Term Frequency: 8         
Term: s                              Term Frequency: 8         
Term: predicted                      Term Frequency: 8         
Term: 11                             Term Frequency: 8         
Term: education                      Term Frequency: 8         
Term: predictive                     Term Frequency: 8         
Term: do                             Term Frequency: 8         
Term: prediction                     Term Frequency: 8         
Term: previous                       Term Frequency: 8         
Term: found                          Term Frequency: 8         
Term: values                         Term Frequency: 8         
Term: how                            Term Frequency: 8         
Term: identify                       Term Frequency: 8         
Term: mobility                       Term Frequency: 8         
Term: available                      Term Frequency: 8         
Term: example                        Term Frequency: 8         
Term: learning                       Term Frequency: 8         
Term: given                          Term Frequency: 8         
Term: methods                        Term Frequency: 8         
Term: intervention                   Term Frequency: 8         
Term: public                         Term Frequency: 8         
Term: years                          Term Frequency: 8         
Term: results                        Term Frequency: 8         
Term: i                              Term Frequency: 7         
Term: two                            Term Frequency: 7         
Term: 12                             Term Frequency: 7         
Term: 17                             Term Frequency: 7         
Term: dents                          Term Frequency: 7         
Term: work                           Term Frequency: 7         
Term: re                             Term Frequency: 7         
Term: factors                        Term Frequency: 7         
Term: focus                          Term Frequency: 7         
Term: could                          Term Frequency: 7         
Term: paper                          Term Frequency: 7         
Term: indicators                     Term Frequency: 7         
Term: level                          Term Frequency: 7         
Term: let                            Term Frequency: 7         
Term: 9th                            Term Frequency: 7         
Term: classification                 Term Frequency: 7         
Term: research                       Term Frequency: 7         
Term: graduation                     Term Frequency: 7         
Term: analysis                       Term Frequency: 7         
Term: 2014                           Term Frequency: 7         
Term: accuracy                       Term Frequency: 7         
Term: future                         Term Frequency: 7         
Term: over                           Term Frequency: 7         
Term: county                         Term Frequency: 7         
Term: e.g                            Term Frequency: 6         
Term: ordinal                        Term Frequency: 6         
Term: logistic                       Term Frequency: 6         
Term: section                        Term Frequency: 6         
Term: important                      Term Frequency: 6         
Term: developed                      Term Frequency: 6         
Term: three                          Term Frequency: 6         
Term: low                            Term Frequency: 6         
Term: forest                         Term Frequency: 6         
Term: dashboard                      Term Frequency: 6         
Term: districts                      Term Frequency: 6         
Term: warning                        Term Frequency: 6         
Term: correlation                    Term Frequency: 6         
Term: machine                        Term Frequency: 6         
Term: task                           Term Frequency: 6         
Term: score                          Term Frequency: 6         
Term: see                            Term Frequency: 6         
Term: prioritization                 Term Frequency: 5         
Term: k                              Term Frequency: 5         
Term: information                    Term Frequency: 5         
Term: better                         Term Frequency: 5         
Term: made                           Term Frequency: 5         
Term: being                          Term Frequency: 5         
Term: montgomery                     Term Frequency: 5         
Term: many                           Term Frequency: 5         
Term: dropping                       Term Frequency: 5         
Term: across                         Term Frequency: 5         
Term: need                           Term Frequency: 5         
Term: often                          Term Frequency: 5         
Term: rank                           Term Frequency: 5         
Term: context                        Term Frequency: 5         
Term: grades                         Term Frequency: 5         
Term: while                          Term Frequency: 5         
Term: seen                           Term Frequency: 5         
Term: so                             Term Frequency: 5         
Term: riskscores                     Term Frequency: 5         
Term: vs                             Term Frequency: 5         
Term: discussed                      Term Frequency: 5         
Term: tion                           Term Frequency: 5         
Term: ing                            Term Frequency: 5         
Term: would                          Term Frequency: 5         
Term: binary                         Term Frequency: 5         
Term: dataset                        Term Frequency: 5         
Term: particular                     Term Frequency: 5         
Term: chicago                        Term Frequency: 5         
Term: about                          Term Frequency: 5         
Term: predictions                    Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: what                           Term Frequency: 5         
Term: identifying                    Term Frequency: 5         
Term: random                         Term Frequency: 5         
Term: consider                       Term Frequency: 5         
Term: prior                          Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: existing                       Term Frequency: 5         
Term: programs                       Term Frequency: 5         
Term: label                          Term Frequency: 5         
Term: outcome                        Term Frequency: 5         
Term: absence                        Term Frequency: 5         
Term: described                      Term Frequency: 5         
Term: set                            Term Frequency: 5         
Term: retained                       Term Frequency: 5         
Term: flag                           Term Frequency: 5         
Term: defined                        Term Frequency: 4         
Term: shown                          Term Frequency: 4         
Term: further                        Term Frequency: 4         
Term: includes                       Term Frequency: 4         
Term: 14                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 19                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: experiments                    Term Frequency: 4         
Term: atrisk                         Term Frequency: 4         
Term: prioritize                     Term Frequency: 4         
Term: remain                         Term Frequency: 4         
Term: grad                           Term Frequency: 4         
