Term: learners                       Term Frequency: 107       
Term: course                         Term Frequency: 75        
Term: level                          Term Frequency: 61        
Term: engagement                     Term Frequency: 57        
Term: 001                            Term Frequency: 51        
Term: we                             Term Frequency: 47        
Term: learning                       Term Frequency: 34        
Term: courses                        Term Frequency: 31        
Term: patterns                       Term Frequency: 26        
Term: from                           Term Frequency: 25        
Term: more                           Term Frequency: 24        
Term: 1                              Term Frequency: 23        
Term: high                           Term Frequency: 23        
Term: d                              Term Frequency: 22        
Term: three                          Term Frequency: 22        
Term: all                            Term Frequency: 22        
Term: completing                     Term Frequency: 22        
Term: 3                              Term Frequency: 21        
Term: who                            Term Frequency: 21        
Term: each                           Term Frequency: 21        
Term: 2                              Term Frequency: 20        
Term: which                          Term Frequency: 20        
Term: assessment                     Term Frequency: 19        
Term: video                          Term Frequency: 19        
Term: learner                        Term Frequency: 19        
Term: research                       Term Frequency: 19        
Term: other                          Term Frequency: 19        
Term: p                              Term Frequency: 18        
Term: clustering                     Term Frequency: 18        
Term: could                          Term Frequency: 18        
Term: our                            Term Frequency: 18        
Term: features                       Term Frequency: 17        
Term: auditing                       Term Frequency: 17        
Term: were                           Term Frequency: 17        
Term: clusters                       Term Frequency: 17        
Term: trajectories                   Term Frequency: 16        
Term: students                       Term Frequency: 16        
Term: one                            Term Frequency: 15        
Term: 4                              Term Frequency: 14        
Term: time                           Term Frequency: 14        
Term: based                          Term Frequency: 14        
Term: different                      Term Frequency: 14        
Term: would                          Term Frequency: 14        
Term: experience                     Term Frequency: 14        
Term: content                        Term Frequency: 13        
Term: first                          Term Frequency: 13        
Term: disengaging                    Term Frequency: 13        
Term: cluster                        Term Frequency: 13        
Term: overall                        Term Frequency: 13        
Term: assessments                    Term Frequency: 13        
Term: design                         Term Frequency: 13        
Term: set                            Term Frequency: 13        
Term: can                            Term Frequency: 13        
Term: 5                              Term Frequency: 12        
Term: 6                              Term Frequency: 12        
Term: survey                         Term Frequency: 12        
Term: activity                       Term Frequency: 12        
Term: analysis                       Term Frequency: 12        
Term: future                         Term Frequency: 12        
Term: also                           Term Frequency: 12        
Term: 8                              Term Frequency: 11        
Term: analytics                      Term Frequency: 11        
Term: 14                             Term Frequency: 11        
Term: than                           Term Frequency: 11        
Term: how                            Term Frequency: 11        
Term: between                        Term Frequency: 11        
Term: should                         Term Frequency: 11        
Term: data                           Term Frequency: 11        
Term: most                           Term Frequency: 11        
Term: over                           Term Frequency: 11        
Term: k                              Term Frequency: 10        
Term: have                           Term Frequency: 10        
Term: two                            Term Frequency: 10        
Term: across                         Term Frequency: 10        
Term: community                      Term Frequency: 10        
Term: countries                      Term Frequency: 10        
Term: ment                           Term Frequency: 10        
Term: number                         Term Frequency: 10        
Term: labels                         Term Frequency: 10        
Term: low                            Term Frequency: 10        
Term: about                          Term Frequency: 10        
Term: though                         Term Frequency: 10        
Term: methodology                    Term Frequency: 9         
Term: likely                         Term Frequency: 9         
Term: re                             Term Frequency: 9         
Term: using                          Term Frequency: 9         
Term: report                         Term Frequency: 9         
Term: engage                         Term Frequency: 9         
Term: streaming                      Term Frequency: 9         
Term: online                         Term Frequency: 9         
Term: through                        Term Frequency: 9         
Term: interactions                   Term Frequency: 9         
Term: s                              Term Frequency: 8         
Term: com                            Term Frequency: 8         
Term: con                            Term Frequency: 8         
Term: test                           Term Frequency: 8         
Term: gender                         Term Frequency: 8         
Term: forum                          Term Frequency: 8         
Term: four                           Term Frequency: 8         
Term: student                        Term Frequency: 8         
Term: standard                       Term Frequency: 8         
Term: measure                        Term Frequency: 8         
Term: active                         Term Frequency: 8         
Term: educational                    Term Frequency: 8         
Term: access                         Term Frequency: 8         
Term: n.a                            Term Frequency: 8         
Term: new                            Term Frequency: 8         
Term: distribution                   Term Frequency: 8         
Term: lectures                       Term Frequency: 7         
Term: 12                             Term Frequency: 7         
Term: 13                             Term Frequency: 7         
Term: many                           Term Frequency: 7         
Term: work                           Term Frequency: 7         
Term: platform                       Term Frequency: 7         
Term: learn                          Term Frequency: 7         
Term: education                      Term Frequency: 7         
Term: differences                    Term Frequency: 7         
Term: needs                          Term Frequency: 7         
Term: while                          Term Frequency: 7         
Term: self                           Term Frequency: 7         
Term: tion                           Term Frequency: 7         
Term: partial                        Term Frequency: 7         
Term: trajectory                     Term Frequency: 7         
Term: well                           Term Frequency: 7         
Term: less                           Term Frequency: 7         
Term: develop                        Term Frequency: 7         
Term: open                           Term Frequency: 7         
Term: allow                          Term Frequency: 7         
Term: levels                         Term Frequency: 7         
Term: significantly                  Term Frequency: 7         
Term: out                            Term Frequency: 7         
Term: given                          Term Frequency: 7         
Term: pro                            Term Frequency: 7         
Term: process                        Term Frequency: 7         
Term: age                            Term Frequency: 7         
Term: view                           Term Frequency: 7         
Term: model                          Term Frequency: 7         
Term: trends                         Term Frequency: 7         
Term: higher                         Term Frequency: 7         
Term: 7                              Term Frequency: 6         
Term: same                           Term Frequency: 6         
Term: under                          Term Frequency: 6         
Term: make                           Term Frequency: 6         
Term: 15                             Term Frequency: 6         
Term: tions                          Term Frequency: 6         
Term: pleting                        Term Frequency: 6         
Term: levelcourse                    Term Frequency: 6         
Term: enrolling                      Term Frequency: 6         
Term: much                           Term Frequency: 6         
Term: able                           Term Frequency: 6         
Term: post                           Term Frequency: 6         
Term: only                           Term Frequency: 6         
Term: computer                       Term Frequency: 6         
Term: particular                     Term Frequency: 6         
Term: adaptive                       Term Frequency: 6         
Term: designers                      Term Frequency: 6         
Term: because                        Term Frequency: 6         
Term: science                        Term Frequency: 6         
Term: very                           Term Frequency: 6         
Term: cognitive                      Term Frequency: 6         
Term: medium                         Term Frequency: 6         
Term: videos                         Term Frequency: 6         
Term: some                           Term Frequency: 6         
Term: reasons                        Term Frequency: 6         
Term: interventions                  Term Frequency: 6         
Term: 9                              Term Frequency: 5         
