Term: students                       Term Frequency: 30        
Term: learning                       Term Frequency: 26        
Term: social                         Term Frequency: 22        
Term: we                             Term Frequency: 21        
Term: data                           Term Frequency: 15        
Term: goal                           Term Frequency: 14        
Term: model                          Term Frequency: 13        
Term: from                           Term Frequency: 12        
Term: which                          Term Frequency: 10        
Term: analytics                      Term Frequency: 9         
Term: paths                          Term Frequency: 9         
Term: study                          Term Frequency: 9         
Term: course                         Term Frequency: 9         
Term: pipeline                       Term Frequency: 8         
Term: models                         Term Frequency: 8         
Term: case                           Term Frequency: 8         
Term: setting                        Term Frequency: 7         
Term: more                           Term Frequency: 7         
Term: posts                          Term Frequency: 7         
Term: work                           Term Frequency: 6         
Term: ing                            Term Frequency: 6         
Term: through                        Term Frequency: 6         
Term: recommendation                 Term Frequency: 6         
Term: can                            Term Frequency: 6         
Term: have                           Term Frequency: 5         
Term: connections                    Term Frequency: 5         
Term: di                             Term Frequency: 5         
Term: student                        Term Frequency: 5         
Term: support                        Term Frequency: 5         
Term: our                            Term Frequency: 5         
Term: 1                              Term Frequency: 4         
Term: 2                              Term Frequency: 4         
Term: 3                              Term Frequency: 4         
Term: example                        Term Frequency: 4         
Term: e                              Term Frequency: 4         
Term: information                    Term Frequency: 4         
Term: state                          Term Frequency: 4         
Term: each                           Term Frequency: 4         
Term: infrastructure                 Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: first                          Term Frequency: 4         
Term: behavior                       Term Frequency: 4         
Term: other                          Term Frequency: 4         
Term: peers                          Term Frequency: 4         
Term: table                          Term Frequency: 4         
Term: prediction                     Term Frequency: 4         
Term: so                             Term Frequency: 4         
Term: between                        Term Frequency: 4         
Term: follow                         Term Frequency: 4         
Term: ferschke                       Term Frequency: 3         
Term: analysis                       Term Frequency: 3         
Term: role                           Term Frequency: 3         
Term: o                              Term Frequency: 3         
Term: well                           Term Frequency: 3         
Term: propose                        Term Frequency: 3         
Term: opportunities                  Term Frequency: 3         
Term: interested                     Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: expediting                     Term Frequency: 3         
Term: applying                       Term Frequency: 3         
Term: reply                          Term Frequency: 3         
Term: erent                          Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: may                            Term Frequency: 3         
Term: within                         Term Frequency: 3         
Term: positive                       Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: about                          Term Frequency: 3         
Term: based                          Term Frequency: 3         
Term: relation                       Term Frequency: 3         
Term: cial                           Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: stored                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: pages                          Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: relations                      Term Frequency: 3         
Term: research                       Term Frequency: 3         
Term: show                           Term Frequency: 3         
