Term: students                       Term Frequency: 59        
Term: course                         Term Frequency: 55        
Term: we                             Term Frequency: 36        
Term: model                          Term Frequency: 30        
Term: student                        Term Frequency: 29        
Term: who                            Term Frequency: 27        
Term: value                          Term Frequency: 22        
Term: which                          Term Frequency: 21        
Term: from                           Term Frequency: 20        
Term: our                            Term Frequency: 19        
Term: data                           Term Frequency: 19        
Term: each                           Term Frequency: 18        
Term: were                           Term Frequency: 17        
Term: utility                        Term Frequency: 17        
Term: features                       Term Frequency: 17        
Term: language                       Term Frequency: 17        
Term: learning                       Term Frequency: 17        
Term: open                           Term Frequency: 16        
Term: prediction                     Term Frequency: 16        
Term: completion                     Term Frequency: 16        
Term: online                         Term Frequency: 15        
Term: s                              Term Frequency: 14        
Term: do                             Term Frequency: 14        
Term: out                            Term Frequency: 14        
Term: text                           Term Frequency: 13        
Term: all                            Term Frequency: 13        
Term: 1                              Term Frequency: 12        
Term: intentions                     Term Frequency: 12        
Term: complete                       Term Frequency: 12        
Term: than                           Term Frequency: 12        
Term: also                           Term Frequency: 12        
Term: feature                        Term Frequency: 12        
Term: n                              Term Frequency: 11        
Term: have                           Term Frequency: 11        
Term: first                          Term Frequency: 11        
Term: predict                        Term Frequency: 11        
Term: using                          Term Frequency: 11        
Term: research                       Term Frequency: 10        
Term: one                            Term Frequency: 10        
Term: how                            Term Frequency: 10        
Term: demographic                    Term Frequency: 10        
Term: most                           Term Frequency: 10        
Term: sample                         Term Frequency: 10        
Term: 2                              Term Frequency: 9         
Term: achievement                    Term Frequency: 9         
Term: used                           Term Frequency: 9         
Term: survey                         Term Frequency: 9         
Term: 2014                           Term Frequency: 9         
Term: based                          Term Frequency: 9         
Term: results                        Term Frequency: 9         
Term: those                          Term Frequency: 9         
Term: word                           Term Frequency: 8         
Term: demographics                   Term Frequency: 8         
Term: so                             Term Frequency: 8         
Term: intend                         Term Frequency: 8         
Term: success                        Term Frequency: 8         
Term: population                     Term Frequency: 8         
Term: courses                        Term Frequency: 8         
Term: set                            Term Frequency: 8         
Term: prompt                         Term Frequency: 8         
Term: table                          Term Frequency: 8         
Term: two                            Term Frequency: 7         
Term: may                            Term Frequency: 7         
Term: predictions                    Term Frequency: 7         
Term: education                      Term Frequency: 7         
Term: lives                          Term Frequency: 7         
Term: drop                           Term Frequency: 7         
Term: analysis                       Term Frequency: 7         
Term: pre                            Term Frequency: 7         
Term: people                         Term Frequency: 7         
Term: educational                    Term Frequency: 7         
Term: degree                         Term Frequency: 7         
Term: can                            Term Frequency: 7         
Term: 4                              Term Frequency: 6         
Term: document                       Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: among                          Term Frequency: 6         
Term: new                            Term Frequency: 6         
Term: models                         Term Frequency: 6         
Term: filters                        Term Frequency: 6         
Term: massive                        Term Frequency: 6         
Term: i.e                            Term Frequency: 6         
Term: persistence                    Term Frequency: 6         
Term: 2015                           Term Frequency: 6         
Term: compared                       Term Frequency: 6         
Term: different                      Term Frequency: 6         
Term: remaining                      Term Frequency: 6         
Term: natural                        Term Frequency: 6         
Term: responses                      Term Frequency: 6         
Term: 3                              Term Frequency: 5         
Term: better                         Term Frequency: 5         
Term: question                       Term Frequency: 5         
Term: make                           Term Frequency: 5         
Term: about                          Term Frequency: 5         
Term: 16                             Term Frequency: 5         
Term: similar                        Term Frequency: 5         
Term: documents                      Term Frequency: 5         
Term: addition                       Term Frequency: 5         
Term: predicting                     Term Frequency: 5         
Term: certify                        Term Frequency: 5         
Term: benchmarks                     Term Frequency: 5         
Term: standard                       Term Frequency: 5         
Term: psychology                     Term Frequency: 5         
Term: whether                        Term Frequency: 5         
Term: methods                        Term Frequency: 5         
Term: you                            Term Frequency: 5         
Term: validation                     Term Frequency: 5         
Term: machine                        Term Frequency: 5         
Term: processing                     Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: weeks                          Term Frequency: 5         
Term: future                         Term Frequency: 5         
Term: predictors                     Term Frequency: 5         
Term: through                        Term Frequency: 5         
Term: cross                          Term Frequency: 5         
Term: response                       Term Frequency: 5         
Term: 5                              Term Frequency: 4         
Term: 7                              Term Frequency: 4         
Term: 9                              Term Frequency: 4         
Term: b                              Term Frequency: 4         
Term: p                              Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: bachelor’s                     Term Frequency: 4         
Term: activities                     Term Frequency: 4         
Term: items                          Term Frequency: 4         
Term: full                           Term Frequency: 4         
Term: motivation                     Term Frequency: 4         
Term: measures                       Term Frequency: 4         
Term: experience                     Term Frequency: 4         
Term: assigned                       Term Frequency: 4         
Term: did                            Term Frequency: 4         
Term: use                            Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: lasso                          Term Frequency: 4         
Term: many                           Term Frequency: 4         
Term: planning                       Term Frequency: 4         
Term: useful                         Term Frequency: 4         
Term: gram                           Term Frequency: 4         
Term: when                           Term Frequency: 4         
