Term: forum                          Term Frequency: 88        
Term: course                         Term Frequency: 72        
Term: network                        Term Frequency: 64        
Term: time                           Term Frequency: 55        
Term: discussion                     Term Frequency: 48        
Term: content                        Term Frequency: 43        
Term: social                         Term Frequency: 41        
Term: related                        Term Frequency: 35        
Term: structure                      Term Frequency: 33        
Term: posts                          Term Frequency: 33        
Term: activity                       Term Frequency: 31        
Term: can                            Term Frequency: 31        
Term: users                          Term Frequency: 30        
Term: we                             Term Frequency: 30        
Term: between                        Term Frequency: 30        
Term: information                    Term Frequency: 29        
Term: forums                         Term Frequency: 29        
Term: nodes                          Term Frequency: 27        
Term: from                           Term Frequency: 27        
Term: over                           Term Frequency: 27        
Term: role                           Term Frequency: 26        
Term: section                        Term Frequency: 26        
Term: number                         Term Frequency: 25        
Term: learning                       Term Frequency: 25        
Term: d                              Term Frequency: 22        
Term: have                           Term Frequency: 22        
Term: 1                              Term Frequency: 21        
Term: features                       Term Frequency: 21        
Term: structural                     Term Frequency: 21        
Term: communication                  Term Frequency: 21        
Term: courses                        Term Frequency: 21        
Term: models                         Term Frequency: 21        
Term: one                            Term Frequency: 21        
Term: analysis                       Term Frequency: 20        
Term: day                            Term Frequency: 18        
Term: moocs                          Term Frequency: 18        
Term: each                           Term Frequency: 18        
Term: p                              Term Frequency: 17        
Term: reactive                       Term Frequency: 17        
Term: different                      Term Frequency: 17        
Term: roles                          Term Frequency: 16        
Term: help                           Term Frequency: 16        
Term: messages                       Term Frequency: 16        
Term: clusters                       Term Frequency: 16        
Term: 2                              Term Frequency: 15        
Term: 3                              Term Frequency: 15        
Term: subject                        Term Frequency: 15        
Term: level                          Term Frequency: 15        
Term: participants                   Term Frequency: 15        
Term: 4                              Term Frequency: 14        
Term: video                          Term Frequency: 14        
Term: active                         Term Frequency: 14        
Term: could                          Term Frequency: 14        
Term: based                          Term Frequency: 14        
Term: networks                       Term Frequency: 14        
Term: threads                        Term Frequency: 13        
Term: pages                          Term Frequency: 13        
Term: all                            Term Frequency: 13        
Term: keywords                       Term Frequency: 12        
Term: tion                           Term Frequency: 12        
Term: research                       Term Frequency: 12        
Term: days                           Term Frequency: 12        
Term: exchange                       Term Frequency: 12        
Term: dynamics                       Term Frequency: 12        
Term: 5                              Term Frequency: 11        
Term: 6                              Term Frequency: 11        
Term: 7                              Term Frequency: 11        
Term: two                            Term Frequency: 11        
Term: work                           Term Frequency: 11        
Term: education                      Term Frequency: 11        
Term: study                          Term Frequency: 11        
Term: dimension                      Term Frequency: 11        
Term: knowledge                      Term Frequency: 11        
Term: 2016                           Term Frequency: 11        
Term: other                          Term Frequency: 11        
Term: after                          Term Frequency: 10        
Term: regular                        Term Frequency: 10        
Term: were                           Term Frequency: 10        
Term: sequence                       Term Frequency: 10        
Term: release                        Term Frequency: 10        
Term: students                       Term Frequency: 10        
Term: support                        Term Frequency: 10        
Term: mooc                           Term Frequency: 10        
Term: both                           Term Frequency: 10        
Term: also                           Term Frequency: 10        
Term: set                            Term Frequency: 10        
Term: 8                              Term Frequency: 9         
Term: 9                              Term Frequency: 9         
Term: same                           Term Frequency: 9         
Term: b                              Term Frequency: 9         
Term: average                        Term Frequency: 9         
Term: 10                             Term Frequency: 9         
Term: 15                             Term Frequency: 9         
Term: patterns                       Term Frequency: 9         
Term: re                             Term Frequency: 9         
Term: small                          Term Frequency: 9         
Term: mean                           Term Frequency: 9         
Term: topics                         Term Frequency: 9         
Term: discussions                    Term Frequency: 9         
Term: ing                            Term Frequency: 9         
Term: post                           Term Frequency: 9         
Term: overall                        Term Frequency: 9         
Term: open                           Term Frequency: 9         
Term: new                            Term Frequency: 9         
Term: user                           Term Frequency: 9         
Term: connected                      Term Frequency: 9         
Term: core                           Term Frequency: 9         
Term: 2014                           Term Frequency: 9         
