Term: exploratory                    Term Frequency: 75        
Term: dialogue                       Term Frequency: 47        
Term: were                           Term Frequency: 33        
Term: chat                           Term Frequency: 28        
Term: conference                     Term Frequency: 27        
Term: discussion                     Term Frequency: 27        
Term: sessions                       Term Frequency: 26        
Term: learning                       Term Frequency: 25        
Term: per                            Term Frequency: 25        
Term: analysis                       Term Frequency: 23        
Term: words                          Term Frequency: 22        
Term: posts                          Term Frequency: 21        
Term: markers                        Term Frequency: 19        
Term: text                           Term Frequency: 18        
Term: session                        Term Frequency: 18        
Term: more                           Term Frequency: 18        
Term: keynote                        Term Frequency: 15        
Term: during                         Term Frequency: 15        
Term: turns                          Term Frequency: 14        
Term: mean                           Term Frequency: 14        
Term: people                         Term Frequency: 14        
Term: which                          Term Frequency: 13        
Term: one                            Term Frequency: 13        
Term: knowledge                      Term Frequency: 13        
Term: resources                      Term Frequency: 13        
Term: have                           Term Frequency: 12        
Term: 22                             Term Frequency: 12        
Term: time                           Term Frequency: 12        
Term: 1                              Term Frequency: 11        
Term: use                            Term Frequency: 11        
Term: talk                           Term Frequency: 11        
Term: online                         Term Frequency: 11        
Term: from                           Term Frequency: 11        
Term: most                           Term Frequency: 11        
Term: afternoon                      Term Frequency: 11        
Term: participants                   Term Frequency: 11        
Term: can                            Term Frequency: 11        
Term: used                           Term Frequency: 10        
Term: contributions                  Term Frequency: 10        
Term: posted                         Term Frequency: 10        
Term: learners                       Term Frequency: 10        
Term: all                            Term Frequency: 10        
Term: minute                         Term Frequency: 10        
Term: set                            Term Frequency: 10        
Term: 2                              Term Frequency: 9         
Term: 7                              Term Frequency: 9         
Term: analytics                      Term Frequency: 9         
Term: about                          Term Frequency: 9         
Term: when                           Term Frequency: 9         
Term: who                            Term Frequency: 9         
Term: data                           Term Frequency: 9         
Term: number                         Term Frequency: 9         
Term: other                          Term Frequency: 9         
Term: synchronous                    Term Frequency: 9         
Term: individuals                    Term Frequency: 9         
Term: also                           Term Frequency: 9         
Term: place                          Term Frequency: 9         
Term: 5                              Term Frequency: 8         
Term: 6                              Term Frequency: 8         
Term: short                          Term Frequency: 8         
Term: average                        Term Frequency: 8         
Term: associated                     Term Frequency: 8         
Term: open                           Term Frequency: 8         
Term: exchanges                      Term Frequency: 8         
Term: eg                             Term Frequency: 8         
Term: four                           Term Frequency: 8         
Term: clearly                        Term Frequency: 8         
Term: identify                       Term Frequency: 8         
Term: both                           Term Frequency: 8         
Term: 3                              Term Frequency: 7         
Term: 4                              Term Frequency: 7         
Term: participant                    Term Frequency: 7         
Term: way                            Term Frequency: 7         
Term: than                           Term Frequency: 7         
Term: support                        Term Frequency: 7         
Term: out                            Term Frequency: 7         
Term: named                          Term Frequency: 7         
Term: you                            Term Frequency: 7         
Term: some                           Term Frequency: 7         
Term: therefore                      Term Frequency: 7         
Term: those                          Term Frequency: 7         
Term: however                        Term Frequency: 7         
Term: s                              Term Frequency: 6         
Term: speakers                       Term Frequency: 6         
Term: each                           Term Frequency: 6         
Term: two                            Term Frequency: 6         
Term: phrases                        Term Frequency: 6         
Term: sections                       Term Frequency: 6         
Term: 75                             Term Frequency: 6         
Term: talks                          Term Frequency: 6         
Term: what                           Term Frequency: 6         
Term: so                             Term Frequency: 6         
Term: we                             Term Frequency: 6         
Term: contributing                   Term Frequency: 6         
Term: has                            Term Frequency: 6         
Term: posting                        Term Frequency: 6         
Term: where                          Term Frequency: 6         
Term: person                         Term Frequency: 6         
Term: would                          Term Frequency: 5         
Term: postings                       Term Frequency: 5         
Term: others                         Term Frequency: 5         
Term: 11                             Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: many                           Term Frequency: 5         
Term: often                          Term Frequency: 5         
Term: education                      Term Frequency: 5         
Term: content                        Term Frequency: 5         
Term: them                           Term Frequency: 5         
Term: activity                       Term Frequency: 5         
Term: line                           Term Frequency: 5         
Term: contributor                    Term Frequency: 5         
Term: contributed                    Term Frequency: 5         
Term: identified                     Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: could                          Term Frequency: 5         
Term: coded                          Term Frequency: 5         
Term: appears                        Term Frequency: 5         
Term: first                          Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: containing                     Term Frequency: 5         
Term: through                        Term Frequency: 5         
Term: discourse                      Term Frequency: 5         
Term: personal                       Term Frequency: 5         
Term: total                          Term Frequency: 5         
Term: social                         Term Frequency: 5         
Term: key                            Term Frequency: 5         
Term: once                           Term Frequency: 5         
Term: between                        Term Frequency: 5         
Term: 8                              Term Frequency: 4         
Term: example                        Term Frequency: 4         
Term: same                           Term Frequency: 4         
Term: good                           Term Frequency: 4         
Term: order                          Term Frequency: 4         
Term: times                          Term Frequency: 4         
Term: presentations                  Term Frequency: 4         
Term: going                          Term Frequency: 4         
Term: mins                           Term Frequency: 4         
Term: possible                       Term Frequency: 4         
Term: length                         Term Frequency: 4         
Term: main                           Term Frequency: 4         
Term: ideas                          Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: included                       Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: highest                        Term Frequency: 4         
Term: min                            Term Frequency: 4         
Term: inspired                       Term Frequency: 4         
Term: contains                       Term Frequency: 4         
Term: highlighted                    Term Frequency: 4         
Term: end                            Term Frequency: 4         
Term: students                       Term Frequency: 4         
Term: web                            Term Frequency: 4         
Term: meaningful                     Term Frequency: 4         
Term: teachers                       Term Frequency: 4         
Term: very                           Term Frequency: 4         
Term: likely                         Term Frequency: 4         
Term: while                          Term Frequency: 4         
Term: my                             Term Frequency: 4         
Term: investigate                    Term Frequency: 4         
Term: tools                          Term Frequency: 4         
Term: like                           Term Frequency: 4         
Term: here                           Term Frequency: 4         
Term: groups                         Term Frequency: 4         
Term: educators                      Term Frequency: 4         
Term: divided                        Term Frequency: 4         
Term: had                            Term Frequency: 4         
Term: evaluation                     Term Frequency: 4         
Term: beginning                      Term Frequency: 4         
Term: 2009                           Term Frequency: 4         
Term: wordcount                      Term Frequency: 4         
Term: within                         Term Frequency: 4         
Term: scheduled                      Term Frequency: 4         
Term: again                          Term Frequency: 4         
Term: reasoning                      Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: public                         Term Frequency: 4         
Term: construction                   Term Frequency: 4         
Term: simple                         Term Frequency: 4         
Term: related                        Term Frequency: 4         
Term: 9                              Term Frequency: 3         
Term: after                          Term Frequency: 3         
Term: aside                          Term Frequency: 3         
Term: citation                       Term Frequency: 3         
Term: well                           Term Frequency: 3         
Term: taking                         Term Frequency: 3         
Term: including                      Term Frequency: 3         
Term: less                           Term Frequency: 3         
Term: timetable                      Term Frequency: 3         
Term: three                          Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: sociocultural                  Term Frequency: 3         
Term: construct                      Term Frequency: 3         
Term: whereas                        Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: work                           Term Frequency: 3         
Term: word                           Term Frequency: 3         
Term: because                        Term Frequency: 3         
Term: http                           Term Frequency: 3         
Term: useful                         Term Frequency: 3         
Term: engage                         Term Frequency: 3         
Term: research                       Term Frequency: 3         
Term: sharing                        Term Frequency: 3         
Term: explicit                       Term Frequency: 3         
Term: moderated                      Term Frequency: 3         
Term: levels                         Term Frequency: 3         
Term: section                        Term Frequency: 3         
Term: presented                      Term Frequency: 3         
Term: contained                      Term Frequency: 3         
Term: am                             Term Frequency: 3         
Term: do                             Term Frequency: 3         
