Term: students                       Term Frequency: 111       
Term: course                         Term Frequency: 54        
Term: learning                       Term Frequency: 47        
Term: student                        Term Frequency: 44        
Term: we                             Term Frequency: 41        
Term: from                           Term Frequency: 41        
Term: qualified                      Term Frequency: 39        
Term: courses                        Term Frequency: 39        
Term: 1                              Term Frequency: 35        
Term: 2                              Term Frequency: 34        
Term: analytics                      Term Frequency: 34        
Term: two                            Term Frequency: 31        
Term: 3                              Term Frequency: 30        
Term: data                           Term Frequency: 30        
Term: state                          Term Frequency: 28        
Term: principles                     Term Frequency: 23        
Term: both                           Term Frequency: 23        
Term: have                           Term Frequency: 22        
Term: more                           Term Frequency: 22        
Term: can                            Term Frequency: 22        
Term: n                              Term Frequency: 21        
Term: marks                          Term Frequency: 21        
Term: transition                     Term Frequency: 21        
Term: mooc                           Term Frequency: 21        
Term: assignment                     Term Frequency: 21        
Term: patterns                       Term Frequency: 20        
Term: assessment                     Term Frequency: 19        
Term: part                           Term Frequency: 19        
Term: research                       Term Frequency: 19        
Term: engagement                     Term Frequency: 19        
Term: non                            Term Frequency: 18        
Term: performance                    Term Frequency: 18        
Term: 4                              Term Frequency: 17        
Term: 5                              Term Frequency: 17        
Term: who                            Term Frequency: 17        
Term: different                      Term Frequency: 17        
Term: were                           Term Frequency: 17        
Term: how                            Term Frequency: 16        
Term: open                           Term Frequency: 16        
Term: used                           Term Frequency: 16        
Term: analysis                       Term Frequency: 16        
Term: transitions                    Term Frequency: 16        
Term: section                        Term Frequency: 15        
Term: which                          Term Frequency: 15        
Term: could                          Term Frequency: 15        
Term: paper                          Term Frequency: 15        
Term: number                         Term Frequency: 15        
Term: curriculum                     Term Frequency: 15        
Term: online                         Term Frequency: 15        
Term: visualizations                 Term Frequency: 13        
Term: weeks                          Term Frequency: 13        
Term: each                           Term Frequency: 13        
Term: active                         Term Frequency: 12        
Term: first                          Term Frequency: 12        
Term: structure                      Term Frequency: 12        
Term: group                          Term Frequency: 12        
Term: knowledge                      Term Frequency: 12        
Term: 2013                           Term Frequency: 12        
Term: assignments                    Term Frequency: 12        
Term: also                           Term Frequency: 12        
Term: stu                            Term Frequency: 12        
