Term: discourse                      Term Frequency: 175       
Term: ideas                          Term Frequency: 100       
Term: analysis                       Term Frequency: 87        
Term: knowledge                      Term Frequency: 82        
Term: within                         Term Frequency: 71        
Term: keywords                       Term Frequency: 58        
Term: learning                       Term Frequency: 57        
Term: from                           Term Frequency: 48        
Term: community                      Term Frequency: 46        
Term: can                            Term Frequency: 42        
Term: network                        Term Frequency: 40        
Term: social                         Term Frequency: 38        
Term: we                             Term Frequency: 37        
Term: students                       Term Frequency: 37        
Term: building                       Term Frequency: 31        
Term: understanding                  Term Frequency: 30        
Term: temporal                       Term Frequency: 30        
Term: units                          Term Frequency: 29        
Term: were                           Term Frequency: 29        
Term: through                        Term Frequency: 29        
Term: using                          Term Frequency: 28        
Term: also                           Term Frequency: 28        
Term: which                          Term Frequency: 27        
Term: could                          Term Frequency: 25        
Term: how                            Term Frequency: 24        
Term: content                        Term Frequency: 22        
Term: time                           Term Frequency: 22        
Term: provide                        Term Frequency: 20        
Term: analytics                      Term Frequency: 19        
Term: research                       Term Frequency: 19        
Term: idea                           Term Frequency: 19        
Term: text                           Term Frequency: 18        
Term: networks                       Term Frequency: 18        
Term: used                           Term Frequency: 18        
Term: 1                              Term Frequency: 17        
Term: study                          Term Frequency: 17        
Term: unit                           Term Frequency: 17        
Term: different                      Term Frequency: 17        
Term: level                          Term Frequency: 17        
Term: process                        Term Frequency: 17        
Term: other                          Term Frequency: 17        
Term: use                            Term Frequency: 16        
Term: data                           Term Frequency: 15        
Term: online                         Term Frequency: 15        
Term: more                           Term Frequency: 15        
Term: further                        Term Frequency: 14        
Term: has                            Term Frequency: 14        
Term: between                        Term Frequency: 14        
Term: determine                      Term Frequency: 14        
Term: usage                          Term Frequency: 14        
Term: trends                         Term Frequency: 14        
Term: 2                              Term Frequency: 13        
Term: interest                       Term Frequency: 13        
Term: often                          Term Frequency: 13        
Term: discussion                     Term Frequency: 13        
Term: keyword                        Term Frequency: 13        
Term: over                           Term Frequency: 13        
Term: impact                         Term Frequency: 12        
Term: when                           Term Frequency: 12        
Term: promising                      Term Frequency: 12        
Term: therefore                      Term Frequency: 12        
Term: participants                   Term Frequency: 12        
Term: frequency                      Term Frequency: 12        
Term: provided                       Term Frequency: 11        
Term: measures                       Term Frequency: 11        
Term: methodology                    Term Frequency: 11        
Term: relationships                  Term Frequency: 11        
Term: student                        Term Frequency: 11        
Term: tools                          Term Frequency: 11        
Term: present                        Term Frequency: 11        
Term: improvement                    Term Frequency: 11        
Term: however                        Term Frequency: 11        
Term: interests                      Term Frequency: 11        
Term: where                          Term Frequency: 11        
Term: 3                              Term Frequency: 10        
Term: i                              Term Frequency: 10        
Term: two                            Term Frequency: 10        
Term: creation                       Term Frequency: 10        
Term: graph                          Term Frequency: 10        
Term: mining                         Term Frequency: 10        
Term: discussions                    Term Frequency: 10        
Term: would                          Term Frequency: 10        
Term: improve                        Term Frequency: 10        
Term: regarding                      Term Frequency: 10        
Term: one                            Term Frequency: 10        
