Term: reading                        Term Frequency: 218       
Term: students                       Term Frequency: 204       
Term: achievement                    Term Frequency: 197       
Term: past                           Term Frequency: 87        
Term: classmates                     Term Frequency: 81        
Term: school                         Term Frequency: 78        
Term: student                        Term Frequency: 76        
Term: higher                         Term Frequency: 73        
Term: variance                       Term Frequency: 65        
Term: mean                           Term Frequency: 64        
Term: achieving                      Term Frequency: 61        
Term: classmate                      Term Frequency: 60        
Term: more                           Term Frequency: 59        
Term: class                          Term Frequency: 53        
Term: resources                      Term Frequency: 53        
Term: attitude                       Term Frequency: 50        
Term: can                            Term Frequency: 50        
Term: 10                             Term Frequency: 42        
Term: family                         Term Frequency: 42        
Term: schools                        Term Frequency: 37        
Term: 2                              Term Frequency: 35        
Term: have                           Term Frequency: 35        
Term: help                           Term Frequency: 34        
Term: tracking                       Term Frequency: 34        
Term: 1                              Term Frequency: 33        
Term: learning                       Term Frequency: 33        
Term: academic                       Term Frequency: 31        
Term: education                      Term Frequency: 31        
Term: from                           Term Frequency: 30        
Term: greater                        Term Frequency: 30        
Term: j                              Term Frequency: 29        
Term: we                             Term Frequency: 28        
Term: high                           Term Frequency: 28        
Term: lower                          Term Frequency: 28        
Term: attitudes                      Term Frequency: 27        
Term: clustering                     Term Frequency: 27        
Term: across                         Term Frequency: 26        
Term: results                        Term Frequency: 26        
Term: different                      Term Frequency: 25        
Term: similar                        Term Frequency: 25        
Term: when                           Term Frequency: 24        
Term: 20                             Term Frequency: 23        
Term: than                           Term Frequency: 23        
Term: linked                         Term Frequency: 23        
Term: home                           Term Frequency: 23        
Term: variables                      Term Frequency: 22        
Term: low                            Term Frequency: 22        
Term: country                        Term Frequency: 22        
Term: might                          Term Frequency: 21        
Term: teacher                        Term Frequency: 20        
Term: other                          Term Frequency: 20        
Term: classes                        Term Frequency: 19        
Term: educational                    Term Frequency: 19        
Term: see                            Term Frequency: 19        
Term: learn                          Term Frequency: 18        
Term: often                          Term Frequency: 18        
Term: points                         Term Frequency: 18        
Term: towards                        Term Frequency: 18        
Term: 3                              Term Frequency: 17        
