Term: data                           Term Frequency: 170       
Term: privacy                        Term Frequency: 122       
Term: learning                       Term Frequency: 78        
Term: protection                     Term Frequency: 66        
Term: analytics                      Term Frequency: 58        
Term: 2016                           Term Frequency: 52        
Term: from                           Term Frequency: 47        
Term: design                         Term Frequency: 46        
Term: requirements                   Term Frequency: 41        
Term: have                           Term Frequency: 40        
Term: how                            Term Frequency: 37        
Term: personal                       Term Frequency: 36        
Term: information                    Term Frequency: 34        
Term: education                      Term Frequency: 31        
Term: countries                      Term Frequency: 30        
Term: we                             Term Frequency: 29        
Term: gdpr                           Term Frequency: 28        
Term: research                       Term Frequency: 28        
Term: systems                        Term Frequency: 27        
Term: educational                    Term Frequency: 27        
Term: discourse                      Term Frequency: 26        
Term: frameworks                     Term Frequency: 26        
Term: 1                              Term Frequency: 25        
Term: issues                         Term Frequency: 25        
Term: has                            Term Frequency: 25        
Term: national                       Term Frequency: 25        
Term: which                          Term Frequency: 24        
Term: new                            Term Frequency: 24        
Term: more                           Term Frequency: 23        
Term: international                  Term Frequency: 22        
Term: paper                          Term Frequency: 22        
Term: about                          Term Frequency: 22        
Term: legal                          Term Frequency: 21        
Term: development                    Term Frequency: 21        
Term: 01                             Term Frequency: 20        
Term: principles                     Term Frequency: 20        
Term: different                      Term Frequency: 20        
Term: 2                              Term Frequency: 19        
Term: 06                             Term Frequency: 19        
Term: what                           Term Frequency: 19        
Term: process                        Term Frequency: 19        
Term: use                            Term Frequency: 18        
Term: http                           Term Frequency: 18        
Term: individual                     Term Frequency: 18        
Term: learner                        Term Frequency: 17        
Term: pedagogical                    Term Frequency: 17        
Term: 6                              Term Frequency: 16        
Term: right                          Term Frequency: 16        
Term: community                      Term Frequency: 16        
Term: framework                      Term Frequency: 16        
Term: could                          Term Frequency: 16        
Term: university                     Term Frequency: 16        
Term: 2015                           Term Frequency: 16        
Term: also                           Term Frequency: 16        
Term: may                            Term Frequency: 15        
Term: out                            Term Frequency: 15        
Term: analysis                       Term Frequency: 15        
Term: 3                              Term Frequency: 14        
Term: only                           Term Frequency: 14        
Term: policy                         Term Frequency: 14        
Term: used                           Term Frequency: 14        
Term: processing                     Term Frequency: 14        
Term: all                            Term Frequency: 14        
Term: policies                       Term Frequency: 13        
Term: influence                      Term Frequency: 13        
Term: collection                     Term Frequency: 13        
Term: work                           Term Frequency: 12        
Term: student                        Term Frequency: 12        
Term: tools                          Term Frequency: 12        
Term: been                           Term Frequency: 12        
Term: application                    Term Frequency: 12        
Term: between                        Term Frequency: 12        
Term: processes                      Term Frequency: 12        
Term: system                         Term Frequency: 12        
Term: can                            Term Frequency: 12        
