Term: essays                         Term Frequency: 40        
Term: rhetorical                     Term Frequency: 34        
Term: writing                        Term Frequency: 33        
Term: sentences                      Term Frequency: 33        
Term: salient                        Term Frequency: 26        
Term: analysis                       Term Frequency: 26        
Term: students                       Term Frequency: 24        
Term: we                             Term Frequency: 24        
Term: analytics                      Term Frequency: 22        
Term: research                       Term Frequency: 21        
Term: student                        Term Frequency: 21        
Term: academic                       Term Frequency: 20        
Term: study                          Term Frequency: 20        
Term: which                          Term Frequency: 20        
Term: learning                       Term Frequency: 20        
Term: essay                          Term Frequency: 18        
Term: argumentation                  Term Frequency: 18        
Term: between                        Term Frequency: 18        
Term: education                      Term Frequency: 16        
Term: metadiscourse                  Term Frequency: 16        
Term: have                           Term Frequency: 15        
Term: scholarly                      Term Frequency: 15        
Term: correlation                    Term Frequency: 14        
Term: number                         Term Frequency: 14        
Term: sentence                       Term Frequency: 14        
Term: results                        Term Frequency: 13        
Term: significant                    Term Frequency: 13        
Term: two                            Term Frequency: 12        
Term: background                     Term Frequency: 12        
Term: mark                           Term Frequency: 12        
Term: contrast                       Term Frequency: 12        
Term: from                           Term Frequency: 12        
Term: higher                         Term Frequency: 12        
Term: language                       Term Frequency: 11        
Term: educators                      Term Frequency: 11        
Term: knowledge                      Term Frequency: 11        
Term: were                           Term Frequency: 10        
Term: aspects                        Term Frequency: 10        
Term: grades                         Term Frequency: 10        
Term: literature                     Term Frequency: 10        
Term: independent                    Term Frequency: 10        
Term: alternative                    Term Frequency: 10        
Term: some                           Term Frequency: 10        
Term: 1                              Term Frequency: 9         
Term: p                              Term Frequency: 9         
Term: tutors                         Term Frequency: 9         
Term: variables                      Term Frequency: 9         
Term: pp                             Term Frequency: 9         
Term: approach                       Term Frequency: 9         
Term: model                          Term Frequency: 9         
Term: following                      Term Frequency: 9         
Term: ideas                          Term Frequency: 8         
Term: open                           Term Frequency: 8         
Term: science                        Term Frequency: 8         
Term: used                           Term Frequency: 8         
Term: type                           Term Frequency: 8         
Term: automated                      Term Frequency: 8         
Term: evaluation                     Term Frequency: 8         
Term: within                         Term Frequency: 8         
Term: educational                    Term Frequency: 8         
Term: parser                         Term Frequency: 8         
Term: total                          Term Frequency: 8         
Term: 8                              Term Frequency: 7         
Term: each                           Term Frequency: 7         
Term: teaching                       Term Frequency: 7         
Term: work                           Term Frequency: 7         
Term: vol                            Term Frequency: 7         
Term: when                           Term Frequency: 7         
Term: them                           Term Frequency: 7         
Term: one                            Term Frequency: 7         
Term: out                            Term Frequency: 7         
Term: regression                     Term Frequency: 7         
Term: summary                        Term Frequency: 7         
Term: other                          Term Frequency: 7         
Term: show                           Term Frequency: 7         
Term: does                           Term Frequency: 6         
Term: use                            Term Frequency: 6         
Term: variable                       Term Frequency: 6         
Term: correlations                   Term Frequency: 6         
Term: what                           Term Frequency: 6         
Term: grid                           Term Frequency: 6         
Term: de                             Term Frequency: 6         
Term: our                            Term Frequency: 6         
Term: framework                      Term Frequency: 6         
Term: convey                         Term Frequency: 6         
Term: explanations                   Term Frequency: 6         
Term: found                          Term Frequency: 6         
Term: has                            Term Frequency: 6         
Term: marking                        Term Frequency: 6         
Term: could                          Term Frequency: 6         
Term: marks                          Term Frequency: 6         
Term: moves                          Term Frequency: 6         
Term: all                            Term Frequency: 6         
Term: through                        Term Frequency: 6         
Term: discourse                      Term Frequency: 6         
