Term: learners                       Term Frequency: 128       
Term: feedback                       Term Frequency: 98        
Term: we                             Term Frequency: 86        
Term: course                         Term Frequency: 63        
Term: learning                       Term Frequency: 50        
Term: system                         Term Frequency: 42        
Term: social                         Term Frequency: 37        
Term: cultural                       Term Frequency: 37        
Term: completion                     Term Frequency: 36        
Term: learner                        Term Frequency: 35        
Term: behavior                       Term Frequency: 34        
Term: 1                              Term Frequency: 33        
Term: moocs                          Term Frequency: 32        
Term: from                           Term Frequency: 31        
Term: treatment                      Term Frequency: 30        
Term: framing                        Term Frequency: 30        
Term: 2                              Term Frequency: 29        
Term: comparison                     Term Frequency: 29        
Term: p                              Term Frequency: 27        
Term: metrics                        Term Frequency: 27        
Term: cultures                       Term Frequency: 27        
Term: all                            Term Frequency: 27        
Term: each                           Term Frequency: 25        
Term: self                           Term Frequency: 24        
Term: week                           Term Frequency: 21        
Term: engagement                     Term Frequency: 21        
Term: prior                          Term Frequency: 20        
Term: education                      Term Frequency: 17        
Term: rates                          Term Frequency: 17        
Term: based                          Term Frequency: 17        
Term: between                        Term Frequency: 17        
Term: research                       Term Frequency: 17        
Term: our                            Term Frequency: 17        
Term: work                           Term Frequency: 16        
Term: different                      Term Frequency: 16        
Term: were                           Term Frequency: 16        
Term: online                         Term Frequency: 16        
Term: s                              Term Frequency: 15        
Term: who                            Term Frequency: 15        
Term: time                           Term Frequency: 15        
Term: questions                      Term Frequency: 15        
Term: high                           Term Frequency: 15        
Term: achievement                    Term Frequency: 15        
Term: design                         Term Frequency: 15        
Term: can                            Term Frequency: 15        
Term: n                              Term Frequency: 14        
Term: pages                          Term Frequency: 14        
Term: support                        Term Frequency: 14        
Term: tight                          Term Frequency: 14        
Term: table                          Term Frequency: 14        
Term: successful                     Term Frequency: 14        
Term: across                         Term Frequency: 13        
Term: which                          Term Frequency: 13        
Term: those                          Term Frequency: 13        
Term: only                           Term Frequency: 13        
Term: low                            Term Frequency: 13        
Term: one                            Term Frequency: 13        
Term: 2016                           Term Frequency: 13        
Term: more                           Term Frequency: 13        
Term: 3                              Term Frequency: 12        
Term: 5                              Term Frequency: 12        
Term: two                            Term Frequency: 12        
Term: experiments                    Term Frequency: 12        
Term: effect                         Term Frequency: 12        
Term: four                           Term Frequency: 12        
Term: context                        Term Frequency: 12        
Term: number                         Term Frequency: 12        
Term: significant                    Term Frequency: 12        
Term: level                          Term Frequency: 12        
Term: open                           Term Frequency: 12        
Term: shown                          Term Frequency: 11        
Term: learn                          Term Frequency: 11        
Term: collectivist                   Term Frequency: 11        
Term: while                          Term Frequency: 11        
Term: than                           Term Frequency: 11        
Term: active                         Term Frequency: 11        
Term: three                          Term Frequency: 11        
Term: effects                        Term Frequency: 11        
Term: data                           Term Frequency: 11        
Term: conditions                     Term Frequency: 11        
Term: 6                              Term Frequency: 10        
Term: found                          Term Frequency: 10        
Term: how                            Term Frequency: 10        
Term: control                        Term Frequency: 10        
Term: condition                      Term Frequency: 10        
Term: provide                        Term Frequency: 10        
Term: models                         Term Frequency: 10        
Term: psychology                     Term Frequency: 10        
Term: tightness                      Term Frequency: 10        
Term: most                           Term Frequency: 10        
Term: 8                              Term Frequency: 9         
Term: x                              Term Frequency: 9         
Term: con                            Term Frequency: 9         
Term: hours                          Term Frequency: 9         
Term: 30                             Term Frequency: 9         
Term: platform                       Term Frequency: 9         
Term: loose                          Term Frequency: 9         
Term: study                          Term Frequency: 9         
Term: differences                    Term Frequency: 9         
Term: al                             Term Frequency: 9         
Term: rate                           Term Frequency: 9         
Term: registered                     Term Frequency: 9         
Term: so                             Term Frequency: 9         
Term: has                            Term Frequency: 9         
Term: tion                           Term Frequency: 9         
Term: learner’s                      Term Frequency: 9         
Term: courses                        Term Frequency: 9         
Term: less                           Term Frequency: 9         
Term: university                     Term Frequency: 9         
Term: quiz                           Term Frequency: 9         
Term: regulated                      Term Frequency: 9         
Term: pass                           Term Frequency: 9         
Term: personalized                   Term Frequency: 9         
Term: feedbacksystem                 Term Frequency: 9         
Term: increased                      Term Frequency: 9         
Term: peers                          Term Frequency: 9         
Term: role                           Term Frequency: 8         
Term: provided                       Term Frequency: 8         
Term: better                         Term Frequency: 8         
Term: test                           Term Frequency: 8         
Term: ers                            Term Frequency: 8         
Term: metric                         Term Frequency: 8         
Term: et                             Term Frequency: 8         
Term: them                           Term Frequency: 8         
Term: first                          Term Frequency: 8         
Term: ing                            Term Frequency: 8         
Term: prevention                     Term Frequency: 8         
Term: individualism                  Term Frequency: 8         
Term: individualist                  Term Frequency: 8         
Term: new                            Term Frequency: 8         
Term: students                       Term Frequency: 8         
Term: levels                         Term Frequency: 8         
Term: own                            Term Frequency: 8         
Term: analyses                       Term Frequency: 8         
Term: per                            Term Frequency: 8         
Term: performance                    Term Frequency: 8         
Term: results                        Term Frequency: 8         
Term: also                           Term Frequency: 8         
Term: 4                              Term Frequency: 7         
Term: 7                              Term Frequency: 7         
Term: journal                        Term Frequency: 7         
Term: 14                             Term Frequency: 7         
Term: 16                             Term Frequency: 7         
Term: treat                          Term Frequency: 7         
Term: theory                         Term Frequency: 7         
Term: instead                        Term Frequency: 7         
Term: thus                           Term Frequency: 7         
Term: mean                           Term Frequency: 7         
Term: present                        Term Frequency: 7         
Term: culture                        Term Frequency: 7         
Term: previously                     Term Frequency: 7         
Term: show                           Term Frequency: 7         
Term: however                        Term Frequency: 7         
Term: others                         Term Frequency: 7         
Term: received                       Term Frequency: 7         
Term: used                           Term Frequency: 7         
Term: promotion                      Term Frequency: 7         
Term: environments                   Term Frequency: 7         
Term: pre                            Term Frequency: 7         
Term: pro                            Term Frequency: 7         
Term: increases                      Term Frequency: 7         
Term: through                        Term Frequency: 7         
Term: increase                       Term Frequency: 7         
Term: over                           Term Frequency: 7         
Term: model                          Term Frequency: 7         
Term: behind                         Term Frequency: 7         
Term: tem                            Term Frequency: 6         
Term: i                              Term Frequency: 6         
Term: t                              Term Frequency: 6         
Term: have                           Term Frequency: 6         
Term: effective                      Term Frequency: 6         
Term: sessions                       Term Frequency: 6         
Term: shows                          Term Frequency: 6         
Term: impact                         Term Frequency: 6         
Term: average                        Term Frequency: 6         
Term: final                          Term Frequency: 6         
Term: back                           Term Frequency: 6         
Term: 10                             Term Frequency: 6         
Term: 15                             Term Frequency: 6         
Term: 17                             Term Frequency: 6         
Term: tions                          Term Frequency: 6         
Term: attempted                      Term Frequency: 6         
Term: grades                         Term Frequency: 6         
Term: literature                     Term Frequency: 6         
Term: student                        Term Frequency: 6         
Term: terms                          Term Frequency: 6         
Term: timeliness                     Term Frequency: 6         
Term: scale                          Term Frequency: 6         
Term: i.e                            Term Frequency: 6         
Term: focus                          Term Frequency: 6         
Term: studies                        Term Frequency: 6         
Term: overall                        Term Frequency: 6         
Term: statistically                  Term Frequency: 6         
Term: evaluate                       Term Frequency: 6         
Term: analysis                       Term Frequency: 6         
Term: group                          Term Frequency: 6         
Term: positive                       Term Frequency: 6         
Term: moreover                       Term Frequency: 6         
Term: track                          Term Frequency: 6         
Term: educated                       Term Frequency: 6         
Term: compared                       Term Frequency: 6         
Term: change                         Term Frequency: 6         
Term: highly                         Term Frequency: 6         
Term: sys                            Term Frequency: 6         
Term: same                           Term Frequency: 5         
Term: analytics                      Term Frequency: 5         
Term: cul                            Term Frequency: 5         
Term: measures                       Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: 13                             Term Frequency: 5         
Term: 24                             Term Frequency: 5         
Term: 28                             Term Frequency: 5         
Term: 31                             Term Frequency: 5         
Term: 33                             Term Frequency: 5         
Term: progress                       Term Frequency: 5         
Term: countries                      Term Frequency: 5         
Term: section                        Term Frequency: 5         
Term: content                        Term Frequency: 5         
Term: single                         Term Frequency: 5         
Term: up                             Term Frequency: 5         
Term: vs                             Term Frequency: 5         
Term: difference                     Term Frequency: 5         
Term: before                         Term Frequency: 5         
Term: values                         Term Frequency: 5         
Term: educational                    Term Frequency: 5         
Term: individual                     Term Frequency: 5         
Term: experiment                     Term Frequency: 5         
Term: improve                        Term Frequency: 5         
Term: does                           Term Frequency: 5         
Term: log                            Term Frequency: 5         
Term: minutes                        Term Frequency: 5         
Term: may                            Term Frequency: 5         
Term: texts                          Term Frequency: 5         
Term: deployed                       Term Frequency: 5         
Term: specific                       Term Frequency: 5         
Term: now                            Term Frequency: 5         
Term: activity                       Term Frequency: 5         
Term: groups                         Term Frequency: 5         
Term: achieve                        Term Frequency: 5         
Term: days                           Term Frequency: 5         
Term: overview                       Term Frequency: 5         
Term: 2015                           Term Frequency: 5         
Term: people                         Term Frequency: 5         
Term: other                          Term Frequency: 5         
Term: regulatory                     Term Frequency: 5         
Term: large                          Term Frequency: 5         
Term: tested                         Term Frequency: 5         
Term: behaviors                      Term Frequency: 5         
Term: 9                              Term Frequency: 4         
Term: information                    Term Frequency: 4         
Term: multiple                       Term Frequency: 4         
Term: promotional                    Term Frequency: 4         
Term: findings                       Term Frequency: 4         
Term: further                        Term Frequency: 4         
Term: compare                        Term Frequency: 4         
Term: 0.04                           Term Frequency: 4         
Term: text                           Term Frequency: 4         
Term: use                            Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: 18                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: 23                             Term Frequency: 4         
Term: 27                             Term Frequency: 4         
Term: 36                             Term Frequency: 4         
Term: 45                             Term Frequency: 4         
Term: 60                             Term Frequency: 4         
Term: spent                          Term Frequency: 4         
Term: visual                         Term Frequency: 4         
Term: forum                          Term Frequency: 4         
Term: environment                    Term Frequency: 4         
Term: far                            Term Frequency: 4         
Term: explore                        Term Frequency: 4         
Term: presented                      Term Frequency: 4         
Term: summative                      Term Frequency: 4         
Term: evaluated                      Term Frequency: 4         
Term: do                             Term Frequency: 4         
Term: changes                        Term Frequency: 4         
Term: massive                        Term Frequency: 4         
Term: could                          Term Frequency: 4         
Term: ment                           Term Frequency: 4         
Term: providing                      Term Frequency: 4         
Term: weeks                          Term Frequency: 4         
Term: its                            Term Frequency: 4         
Term: you’re                         Term Frequency: 4         
Term: majority                       Term Frequency: 4         
Term: report                         Term Frequency: 4         
Term: facilitates                    Term Frequency: 4         
Term: contexts                       Term Frequency: 4         
Term: comparing                      Term Frequency: 4         
Term: address                        Term Frequency: 4         
Term: inthe                          Term Frequency: 4         
Term: motivation                     Term Frequency: 4         
Term: interactive                    Term Frequency: 4         
Term: combination                    Term Frequency: 4         
Term: feed                           Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: strategies                     Term Frequency: 4         
Term: when                           Term Frequency: 4         
Term: dashboard                      Term Frequency: 4         
Term: designed                       Term Frequency: 4         
Term: out                            Term Frequency: 4         
Term: like                           Term Frequency: 4         
Term: independent                    Term Frequency: 4         
Term: peer                           Term Frequency: 4         
Term: median                         Term Frequency: 4         
Term: videos                         Term Frequency: 4         
Term: find                           Term Frequency: 4         
Term: task                           Term Frequency: 4         
Term: score                          Term Frequency: 4         
Term: ran                            Term Frequency: 4         
Term: targeted                       Term Frequency: 4         
Term: edition                        Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: set                            Term Frequency: 4         
Term: visualization                  Term Frequency: 4         
Term: individualistic                Term Frequency: 4         
Term: higher                         Term Frequency: 4         
Term: exciting                       Term Frequency: 3         
Term: com                            Term Frequency: 3         
Term: technologies                   Term Frequency: 3         
Term: heterogeneity                  Term Frequency: 3         
Term: cues                           Term Frequency: 3         
Term: 0.02                           Term Frequency: 3         
Term: length                         Term Frequency: 3         
Term: 0.36                           Term Frequency: 3         
Term: motivated                      Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: due                            Term Frequency: 3         
Term: observed                       Term Frequency: 3         
Term: released                       Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: benefit                        Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: 29                             Term Frequency: 3         
Term: 35                             Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: 40                             Term Frequency: 3         
Term: 41                             Term Frequency: 3         
Term: 42                             Term Frequency: 3         
Term: 43                             Term Frequency: 3         
Term: threshold                      Term Frequency: 3         
Term: advantage                      Term Frequency: 3         
Term: planning                       Term Frequency: 3         
Term: least                          Term Frequency: 3         
Term: need                           Term Frequency: 3         
Term: tures                          Term Frequency: 3         
Term: 4.1                            Term Frequency: 3         
Term: ofthe                          Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: ac                             Term Frequency: 3         
Term: systems                        Term Frequency: 3         
Term: cf                             Term Frequency: 3         
Term: de                             Term Frequency: 3         
Term: form                           Term Frequency: 3         
Term: ii                             Term Frequency: 3         
Term: ability                        Term Frequency: 3         
Term: second                         Term Frequency: 3         
Term: suggests                       Term Frequency: 3         
Term: mi                             Term Frequency: 3         
Term: norms                          Term Frequency: 3         
Term: personalizedfeedback           Term Frequency: 3         
Term: conclude                       Term Frequency: 3         
Term: insight                        Term Frequency: 3         
Term: separately                     Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: school                         Term Frequency: 3         
Term: updated                        Term Frequency: 3         
Term: her                            Term Frequency: 3         
Term: havior                         Term Frequency: 3         
Term: consistent                     Term Frequency: 3         
Term: char                           Term Frequency: 3         
Term: topics                         Term Frequency: 3         
Term: best                           Term Frequency: 3         
Term: regulation                     Term Frequency: 3         
Term: reflect                        Term Frequency: 3         
Term: meta                           Term Frequency: 3         
Term: iii                            Term Frequency: 3         
Term: value                          Term Frequency: 3         
Term: ior                            Term Frequency: 3         
Term: indicators                     Term Frequency: 3         
Term: variation                      Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: benefited                      Term Frequency: 3         
Term: spider                         Term Frequency: 3         
Term: developed                      Term Frequency: 3         
Term: views                          Term Frequency: 3         
Term: proportion                     Term Frequency: 3         
Term: world                          Term Frequency: 3         
Term: directly                       Term Frequency: 3         
Term: establish                      Term Frequency: 3         
Term: total                          Term Frequency: 3         
Term: available                      Term Frequency: 3         
Term: especially                     Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: person                         Term Frequency: 3         
Term: socialcomparison               Term Frequency: 3         
Term: behavioral                     Term Frequency: 3         
Term: promote                        Term Frequency: 3         
Term: page                           Term Frequency: 3         
Term: experience                     Term Frequency: 3         
Term: assigned                       Term Frequency: 3         
Term: dition                         Term Frequency: 3         
Term: because                        Term Frequency: 3         
Term: similar                        Term Frequency: 3         
Term: non                            Term Frequency: 3         
Term: earned                         Term Frequency: 3         
Term: promotes                       Term Frequency: 3         
Term: investigated                   Term Frequency: 3         
Term: search                         Term Frequency: 3         
Term: 31.3                           Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: lower                          Term Frequency: 3         
Term: complete                       Term Frequency: 3         
Term: cognitive                      Term Frequency: 3         
Term: country                        Term Frequency: 3         
Term: awareness                      Term Frequency: 3         
Term: push                           Term Frequency: 3         
Term: ahead                          Term Frequency: 3         
Term: interface                      Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: consider                       Term Frequency: 3         
Term: population                     Term Frequency: 3         
Term: 33.8                           Term Frequency: 3         
Term: onthe                          Term Frequency: 3         
Term: some                           Term Frequency: 3         
Term: session                        Term Frequency: 3         
Term: monitor                        Term Frequency: 3         
Term: 2017                           Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: processes                      Term Frequency: 3         
Term: desirable                      Term Frequency: 3         
Term: intervention                   Term Frequency: 3         
Term: setting                        Term Frequency: 3         
Term: 21.4                           Term Frequency: 3         
Term: interventions                  Term Frequency: 3         
Term: therefore                      Term Frequency: 3         
Term: age                            Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: relations                      Term Frequency: 3         
Term: benefits                       Term Frequency: 3         
Term: introduce                      Term Frequency: 3         
Term: experimental                   Term Frequency: 3         
Term: strong                         Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: sample                         Term Frequency: 3         
Term: she                            Term Frequency: 3         
Term: six                            Term Frequency: 3         
Term: bit                            Term Frequency: 3         
Term: current                        Term Frequency: 3         
Term: 160                            Term Frequency: 3         
Term: doing                          Term Frequency: 3         
Term: behav                          Term Frequency: 3         
Term: passing                        Term Frequency: 3         
Term: goal                           Term Frequency: 3         
Term: result                         Term Frequency: 2         
Term: entering                       Term Frequency: 2         
Term: 1,251                          Term Frequency: 2         
Term: 1,268                          Term Frequency: 2         
Term: representation                 Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: e.g                            Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: times                          Term Frequency: 2         
Term: activities                     Term Frequency: 2         
Term: state                          Term Frequency: 2         
Term: offering                       Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: culturaldimensions             Term Frequency: 2         
Term: tech                           Term Frequency: 2         
Term: ences                          Term Frequency: 2         
Term: regulate                       Term Frequency: 2         
Term: consistency                    Term Frequency: 2         
Term: 37.0                           Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: drinking                       Term Frequency: 2         
Term: water                          Term Frequency: 2         
Term: instructor                     Term Frequency: 2         
Term: lectures                       Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: going                          Term Frequency: 2         
Term: 0.11                           Term Frequency: 2         
Term: 0.34                           Term Frequency: 2         
Term: 0.29                           Term Frequency: 2         
Term: 0.25                           Term Frequency: 2         
Term: clicks                         Term Frequency: 2         
Term: showing                        Term Frequency: 2         
Term: upcoming                       Term Frequency: 2         
Term: 0.53                           Term Frequency: 2         
Term: mance                          Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: yielded                        Term Frequency: 2         
Term: forward                        Term Frequency: 2         
Term: 0.82                           Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: 365                            Term Frequency: 2         
Term: 26                             Term Frequency: 2         
Term: examine                        Term Frequency: 2         
