Term: dialogue                       Term Frequency: 101       
Term: exploratory                    Term Frequency: 96        
Term: learning                       Term Frequency: 79        
Term: training                       Term Frequency: 59        
Term: self                           Term Frequency: 49        
Term: we                             Term Frequency: 36        
Term: k                              Term Frequency: 34        
Term: features                       Term Frequency: 34        
Term: were                           Term Frequency: 34        
Term: classifier                     Term Frequency: 32        
Term: analytics                      Term Frequency: 30        
Term: cue                            Term Frequency: 29        
Term: online                         Term Frequency: 29        
Term: used                           Term Frequency: 27        
Term: 1                              Term Frequency: 26        
Term: 2                              Term Frequency: 24        
Term: approach                       Term Frequency: 24        
Term: based                          Term Frequency: 24        
Term: knn                            Term Frequency: 24        
Term: annotated                      Term Frequency: 24        
Term: turns                          Term Frequency: 23        
Term: using                          Term Frequency: 23        
Term: from                           Term Frequency: 22        
Term: each                           Term Frequency: 22        
Term: learners                       Term Frequency: 22        
Term: 3                              Term Frequency: 21        
Term: labelled                       Term Frequency: 21        
Term: could                          Term Frequency: 21        
Term: phrases                        Term Frequency: 21        
Term: method                         Term Frequency: 21        
Term: dataset                        Term Frequency: 20        
Term: talk                           Term Frequency: 20        
Term: set                            Term Frequency: 20        
Term: pseudo                         Term Frequency: 19        
Term: framework                      Term Frequency: 19        
Term: nearest                        Term Frequency: 19        
Term: our                            Term Frequency: 19        
Term: data                           Term Frequency: 19        
Term: social                         Term Frequency: 18        
Term: classification                 Term Frequency: 18        
Term: when                           Term Frequency: 18        
Term: study                          Term Frequency: 17        
Term: neighbours                     Term Frequency: 17        
Term: conference                     Term Frequency: 17        
Term: one                            Term Frequency: 17        
Term: support                        Term Frequency: 17        
Term: session                        Term Frequency: 17        
Term: n                              Term Frequency: 16        
Term: use                            Term Frequency: 16        
Term: within                         Term Frequency: 16        
Term: all                            Term Frequency: 16        
Term: sessions                       Term Frequency: 15        
Term: which                          Term Frequency: 15        
Term: discussion                     Term Frequency: 15        
Term: detection                      Term Frequency: 15        
Term: more                           Term Frequency: 15        
Term: instances                      Term Frequency: 15        
Term: order                          Term Frequency: 14        
Term: has                            Term Frequency: 14        
Term: non                            Term Frequency: 14        
Term: identified                     Term Frequency: 14        
Term: process                        Term Frequency: 14        
Term: knowledge                      Term Frequency: 14        
Term: performance                    Term Frequency: 14        
Term: discourse                      Term Frequency: 14        
Term: have                           Term Frequency: 13        
Term: two                            Term Frequency: 13        
Term: value                          Term Frequency: 13        
Term: instance                       Term Frequency: 13        
Term: also                           Term Frequency: 13        
Term: participants                   Term Frequency: 13        
Term: text                           Term Frequency: 12        
Term: work                           Term Frequency: 12        
Term: number                         Term Frequency: 12        
Term: only                           Term Frequency: 12        
Term: research                       Term Frequency: 12        
Term: reasoning                      Term Frequency: 12        
Term: both                           Term Frequency: 12        
Term: figure                         Term Frequency: 12        
Term: education                      Term Frequency: 11        
Term: time                           Term Frequency: 11        
Term: how                            Term Frequency: 11        
Term: would                          Term Frequency: 11        
Term: three                          Term Frequency: 11        
Term: proposed                       Term Frequency: 11        
Term: analysis                       Term Frequency: 11        
Term: visualisation                  Term Frequency: 11        
Term: accuracy                       Term Frequency: 11        
Term: therefore                      Term Frequency: 11        
Term: results                        Term Frequency: 11        
Term: turn                           Term Frequency: 10        
Term: m                              Term Frequency: 10        
Term: p                              Term Frequency: 10        
Term: 13                             Term Frequency: 10        
Term: many                           Term Frequency: 10        
Term: language                       Term Frequency: 10        
Term: them                           Term Frequency: 10        
Term: classroom                      Term Frequency: 10        
Term: phrase                         Term Frequency: 10        
Term: between                        Term Frequency: 10        
Term: employed                       Term Frequency: 10        
Term: approaches                     Term Frequency: 10        
Term: user                           Term Frequency: 10        
Term: model                          Term Frequency: 10        
Term: can                            Term Frequency: 10        
Term: information                    Term Frequency: 9         
Term: understanding                  Term Frequency: 9         
Term: assessment                     Term Frequency: 9         
Term: than                           Term Frequency: 9         
Term: pilot                          Term Frequency: 9         
Term: open                           Term Frequency: 9         
Term: development                    Term Frequency: 9         
Term: methods                        Term Frequency: 9         
Term: train                          Term Frequency: 9         
Term: 4                              Term Frequency: 8         
Term: 6                              Term Frequency: 8         
Term: 7                              Term Frequency: 8         
Term: l                              Term Frequency: 8         
Term: computational                  Term Frequency: 8         
Term: word                           Term Frequency: 8         
Term: supervised                     Term Frequency: 8         
Term: automatic                      Term Frequency: 8         
Term: discussions                    Term Frequency: 8         
