Term: learning                       Term Frequency: 49        
Term: cognitive                      Term Frequency: 33        
Term: verbs                          Term Frequency: 27        
Term: can                            Term Frequency: 26        
Term: we                             Term Frequency: 25        
Term: analytics                      Term Frequency: 22        
Term: levels                         Term Frequency: 22        
Term: which                          Term Frequency: 21        
Term: course                         Term Frequency: 21        
Term: student                        Term Frequency: 20        
Term: assessment                     Term Frequency: 19        
Term: level                          Term Frequency: 18        
Term: unit                           Term Frequency: 17        
Term: curriculum                     Term Frequency: 16        
Term: design                         Term Frequency: 15        
Term: tasks                          Term Frequency: 15        
Term: 1                              Term Frequency: 14        
Term: data                           Term Frequency: 14        
Term: example                        Term Frequency: 13        
Term: have                           Term Frequency: 13        
Term: task                           Term Frequency: 13        
Term: learner                        Term Frequency: 13        
Term: students                       Term Frequency: 12        
Term: framework                      Term Frequency: 12        
Term: ing                            Term Frequency: 12        
Term: taxonomy                       Term Frequency: 11        
Term: objectives                     Term Frequency: 11        
Term: more                           Term Frequency: 11        
Term: used                           Term Frequency: 10        
Term: verb                           Term Frequency: 10        
Term: could                          Term Frequency: 10        
Term: application                    Term Frequency: 10        
Term: 2                              Term Frequency: 9         
Term: 3                              Term Frequency: 9         
Term: activities                     Term Frequency: 9         
Term: provide                        Term Frequency: 9         
Term: extent                         Term Frequency: 9         
Term: processing                     Term Frequency: 9         
Term: from                           Term Frequency: 9         
Term: were                           Term Frequency: 8         
Term: each                           Term Frequency: 8         
Term: required                       Term Frequency: 8         
Term: specific                       Term Frequency: 8         
Term: other                          Term Frequency: 8         
Term: all                            Term Frequency: 8         
Term: table                          Term Frequency: 8         
Term: 4                              Term Frequency: 7         
Term: 6                              Term Frequency: 7         
Term: information                    Term Frequency: 7         
Term: well                           Term Frequency: 7         
Term: expected                       Term Frequency: 7         
Term: when                           Term Frequency: 7         
Term: than                           Term Frequency: 7         
Term: our                            Term Frequency: 7         
Term: implementation                 Term Frequency: 7         
Term: how                            Term Frequency: 7         
Term: based                          Term Frequency: 7         
Term: educational                    Term Frequency: 7         
Term: demand                         Term Frequency: 7         
Term: between                        Term Frequency: 7         
Term: s                              Term Frequency: 6         
Term: applied                        Term Frequency: 6         
Term: provides                       Term Frequency: 6         
Term: mapped                         Term Frequency: 6         
Term: faculty                        Term Frequency: 6         
Term: about                          Term Frequency: 6         
Term: mapping                        Term Frequency: 6         
Term: documents                      Term Frequency: 6         
Term: what                           Term Frequency: 6         
Term: one                            Term Frequency: 6         
Term: approach                       Term Frequency: 6         
Term: operation                      Term Frequency: 6         
Term: subcategory                    Term Frequency: 6         
Term: using                          Term Frequency: 6         
Term: both                           Term Frequency: 6         
Term: social                         Term Frequency: 6         
Term: degree                         Term Frequency: 6         
Term: creating                       Term Frequency: 5         
Term: may                            Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: science                        Term Frequency: 5         
Term: learn                          Term Frequency: 5         
Term: represented                    Term Frequency: 5         
Term: needs                          Term Frequency: 5         
Term: them                           Term Frequency: 5         
Term: activity                       Term Frequency: 5         
Term: so                             Term Frequency: 5         
Term: analyse                        Term Frequency: 5         
Term: has                            Term Frequency: 5         
Term: 2013                           Term Frequency: 5         
Term: first                          Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: identify                       Term Frequency: 5         
Term: system                         Term Frequency: 5         
Term: results                        Term Frequency: 5         
Term: those                          Term Frequency: 5         
Term: also                           Term Frequency: 5         
Term: highly                         Term Frequency: 5         
Term: would                          Term Frequency: 4         
Term: 5                              Term Frequency: 4         
Term: 9                              Term Frequency: 4         
Term: particular                     Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: under                          Term Frequency: 4         
Term: papers                         Term Frequency: 4         
Term: use                            Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: 14                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: benefit                        Term Frequency: 4         
Term: associated                     Term Frequency: 4         
Term: respected                      Term Frequency: 4         
Term: useful                         Term Frequency: 4         
Term: ofthe                          Term Frequency: 4         
Term: new                            Term Frequency: 4         
Term: way                            Term Frequency: 4         
Term: issues                         Term Frequency: 4         
Term: study                          Term Frequency: 4         
Term: explicitly                     Term Frequency: 4         
Term: systems                        Term Frequency: 4         
Term: while                          Term Frequency: 4         
Term: us                             Term Frequency: 4         
Term: terms                          Term Frequency: 4         
Term: purpose                        Term Frequency: 4         
Term: analysis                       Term Frequency: 4         
Term: particularly                   Term Frequency: 4         
Term: doesn’t                        Term Frequency: 4         
Term: pro                            Term Frequency: 4         
Term: identified                     Term Frequency: 4         
Term: process                        Term Frequency: 4         
Term: count                          Term Frequency: 4         
Term: some                           Term Frequency: 4         
Term: 2012                           Term Frequency: 4         
