Term: knowledge                      Term Frequency: 44        
Term: learning                       Term Frequency: 38        
Term: analysis                       Term Frequency: 32        
Term: 1                              Term Frequency: 28        
Term: building                       Term Frequency: 25        
Term: discourse                      Term Frequency: 22        
Term: t                              Term Frequency: 20        
Term: collaborative                  Term Frequency: 20        
Term: contribution                   Term Frequency: 20        
Term: sequential                     Term Frequency: 20        
Term: types                          Term Frequency: 20        
Term: 3                              Term Frequency: 19        
Term: lag                            Term Frequency: 19        
Term: threads                        Term Frequency: 19        
Term: research                       Term Frequency: 19        
Term: productive                     Term Frequency: 19        
Term: from                           Term Frequency: 18        
Term: ing                            Term Frequency: 18        
Term: temporal                       Term Frequency: 17        
Term: 2                              Term Frequency: 15        
Term: p                              Term Frequency: 15        
Term: among                          Term Frequency: 14        
Term: study                          Term Frequency: 14        
Term: 4                              Term Frequency: 13        
Term: measures                       Term Frequency: 13        
Term: theorizing                     Term Frequency: 13        
Term: students                       Term Frequency: 12        
Term: different                      Term Frequency: 12        
Term: 6                              Term Frequency: 11        
Term: information                    Term Frequency: 11        
Term: each                           Term Frequency: 11        
Term: temporality                    Term Frequency: 11        
Term: time                           Term Frequency: 11        
Term: transitions                    Term Frequency: 11        
Term: were                           Term Frequency: 10        
Term: between                        Term Frequency: 10        
Term: con                            Term Frequency: 9         
Term: notes                          Term Frequency: 9         
Term: analyzing                      Term Frequency: 9         
Term: coding                         Term Frequency: 9         
Term: we                             Term Frequency: 9         
Term: previous                       Term Frequency: 9         
Term: ways                           Term Frequency: 9         
Term: more                           Term Frequency: 9         
Term: inquiry                        Term Frequency: 9         
Term: transitional                   Term Frequency: 8         
Term: ideas                          Term Frequency: 8         
Term: patterns                       Term Frequency: 8         
Term: contributing                   Term Frequency: 8         
Term: discussion                     Term Frequency: 8         
Term: questioning                    Term Frequency: 8         
Term: group                          Term Frequency: 8         
Term: based                          Term Frequency: 8         
Term: grade                          Term Frequency: 8         
Term: interactions                   Term Frequency: 8         
Term: improvable                     Term Frequency: 8         
Term: 5                              Term Frequency: 7         
Term: 20                             Term Frequency: 7         
Term: behavior                       Term Frequency: 7         
Term: obtaining                      Term Frequency: 7         
Term: pages                          Term Frequency: 7         
Term: supporting                     Term Frequency: 7         
Term: data                           Term Frequency: 7         
Term: units                          Term Frequency: 7         
Term: could                          Term Frequency: 7         
Term: international                  Term Frequency: 7         
Term: table                          Term Frequency: 7         
Term: 9                              Term Frequency: 6         
Term: knowledgebuilding              Term Frequency: 6         
Term: interaction                    Term Frequency: 6         
Term: 05                             Term Frequency: 6         
Term: 13                             Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: sciences                       Term Frequency: 6         
Term: approach                       Term Frequency: 6         
Term: counting                       Term Frequency: 6         
Term: found                          Term Frequency: 6         
Term: has                            Term Frequency: 6         
Term: 0.8                            Term Frequency: 6         
Term: using                          Term Frequency: 6         
Term: question                       Term Frequency: 5         
Term: dataset                        Term Frequency: 5         
Term: particular                     Term Frequency: 5         
Term: editors                        Term Frequency: 5         
Term: 14                             Term Frequency: 5         
Term: 24                             Term Frequency: 5         
Term: useful                         Term Frequency: 5         
Term: pedagogy                       Term Frequency: 5         
Term: supported                      Term Frequency: 5         
Term: which                          Term Frequency: 5         
Term: content                        Term Frequency: 5         
Term: productivity                   Term Frequency: 5         
Term: conference                     Term Frequency: 5         
Term: dialogues                      Term Frequency: 5         
Term: design                         Term Frequency: 5         
Term: working                        Term Frequency: 5         
Term: giving                         Term Frequency: 5         
Term: applying                       Term Frequency: 5         
Term: present                        Term Frequency: 5         
Term: other                          Term Frequency: 5         
Term: all                            Term Frequency: 5         
Term: 0.7                            Term Frequency: 5         
Term: results                        Term Frequency: 5         
Term: important                      Term Frequency: 5         
Term: see                            Term Frequency: 5         
Term: 7                              Term Frequency: 4         
Term: 8                              Term Frequency: 4         
