Term: science                        Term Frequency: 70        
Term: inquiry                        Term Frequency: 45        
Term: expert                         Term Frequency: 43        
Term: may                            Term Frequency: 37        
Term: language                       Term Frequency: 34        
Term: novice                         Term Frequency: 33        
Term: use                            Term Frequency: 31        
Term: authentic                      Term Frequency: 30        
Term: epistemology                   Term Frequency: 28        
Term: learning                       Term Frequency: 27        
Term: verbs                          Term Frequency: 27        
Term: more                           Term Frequency: 27        
Term: we                             Term Frequency: 26        
Term: experts                        Term Frequency: 25        
Term: analysis                       Term Frequency: 25        
Term: beliefs                        Term Frequency: 20        
Term: novices                        Term Frequency: 20        
Term: verb                           Term Frequency: 20        
Term: epistemological                Term Frequency: 20        
Term: 2                              Term Frequency: 19        
Term: were                           Term Frequency: 18        
Term: domain                         Term Frequency: 18        
Term: analytics                      Term Frequency: 17        
Term: texts                          Term Frequency: 17        
Term: used                           Term Frequency: 16        
Term: than                           Term Frequency: 16        
Term: 1                              Term Frequency: 15        
Term: 3                              Term Frequency: 15        
Term: about                          Term Frequency: 14        
Term: word                           Term Frequency: 14        
Term: students                       Term Frequency: 14        
Term: using                          Term Frequency: 14        
Term: 5                              Term Frequency: 13        
Term: specific                       Term Frequency: 13        
Term: tentative                      Term Frequency: 13        
Term: data                           Term Frequency: 13        
Term: lexical                        Term Frequency: 13        
Term: during                         Term Frequency: 13        
Term: sophistication                 Term Frequency: 13        
Term: based                          Term Frequency: 12        
Term: also                           Term Frequency: 12        
Term: words                          Term Frequency: 12        
Term: participants                   Term Frequency: 12        
Term: which                          Term Frequency: 11        
Term: content                        Term Frequency: 11        
Term: results                        Term Frequency: 11        
Term: practices                      Term Frequency: 11        
Term: nature                         Term Frequency: 11        
Term: understanding                  Term Frequency: 10        
Term: research                       Term Frequency: 10        
Term: conclusions                    Term Frequency: 10        
Term: accuracy                       Term Frequency: 10        
Term: frequency                      Term Frequency: 10        
Term: 6                              Term Frequency: 9         
Term: example                        Term Frequency: 9         
Term: s                              Term Frequency: 9         
Term: predicted                      Term Frequency: 9         
Term: actual                         Term Frequency: 9         
Term: prediction                     Term Frequency: 9         
Term: one                            Term Frequency: 9         
Term: general                        Term Frequency: 9         
Term: simple                         Term Frequency: 9         
Term: model                          Term Frequency: 9         
Term: work                           Term Frequency: 8         
Term: scientific                     Term Frequency: 8         
Term: assessment                     Term Frequency: 8         
Term: study                          Term Frequency: 8         
Term: knowledge                      Term Frequency: 8         
Term: simulation                     Term Frequency: 8         
Term: from                           Term Frequency: 8         
Term: usage                          Term Frequency: 8         
Term: 4                              Term Frequency: 7         
Term: academic                       Term Frequency: 7         
Term: two                            Term Frequency: 7         
Term: experience                     Term Frequency: 7         
Term: education                      Term Frequency: 7         
Term: what                           Term Frequency: 7         
Term: our                            Term Frequency: 7         
Term: classroom                      Term Frequency: 7         
Term: time                           Term Frequency: 7         
Term: how                            Term Frequency: 7         
Term: although                       Term Frequency: 7         
Term: since                          Term Frequency: 7         
Term: simulations                    Term Frequency: 7         
Term: assessing                      Term Frequency: 7         
Term: number                         Term Frequency: 7         
Term: both                           Term Frequency: 7         
Term: epistemologies                 Term Frequency: 6         
Term: 15                             Term Frequency: 6         
Term: 20                             Term Frequency: 6         
Term: matrix                         Term Frequency: 6         
Term: differences                    Term Frequency: 6         
Term: user                           Term Frequency: 6         
Term: student                        Term Frequency: 6         
Term: keyness                        Term Frequency: 6         
Term: method                         Term Frequency: 6         
Term: sophisticated                  Term Frequency: 6         
Term: had                            Term Frequency: 6         
Term: linguistic                     Term Frequency: 6         
Term: confusion                      Term Frequency: 6         
Term: paper                          Term Frequency: 6         
Term: important                      Term Frequency: 6         
Term: set                            Term Frequency: 6         
Term: have                           Term Frequency: 5         
Term: less                           Term Frequency: 5         
Term: reflective                     Term Frequency: 5         
Term: overall                        Term Frequency: 5         
Term: part                           Term Frequency: 5         
Term: journal                        Term Frequency: 5         
Term: included                       Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: female                         Term Frequency: 5         
Term: useful                         Term Frequency: 5         
Term: environment                    Term Frequency: 5         
Term: achieved                       Term Frequency: 5         
Term: conclusion                     Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: likely                         Term Frequency: 5         
Term: assessments                    Term Frequency: 5         
Term: hedging                        Term Frequency: 5         
Term: support                        Term Frequency: 5         
Term: perform                        Term Frequency: 5         
Term: methods                        Term Frequency: 5         
Term: choice                         Term Frequency: 5         
Term: 2015                           Term Frequency: 5         
Term: scientists                     Term Frequency: 5         
Term: rule                           Term Frequency: 5         
Term: future                         Term Frequency: 5         
Term: current                        Term Frequency: 5         
Term: would                          Term Frequency: 4         
Term: 7                              Term Frequency: 4         
Term: 8                              Term Frequency: 4         
Term: same                           Term Frequency: 4         
Term: items                          Term Frequency: 4         
Term: widely                         Term Frequency: 4         
Term: provide                        Term Frequency: 4         
Term: critical                       Term Frequency: 4         
Term: average                        Term Frequency: 4         
Term: made                           Term Frequency: 4         
Term: lists                          Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: preliminary                    Term Frequency: 4         
Term: writing                        Term Frequency: 4         
Term: include                        Term Frequency: 4         
Term: least                          Term Frequency: 4         
Term: generated                      Term Frequency: 4         
Term: often                          Term Frequency: 4         
Term: engage                         Term Frequency: 4         
Term: expertise                      Term Frequency: 4         
Term: features                       Term Frequency: 4         
Term: simulated                      Term Frequency: 4         
Term: do                             Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: techniques                     Term Frequency: 4         
Term: correct                        Term Frequency: 4         
Term: pen                            Term Frequency: 4         
Term: underlying                     Term Frequency: 4         
Term: engaged                        Term Frequency: 4         
Term: particularly                   Term Frequency: 4         
Term: has                            Term Frequency: 4         
Term: small                          Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: group                          Term Frequency: 4         
Term: analytic                       Term Frequency: 4         
Term: questions                      Term Frequency: 4         
Term: corpus                         Term Frequency: 4         
Term: within                         Term Frequency: 4         
Term: could                          Term Frequency: 4         
Term: indices                        Term Frequency: 4         
Term: concluding                     Term Frequency: 4         
Term: algorithm                      Term Frequency: 4         
Term: other                          Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: greater                        Term Frequency: 4         
Term: investigation                  Term Frequency: 4         
Term: indicate                       Term Frequency: 4         
Term: change                         Term Frequency: 4         
Term: instruction                    Term Frequency: 4         
Term: comprises                      Term Frequency: 4         
Term: written                        Term Frequency: 4         
Term: between                        Term Frequency: 4         
Term: responses                      Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: thank                          Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: making                         Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: provides                       Term Frequency: 3         
Term: e.g                            Term Frequency: 3         
Term: regard                         Term Frequency: 3         
Term: findings                       Term Frequency: 3         
Term: occurred                       Term Frequency: 3         
Term: participant                    Term Frequency: 3         
Term: tenuous                        Term Frequency: 3         
Term: tend                           Term Frequency: 3         
Term: construct                      Term Frequency: 3         
Term: researchers                    Term Frequency: 3         
Term: met                            Term Frequency: 3         
Term: observed                       Term Frequency: 3         
Term: 13                             Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: male                           Term Frequency: 3         
Term: associated                     Term Frequency: 3         
Term: gender                         Term Frequency: 3         
Term: individual’s                   Term Frequency: 3         
Term: via                            Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: tests                          Term Frequency: 3         
Term: indicated                      Term Frequency: 3         
Term: new                            Term Frequency: 3         
Term: tool                           Term Frequency: 3         
Term: criteria                       Term Frequency: 3         
Term: addition                       Term Frequency: 3         
Term: predictive                     Term Frequency: 3         
Term: teachers                       Term Frequency: 3         
Term: context                        Term Frequency: 3         
Term: generally                      Term Frequency: 3         
Term: attaining                      Term Frequency: 3         
Term: while                          Term Frequency: 3         
Term: suggests                       Term Frequency: 3         
Term: determine                      Term Frequency: 3         
Term: analyzed                       Term Frequency: 3         
Term: researcher                     Term Frequency: 3         
Term: development                    Term Frequency: 3         
Term: here                           Term Frequency: 3         
Term: independent                    Term Frequency: 3         
Term: discuss                        Term Frequency: 3         
Term: 89.3                           Term Frequency: 3         
Term: lack                           Term Frequency: 3         
Term: considered                     Term Frequency: 3         
Term: larger                         Term Frequency: 3         
Term: performing                     Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: tentativeness                  Term Frequency: 3         
Term: diverse                        Term Frequency: 3         
Term: population                     Term Frequency: 3         
Term: embedded                       Term Frequency: 3         
Term: answer                         Term Frequency: 3         
Term: 2014                           Term Frequency: 3         
Term: frequent                       Term Frequency: 3         
Term: membership                     Term Frequency: 3         
Term: setting                        Term Frequency: 3         
Term: metrics                        Term Frequency: 3         
Term: tended                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: conducted                      Term Frequency: 3         
Term: real                           Term Frequency: 3         
Term: any                            Term Frequency: 3         
Term: suggested                      Term Frequency: 3         
Term: completed                      Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: collected                      Term Frequency: 3         
Term: compares                       Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: large                          Term Frequency: 3         
Term: different                      Term Frequency: 3         
Term: level                          Term Frequency: 3         
Term: comprised                      Term Frequency: 3         
Term: 100                            Term Frequency: 3         
Term: vary                           Term Frequency: 3         
Term: trends                         Term Frequency: 3         
Term: normal                         Term Frequency: 3         
Term: assess                         Term Frequency: 3         
Term: accepted                       Term Frequency: 3         
Term: can                            Term Frequency: 3         
Term: 9                              Term Frequency: 2         
Term: statistical                    Term Frequency: 2         
Term: b                              Term Frequency: 2         
Term: v                              Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: 49.22                          Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: implications                   Term Frequency: 2         
Term: conflicting                    Term Frequency: 2         
Term: each                           Term Frequency: 2         
Term: speech                         Term Frequency: 2         
Term: reflection                     Term Frequency: 2         
Term: involves                       Term Frequency: 2         
Term: doctoral                       Term Frequency: 2         
Term: computer                       Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: constructs                     Term Frequency: 2         
Term: fellowship                     Term Frequency: 2         
Term: possible                       Term Frequency: 2         
Term: final                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: 0.52                           Term Frequency: 2         
Term: text                           Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: subject                        Term Frequency: 2         
Term: literacy                       Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: interpreting                   Term Frequency: 2         
Term: psychological                  Term Frequency: 2         
Term: meaning                        Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: supports                       Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: project                        Term Frequency: 2         
Term: loss                           Term Frequency: 2         
Term: relate                         Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: capture                        Term Frequency: 2         
Term: year                           Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: precisely                      Term Frequency: 2         
Term: end                            Term Frequency: 2         
Term: rich                           Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: pedagogy                       Term Frequency: 2         
Term: settings                       Term Frequency: 2         
Term: expected                       Term Frequency: 2         
Term: automatically                  Term Frequency: 2         
Term: describe                       Term Frequency: 2         
Term: non                            Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: disciplines                    Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: section                        Term Frequency: 2         
Term: who                            Term Frequency: 2         
Term: assumption                     Term Frequency: 2         
Term: consequently                   Term Frequency: 2         
Term: observe                        Term Frequency: 2         
Term: 85.89                          Term Frequency: 2         
Term: identifying                    Term Frequency: 2         
Term: perhaps                        Term Frequency: 2         
Term: 75.0                           Term Frequency: 2         
Term: 62.5                           Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: variety                        Term Frequency: 2         
Term: necessary                      Term Frequency: 2         
Term: single                         Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: phase                          Term Frequency: 2         
Term: insight                        Term Frequency: 2         
Term: examples                       Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: like                           Term Frequency: 2         
Term: profiles                       Term Frequency: 2         
Term: concrete                       Term Frequency: 2         
Term: sets                           Term Frequency: 2         
Term: namely                         Term Frequency: 2         
Term: novel                          Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: linear                         Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: manner                         Term Frequency: 2         
Term: pedagogical                    Term Frequency: 2         
Term: cause                          Term Frequency: 2         
Term: meeting                        Term Frequency: 2         
Term: predominantly                  Term Frequency: 2         
Term: measure                        Term Frequency: 2         
Term: consistent                     Term Frequency: 2         
Term: reveals                        Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2003                           Term Frequency: 2         
Term: existing                       Term Frequency: 2         
Term: 2016                           Term Frequency: 2         
Term: calculated                     Term Frequency: 2         
Term: artifacts                      Term Frequency: 2         
Term: reflect                        Term Frequency: 2         
Term: 82.1                           Term Frequency: 2         
Term: processing                     Term Frequency: 2         
Term: collection                     Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: linguistics                    Term Frequency: 2         
Term: first                          Term Frequency: 2         
Term: misclassified                  Term Frequency: 2         
Term: post                           Term Frequency: 2         
Term: college                        Term Frequency: 2         
Term: points                         Term Frequency: 2         
Term: predict                        Term Frequency: 2         
Term: universal                      Term Frequency: 2         
Term: where                          Term Frequency: 2         
Term: justified                      Term Frequency: 2         
Term: generating                     Term Frequency: 2         
Term: learned                        Term Frequency: 2         
Term: discourse                      Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: influence                      Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: investigations                 Term Frequency: 2         
Term: reflected                      Term Frequency: 2         
Term: accurately                     Term Frequency: 2         
Term: see                            Term Frequency: 2         
Term: views                          Term Frequency: 2         
Term: over                           Term Frequency: 2         
Term: practical                      Term Frequency: 2         
Term: majority                       Term Frequency: 2         
Term: tasks                          Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: total                          Term Frequency: 2         
Term: stance                         Term Frequency: 2         
Term: 71.4                           Term Frequency: 2         
Term: express                        Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: natural                        Term Frequency: 2         
Term: individual                     Term Frequency: 2         
Term: owners                         Term Frequency: 1         
Term: warrant                        Term Frequency: 1         
Term: successfully                   Term Frequency: 1         
Term: 0                              Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: exciting                       Term Frequency: 1         
Term: informative                    Term Frequency: 1         
Term: 1549112                        Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: versus                         Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: irrelevant                     Term Frequency: 1         
Term: 52nd                           Term Frequency: 1         
Term: manuscripts                    Term Frequency: 1         
Term: schools                        Term Frequency: 1         
Term: matter                         Term Frequency: 1         
Term: product                        Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: 2.0                            Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: markers                        Term Frequency: 1         
Term: adverbial                      Term Frequency: 1         
Term: lab                            Term Frequency: 1         
Term: abilities                      Term Frequency: 1         
Term: comparison                     Term Frequency: 1         
Term: 204                            Term Frequency: 1         
Term: teacher                        Term Frequency: 1         
Term: 218                            Term Frequency: 1         
Term: distinguished                  Term Frequency: 1         
Term: 3.38                           Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: probable                       Term Frequency: 1         
Term: cohesive                       Term Frequency: 1         
Term: 250                            Term Frequency: 1         
Term: 252                            Term Frequency: 1         
Term: 259                            Term Frequency: 1         
Term: reported                       Term Frequency: 1         
Term: authenticity                   Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: dataset                        Term Frequency: 1         
Term: melanie.peffer                 Term Frequency: 1         
Term: source                         Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: aspects                        Term Frequency: 1         
Term: appropriately                  Term Frequency: 1         
Term: 90.0                           Term Frequency: 1         
Term: 96822                          Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: 1990                           Term Frequency: 1         
Term: 37.5                           Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: phases                         Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: expert’s                       Term Frequency: 1         
Term: prompting                      Term Frequency: 1         
Term: combination                    Term Frequency: 1         
Term: seeking                        Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: someone                        Term Frequency: 1         
Term: 80639                          Term Frequency: 1         
Term: depending                      Term Frequency: 1         
Term: examining                      Term Frequency: 1         
Term: choosing                       Term Frequency: 1         
Term: acquisition                    Term Frequency: 1         
Term: right                          Term Frequency: 1         
Term: complicated                    Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: phrases                        Term Frequency: 1         
Term: proposing                      Term Frequency: 1         
Term: die                            Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: varied                         Term Frequency: 1         
Term: regarding                      Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: training                       Term Frequency: 1         
Term: length                         Term Frequency: 1         
Term: statistically                  Term Frequency: 1         
Term: concerns                       Term Frequency: 1         
Term: 107.88                         Term Frequency: 1         
Term: 0.38                           Term Frequency: 1         
Term: whereas                        Term Frequency: 1         
Term: usually                        Term Frequency: 1         
Term: sense                          Term Frequency: 1         
Term: classification                 Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: evaluate                       Term Frequency: 1         
Term: tailor                         Term Frequency: 1         
Term: 0.75                           Term Frequency: 1         
Term: 0.85                           Term Frequency: 1         
Term: 8610                           Term Frequency: 1         
Term: feel                           Term Frequency: 1         
Term: 0.95                           Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: logs                           Term Frequency: 1         
Term: combine                        Term Frequency: 1         
Term: due                            Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: constraints                    Term Frequency: 1         
Term: 351                            Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: sizes                          Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: receives                       Term Frequency: 1         
Term: 23                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 24                             Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 31                             Term Frequency: 1         
Term: middle                         Term Frequency: 1         
Term: though                         Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: 383                            Term Frequency: 1         
Term: 387                            Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: uniformly                      Term Frequency: 1         
