Term: network                        Term Frequency: 102       
Term: content                        Term Frequency: 101       
Term: social                         Term Frequency: 84        
Term: networks                       Term Frequency: 80        
Term: learning                       Term Frequency: 63        
Term: related                        Term Frequency: 58        
Term: reply                          Term Frequency: 53        
Term: learners                       Term Frequency: 53        
Term: different                      Term Frequency: 52        
Term: discussion                     Term Frequency: 47        
Term: forums                         Term Frequency: 47        
Term: thread                         Term Frequency: 46        
Term: were                           Term Frequency: 45        
Term: forum                          Term Frequency: 44        
Term: non                            Term Frequency: 44        
Term: tie                            Term Frequency: 42        
Term: ties                           Term Frequency: 39        
Term: posts                          Term Frequency: 38        
Term: from                           Term Frequency: 35        
Term: between                        Term Frequency: 35        
Term: based                          Term Frequency: 34        
Term: copresence                     Term Frequency: 33        
Term: course                         Term Frequency: 32        
Term: post                           Term Frequency: 31        
Term: sub                            Term Frequency: 31        
Term: interactions                   Term Frequency: 30        
Term: threads                        Term Frequency: 29        
Term: have                           Term Frequency: 28        
Term: two                            Term Frequency: 28        
Term: only                           Term Frequency: 28        
Term: interaction                    Term Frequency: 26        
Term: more                           Term Frequency: 25        
Term: direct                         Term Frequency: 24        
Term: same                           Term Frequency: 23        
Term: definitions                    Term Frequency: 23        
Term: online                         Term Frequency: 23        
Term: all                            Term Frequency: 23        
Term: study                          Term Frequency: 22        
Term: than                           Term Frequency: 22        
Term: users                          Term Frequency: 21        
Term: characteristics                Term Frequency: 21        
Term: using                          Term Frequency: 21        
Term: total                          Term Frequency: 20        
Term: both                           Term Frequency: 20        
Term: instructor                     Term Frequency: 19        
Term: found                          Term Frequency: 19        
Term: may                            Term Frequency: 19        
Term: structure                      Term Frequency: 19        
Term: data                           Term Frequency: 19        
Term: definition                     Term Frequency: 19        
Term: other                          Term Frequency: 19        
Term: also                           Term Frequency: 19        
Term: edges                          Term Frequency: 18        
Term: can                            Term Frequency: 18        
Term: 1                              Term Frequency: 17        
Term: unpartitioned                  Term Frequency: 17        
Term: replies                        Term Frequency: 17        
Term: learner                        Term Frequency: 17        
Term: used                           Term Frequency: 17        
Term: figure                         Term Frequency: 17        
Term: made                           Term Frequency: 16        
Term: unique                         Term Frequency: 16        
Term: nodes                          Term Frequency: 16        
Term: discussions                    Term Frequency: 16        
Term: first                          Term Frequency: 16        
Term: degree                         Term Frequency: 16        
Term: each                           Term Frequency: 16        
Term: across                         Term Frequency: 15        
Term: representing                   Term Frequency: 15        
Term: limited                        Term Frequency: 15        
Term: partitioning                   Term Frequency: 15        
Term: one                            Term Frequency: 15        
Term: five                           Term Frequency: 15        
Term: performance                    Term Frequency: 15        
Term: extracted                      Term Frequency: 15        
Term: distinct                       Term Frequency: 15        
Term: patterns                       Term Frequency: 14        
Term: however                        Term Frequency: 14        
Term: module                         Term Frequency: 14        
Term: research                       Term Frequency: 14        
Term: modules                        Term Frequency: 14        
Term: activities                     Term Frequency: 13        
Term: use                            Term Frequency: 13        
Term: participated                   Term Frequency: 13        
Term: studies                        Term Frequency: 13        
Term: levels                         Term Frequency: 13        
Term: including                      Term Frequency: 12        
Term: who                            Term Frequency: 12        
Term: while                          Term Frequency: 12        
Term: thus                           Term Frequency: 12        
Term: instructors                    Term Frequency: 12        
Term: number                         Term Frequency: 12        
Term: courses                        Term Frequency: 12        
Term: level                          Term Frequency: 12        
Term: centrality                     Term Frequency: 12        
Term: about                          Term Frequency: 12        
Term: 2016                           Term Frequency: 12        
