Term: student                        Term Frequency: 23        
Term: we                             Term Frequency: 14        
Term: text                           Term Frequency: 12        
Term: words                          Term Frequency: 11        
Term: engineering                    Term Frequency: 9         
Term: 1                              Term Frequency: 8         
Term: use                            Term Frequency: 8         
Term: data                           Term Frequency: 8         
Term: 2                              Term Frequency: 7         
Term: positive                       Term Frequency: 7         
Term: sentiment                      Term Frequency: 7         
Term: semester                       Term Frequency: 7         
Term: negative                       Term Frequency: 7         
Term: set                            Term Frequency: 7         
Term: analysis                       Term Frequency: 6         
Term: were                           Term Frequency: 6         
Term: word                           Term Frequency: 6         
Term: students                       Term Frequency: 6         
Term: our                            Term Frequency: 6         
Term: emotion                        Term Frequency: 6         
Term: work                           Term Frequency: 5         
Term: first                          Term Frequency: 5         
Term: strength                       Term Frequency: 5         
Term: reflections                    Term Frequency: 5         
Term: while                          Term Frequency: 5         
Term: emotions                       Term Frequency: 5         
Term: can                            Term Frequency: 5         
Term: 3                              Term Frequency: 4         
Term: 4                              Term Frequency: 4         
Term: measuring                      Term Frequency: 4         
Term: how                            Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: from                           Term Frequency: 4         
Term: year                           Term Frequency: 4         
Term: end                            Term Frequency: 4         
Term: engagement                     Term Frequency: 4         
Term: show                           Term Frequency: 4         
Term: used                           Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: predictive                     Term Frequency: 4         
Term: which                          Term Frequency: 4         
Term: class                          Term Frequency: 4         
Term: them                           Term Frequency: 4         
Term: frequency                      Term Frequency: 4         
Term: 5                              Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: each                           Term Frequency: 3         
Term: early                          Term Frequency: 3         
Term: about                          Term Frequency: 3         
Term: across                         Term Frequency: 3         
Term: electronic                     Term Frequency: 3         
Term: outcome                        Term Frequency: 3         
Term: tool                           Term Frequency: 3         
Term: predict                        Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: when                           Term Frequency: 3         
Term: more                           Term Frequency: 3         
Term: also                           Term Frequency: 3         
Term: approaches                     Term Frequency: 3         
Term: valence                        Term Frequency: 3         
Term: eportfolios                    Term Frequency: 3         
Term: portfolios                     Term Frequency: 3         
Term: sentiments                     Term Frequency: 3         
Term: learning                       Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: would                          Term Frequency: 2         
Term: outcomes                       Term Frequency: 2         
Term: 6                              Term Frequency: 2         
Term: after                          Term Frequency: 2         
Term: analytics                      Term Frequency: 2         
Term: informative                    Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: have                           Term Frequency: 2         
Term: state                          Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: retention                      Term Frequency: 2         
Term: reflecting                     Term Frequency: 2         
Term: engineer                       Term Frequency: 2         
Term: time                           Term Frequency: 2         
Term: shows                          Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: knowledge                      Term Frequency: 2         
Term: emotional                      Term Frequency: 2         
Term: dis                            Term Frequency: 2         
Term: count                          Term Frequency: 2         
Term: 2007                           Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: attempt                        Term Frequency: 2         
Term: skew                           Term Frequency: 2         
Term: within                         Term Frequency: 2         
Term: serve                          Term Frequency: 2         
Term: bearing                        Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: reflect                        Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: showed                         Term Frequency: 2         
Term: preliminary                    Term Frequency: 2         
Term: love                           Term Frequency: 2         
Term: existence                      Term Frequency: 2         
Term: inferred                       Term Frequency: 2         
Term: mining                         Term Frequency: 2         
Term: paper                          Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: ing                            Term Frequency: 2         
Term: performance                    Term Frequency: 2         
Term: polarity                       Term Frequency: 2         
Term: identify                       Term Frequency: 2         
Term: other                          Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: copies                         Term Frequency: 2         
Term: pages                          Term Frequency: 2         
Term: using                          Term Frequency: 2         
Term: asa                            Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: features                       Term Frequency: 2         
Term: assignments                    Term Frequency: 2         
Term: study                          Term Frequency: 2         
Term: web                            Term Frequency: 2         
Term: explore                        Term Frequency: 2         
Term: indicator                      Term Frequency: 2         
Term: simple                         Term Frequency: 2         
Term: who                            Term Frequency: 2         
Term: alone                          Term Frequency: 2         
Term: electronicportfolios           Term Frequency: 2         
Term: simply                         Term Frequency: 2         
Term: ap                             Term Frequency: 2         
Term: proxy                          Term Frequency: 2         
