Term: based                          Term Frequency: 25        
Term: learning                       Term Frequency: 20        
Term: we                             Term Frequency: 20        
Term: confusion                      Term Frequency: 17        
Term: condition                      Term Frequency: 15        
Term: affect                         Term Frequency: 15        
Term: from                           Term Frequency: 14        
Term: students                       Term Frequency: 14        
Term: disequilibrium                 Term Frequency: 14        
Term: surprise                       Term Frequency: 13        
Term: student                        Term Frequency: 13        
Term: neutral                        Term Frequency: 12        
Term: reasoning                      Term Frequency: 12        
Term: example                        Term Frequency: 11        
Term: two                            Term Frequency: 11        
Term: principle                      Term Frequency: 11        
Term: affective                      Term Frequency: 11        
Term: analysis                       Term Frequency: 9         
Term: 1                              Term Frequency: 8         
Term: 5                              Term Frequency: 8         
Term: states                         Term Frequency: 8         
Term: were                           Term Frequency: 7         
Term: cognitive                      Term Frequency: 7         
Term: 6                              Term Frequency: 6         
Term: design                         Term Frequency: 6         
Term: transitions                    Term Frequency: 6         
Term: transition                     Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: hands                          Term Frequency: 6         
Term: engineering                    Term Frequency: 6         
Term: more                           Term Frequency: 6         
Term: joy                            Term Frequency: 6         
Term: 4                              Term Frequency: 5         
Term: have                           Term Frequency: 5         
Term: each                           Term Frequency: 5         
Term: expression                     Term Frequency: 5         
Term: strategies                     Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: experimental                   Term Frequency: 5         
Term: also                           Term Frequency: 5         
Term: complex                        Term Frequency: 5         
Term: likely                         Term Frequency: 5         
Term: than                           Term Frequency: 5         
Term: different                      Term Frequency: 5         
Term: facial                         Term Frequency: 5         
Term: between                        Term Frequency: 5         
Term: 2                              Term Frequency: 4         
Term: 3                              Term Frequency: 4         
Term: p                              Term Frequency: 4         
Term: analyses                       Term Frequency: 4         
Term: environments                   Term Frequency: 4         
Term: comparison                     Term Frequency: 4         
Term: equilibrium                    Term Frequency: 4         
Term: task                           Term Frequency: 4         
Term: associated                     Term Frequency: 4         
Term: during                         Term Frequency: 4         
Term: used                           Term Frequency: 4         
Term: analyzing                      Term Frequency: 4         
Term: context                        Term Frequency: 4         
Term: model                          Term Frequency: 4         
Term: dynamics                       Term Frequency: 4         
Term: conditions                     Term Frequency: 4         
Term: s                              Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: state                          Term Frequency: 3         
Term: time                           Term Frequency: 3         
Term: three                          Term Frequency: 3         
Term: primary                        Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: prior                          Term Frequency: 3         
Term: 0.05                           Term Frequency: 3         
Term: test                           Term Frequency: 3         
Term: use                            Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: understanding                  Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: generated                      Term Frequency: 3         
Term: education                      Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: using                          Term Frequency: 3         
Term: research                       Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: expressions                    Term Frequency: 3         
Term: greater                        Term Frequency: 3         
Term: study                          Term Frequency: 3         
Term: both                           Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: peers                          Term Frequency: 3         
Term: four                           Term Frequency: 3         
Term: one                            Term Frequency: 3         
Term: our                            Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: create                         Term Frequency: 3         
Term: can                            Term Frequency: 3         
Term: 8                              Term Frequency: 2         
Term: after                          Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: hypothesize                    Term Frequency: 2         
Term: dominant                       Term Frequency: 2         
Term: interested                     Term Frequency: 2         
Term: defined                        Term Frequency: 2         
Term: has                            Term Frequency: 2         
Term: weight                         Term Frequency: 2         
Term: video                          Term Frequency: 2         
Term: put                            Term Frequency: 2         
Term: 1997                           Term Frequency: 2         
Term: computer                       Term Frequency: 2         
Term: before                         Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: pathways                       Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: hypothesized                   Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: within                         Term Frequency: 2         
Term: find                           Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: appear                         Term Frequency: 2         
Term: expressing                     Term Frequency: 2         
Term: studying                       Term Frequency: 2         
Term: 94305                          Term Frequency: 2         
Term: first                          Term Frequency: 2         
Term: post                           Term Frequency: 2         
Term: materials                      Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: number                         Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: all                            Term Frequency: 2         
Term: construction                   Term Frequency: 2         
Term: looked                         Term Frequency: 2         
Term: ladder                         Term Frequency: 2         
Term: strategy                       Term Frequency: 2         
Term: structures                     Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: those                          Term Frequency: 2         
Term: significant                    Term Frequency: 2         
Term: situated                       Term Frequency: 2         
Term: conclusion                     Term Frequency: 2         
Term: modeling                       Term Frequency: 2         
Term: variance                       Term Frequency: 2         
Term: attention                      Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: projects                       Term Frequency: 2         
Term: extend                         Term Frequency: 2         
Term: igloo                          Term Frequency: 2         
Term: significantly                  Term Frequency: 2         
Term: stanford.edu                   Term Frequency: 2         
Term: 520                            Term Frequency: 2         
Term: while                          Term Frequency: 2         
