Term: misconception                  Term Frequency: 135       
Term: model                          Term Frequency: 98        
Term: problem                        Term Frequency: 61        
Term: student                        Term Frequency: 51        
Term: 1                              Term Frequency: 40        
Term: models                         Term Frequency: 38        
Term: we                             Term Frequency: 37        
Term: steps                          Term Frequency: 34        
Term: fraction                       Term Frequency: 33        
Term: which                          Term Frequency: 31        
Term: students                       Term Frequency: 30        
Term: data                           Term Frequency: 29        
Term: problems                       Term Frequency: 29        
Term: modeling                       Term Frequency: 29        
Term: misconceptions                 Term Frequency: 27        
Term: knowledge                      Term Frequency: 27        
Term: performance                    Term Frequency: 26        
Term: estimates                      Term Frequency: 24        
Term: fit                            Term Frequency: 22        
Term: learning                       Term Frequency: 22        
Term: opportunities                  Term Frequency: 22        
Term: errors                         Term Frequency: 20        
Term: step                           Term Frequency: 19        
Term: each                           Term Frequency: 18        
Term: can                            Term Frequency: 18        
Term: any                            Term Frequency: 17        
Term: regular                        Term Frequency: 17        
Term: method                         Term Frequency: 16        
Term: correct                        Term Frequency: 16        
Term: opportunity                    Term Frequency: 16        
Term: answer                         Term Frequency: 16        
Term: coded                          Term Frequency: 16        
Term: arithmetic                     Term Frequency: 16        
Term: common                         Term Frequency: 15        
Term: strategy                       Term Frequency: 15        
Term: from                           Term Frequency: 15        
Term: equivalent                     Term Frequency: 15        
Term: intercept                      Term Frequency: 15        
Term: numerator                      Term Frequency: 15        
Term: 0                              Term Frequency: 14        
Term: 2                              Term Frequency: 14        
Term: k                              Term Frequency: 14        
Term: predictions                    Term Frequency: 14        
Term: practice                       Term Frequency: 14        
Term: estimate                       Term Frequency: 14        
Term: applying                       Term Frequency: 14        
Term: incorrect                      Term Frequency: 14        
Term: tutoring                       Term Frequency: 13        
Term: factors                        Term Frequency: 13        
Term: original                       Term Frequency: 13        
Term: different                      Term Frequency: 13        
Term: loop                           Term Frequency: 12        
Term: yields                         Term Frequency: 12        
Term: systems                        Term Frequency: 12        
Term: tutor                          Term Frequency: 12        
Term: also                           Term Frequency: 12        
Term: only                           Term Frequency: 12        
Term: p                              Term Frequency: 11        
Term: dataset                        Term Frequency: 11        
Term: denominator                    Term Frequency: 11        
Term: here                           Term Frequency: 11        
Term: thus                           Term Frequency: 11        
Term: educational                    Term Frequency: 11        
Term: more                           Term Frequency: 11        
Term: individual                     Term Frequency: 11        
Term: two                            Term Frequency: 10        
Term: apply                          Term Frequency: 10        
Term: across                         Term Frequency: 10        
Term: fractions                      Term Frequency: 10        
Term: how                            Term Frequency: 10        
