Term: expert                         Term Frequency: 23        
Term: social                         Term Frequency: 21        
Term: student                        Term Frequency: 18        
Term: pods                           Term Frequency: 15        
Term: work                           Term Frequency: 15        
Term: we                             Term Frequency: 15        
Term: justice                        Term Frequency: 13        
Term: e                              Term Frequency: 12        
Term: writing                        Term Frequency: 12        
Term: non                            Term Frequency: 11        
Term: agreement                      Term Frequency: 10        
Term: empath                         Term Frequency: 10        
Term: between                        Term Frequency: 10        
Term: 2                              Term Frequency: 9         
Term: 3                              Term Frequency: 9         
Term: human                          Term Frequency: 8         
Term: historical                     Term Frequency: 8         
Term: di                             Term Frequency: 8         
Term: related                        Term Frequency: 8         
Term: thinking                       Term Frequency: 8         
Term: learning                       Term Frequency: 8         
Term: 4                              Term Frequency: 7         
Term: all                            Term Frequency: 7         
Term: diversity                      Term Frequency: 7         
Term: set                            Term Frequency: 7         
Term: which                          Term Frequency: 7         
Term: data                           Term Frequency: 7         
Term: 1                              Term Frequency: 6         
Term: low                            Term Frequency: 6         
Term: 17                             Term Frequency: 6         
Term: vocabulary                     Term Frequency: 6         
Term: oppression                     Term Frequency: 6         
Term: students                       Term Frequency: 6         
Term: coders                         Term Frequency: 6         
Term: us                             Term Frequency: 6         
Term: n                              Term Frequency: 5         
Term: were                           Term Frequency: 5         
Term: erent                          Term Frequency: 5         
Term: 2016                           Term Frequency: 5         
Term: about                          Term Frequency: 5         
Term: based                          Term Frequency: 5         
Term: privilege                      Term Frequency: 5         
Term: using                          Term Frequency: 5         
Term: learned                        Term Frequency: 5         
Term: explore                        Term Frequency: 5         
Term: method                         Term Frequency: 5         
Term: responses                      Term Frequency: 5         
Term: boosted                        Term Frequency: 4         
Term: lexical                        Term Frequency: 4         
Term: two                            Term Frequency: 4         
Term: dataset                        Term Frequency: 4         
Term: has                            Term Frequency: 4         
Term: created                        Term Frequency: 4         
Term: machine                        Term Frequency: 4         
Term: experts                        Term Frequency: 4         
Term: 4.01.03                        Term Frequency: 4         
Term: ere                            Term Frequency: 4         
Term: new                            Term Frequency: 4         
Term: section                        Term Frequency: 4         
Term: words                          Term Frequency: 4         
Term: deep                           Term Frequency: 4         
Term: model                          Term Frequency: 4         
Term: annotations                    Term Frequency: 4         
Term: than                           Term Frequency: 4         
Term: elements                       Term Frequency: 4         
Term: category                       Term Frequency: 4         
Term: 5                              Term Frequency: 3         
Term: 6                              Term Frequency: 3         
Term: h                              Term Frequency: 3         
Term: p                              Term Frequency: 3         
Term: s                              Term Frequency: 3         
Term: analytics                      Term Frequency: 3         
Term: approach                       Term Frequency: 3         
Term: have                           Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: short                          Term Frequency: 3         
Term: three                          Term Frequency: 3         
Term: ssw.umich.edu                  Term Frequency: 3         
Term: 2017                           Term Frequency: 3         
Term: cult                           Term Frequency: 3         
Term: coder                          Term Frequency: 3         
Term: task                           Term Frequency: 3         
Term: 325                            Term Frequency: 3         
Term: ndings                         Term Frequency: 3         
Term: word                           Term Frequency: 3         
Term: msw                            Term Frequency: 3         
Term: from                           Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: ese                            Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: courses                        Term Frequency: 3         
Term: when                           Term Frequency: 3         
Term: raters                         Term Frequency: 3         
Term: uses                           Term Frequency: 3         
Term: one                            Term Frequency: 3         
Term: guide                          Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: same                           Term Frequency: 2         
Term: vocabularies                   Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: write                          Term Frequency: 2         
Term: inter                          Term Frequency: 2         
Term: framework                      Term Frequency: 2         
Term: lary                           Term Frequency: 2         
Term: found                          Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: dx.doi.org                     Term Frequency: 2         
Term: pro                            Term Frequency: 2         
Term: converted                      Term Frequency: 2         
Term: coderson                       Term Frequency: 2         
Term: methods                        Term Frequency: 2         
Term: tell                           Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: impact                         Term Frequency: 2         
Term: 0.21                           Term Frequency: 2         
Term: 0.17                           Term Frequency: 2         
Term: 2007                           Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: action                         Term Frequency: 2         
Term: text                           Term Frequency: 2         
Term: affirmative                    Term Frequency: 2         
Term: use                            Term Frequency: 2         
Term: actionhttp                     Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: increasing                     Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: scenarios                      Term Frequency: 2         
Term: graduate                       Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: identify                       Term Frequency: 2         
Term: years                          Term Frequency: 2         
Term: curriculum                     Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: untrained                      Term Frequency: 2         
Term: skills                         Term Frequency: 2         
Term: rst                            Term Frequency: 2         
Term: broader                        Term Frequency: 2         
Term: supported                      Term Frequency: 2         
Term: results                        Term Frequency: 2         
Term: derived                        Term Frequency: 2         
Term: refer                          Term Frequency: 2         
Term: issues                         Term Frequency: 2         
Term: more                           Term Frequency: 2         
Term: both                           Term Frequency: 2         
Term: topic                          Term Frequency: 2         
Term: who                            Term Frequency: 2         
Term: approaches                     Term Frequency: 2         
Term: unsupervised                   Term Frequency: 2         
Term: coding                         Term Frequency: 2         
Term: language                       Term Frequency: 2         
Term: identifying                    Term Frequency: 2         
Term: vocabu                         Term Frequency: 2         
Term: large                          Term Frequency: 2         
Term: issue                          Term Frequency: 2         
Term: paragraph                      Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: discipline                     Term Frequency: 2         
Term: corpora                        Term Frequency: 2         
Term: ve                             Term Frequency: 2         
Term: demonstrate                    Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: cations                        Term Frequency: 2         
Term: describing                     Term Frequency: 2         
Term: manuallychoosing               Term Frequency: 1         
Term: half                           Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: recruiting                     Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: alitative                      Term Frequency: 1         
Term: showsthe                       Term Frequency: 1         
Term: datasets                       Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: nding                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: c                              Term Frequency: 1         
Term: sets                           Term Frequency: 1         
