Term: information                    Term Frequency: 45        
Term: learning                       Term Frequency: 43        
Term: epistemic                      Term Frequency: 41        
Term: multiple                       Term Frequency: 26        
Term: al                             Term Frequency: 26        
Term: et                             Term Frequency: 26        
Term: we                             Term Frequency: 26        
Term: cognition                      Term Frequency: 25        
Term: sources                        Term Frequency: 25        
Term: which                          Term Frequency: 24        
Term: students                       Term Frequency: 23        
Term: knowledge                      Term Frequency: 23        
Term: source                         Term Frequency: 22        
Term: trace                          Term Frequency: 22        
Term: 1                              Term Frequency: 21        
Term: document                       Term Frequency: 21        
Term: data                           Term Frequency: 21        
Term: claims                         Term Frequency: 21        
Term: from                           Term Frequency: 20        
Term: literacy                       Term Frequency: 19        
Term: between                        Term Frequency: 18        
Term: use                            Term Frequency: 17        
Term: assessment                     Term Frequency: 16        
Term: task                           Term Frequency: 16        
Term: educational                    Term Frequency: 16        
Term: tasks                          Term Frequency: 16        
Term: 2                              Term Frequency: 15        
Term: based                          Term Frequency: 15        
Term: how                            Term Frequency: 14        
Term: 2010                           Term Frequency: 14        
Term: interest                       Term Frequency: 13        
Term: documents                      Term Frequency: 13        
Term: indicators                     Term Frequency: 13        
Term: model                          Term Frequency: 13        
Term: 3                              Term Frequency: 12        
Term: beliefs                        Term Frequency: 12        
Term: constructs                     Term Frequency: 12        
Term: seeking                        Term Frequency: 12        
Term: internet                       Term Frequency: 12        
Term: evidence                       Term Frequency: 12        
Term: research                       Term Frequency: 12        
Term: design                         Term Frequency: 12        
Term: processing                     Term Frequency: 12        
Term: analytics                      Term Frequency: 11        
Term: sourcing                       Term Frequency: 11        
Term: performance                    Term Frequency: 11        
Term: 4                              Term Frequency: 10        
Term: skills                         Term Frequency: 10        
Term: what                           Term Frequency: 10        
Term: authority                      Term Frequency: 10        
Term: approach                       Term Frequency: 10        
Term: 2012                           Term Frequency: 10        
Term: 2011                           Term Frequency: 10        
Term: within                         Term Frequency: 10        
Term: through                        Term Frequency: 10        
Term: those                          Term Frequency: 10        
Term: 5                              Term Frequency: 9         
Term: collaborative                  Term Frequency: 9         
Term: understanding                  Term Frequency: 9         
Term: behavior                       Term Frequency: 9         
Term: do                             Term Frequency: 9         
Term: 2009                           Term Frequency: 9         
Term: 2008                           Term Frequency: 9         
Term: online                         Term Frequency: 9         
Term: discourse                      Term Frequency: 9         
Term: complex                        Term Frequency: 9         
Term: 6                              Term Frequency: 8         
Term: example                        Term Frequency: 8         
Term: c                              Term Frequency: 8         
Term: p                              Term Frequency: 8         
Term: two                            Term Frequency: 8         
Term: web                            Term Frequency: 8         
Term: dialogue                       Term Frequency: 8         
Term: corroboration                  Term Frequency: 8         
Term: reading                        Term Frequency: 8         
Term: ways                           Term Frequency: 8         
Term: potential                      Term Frequency: 8         
Term: connections                    Term Frequency: 8         
Term: key                            Term Frequency: 8         
Term: comprehension                  Term Frequency: 8         
Term: s                              Term Frequency: 7         
Term: technologies                   Term Frequency: 7         
Term: particular                     Term Frequency: 7         
Term: open                           Term Frequency: 7         
Term: around                         Term Frequency: 7         
Term: search                         Term Frequency: 7         
Term: epistemological                Term Frequency: 7         
Term: particularly                   Term Frequency: 7         
Term: has                            Term Frequency: 7         
Term: searching                      Term Frequency: 7         
Term: centered                       Term Frequency: 7         
Term: more                           Term Frequency: 7         
Term: metadata                       Term Frequency: 7         
Term: should                         Term Frequency: 7         
Term: behaviors                      Term Frequency: 7         
Term: can                            Term Frequency: 7         
Term: including                      Term Frequency: 6         
Term: less                           Term Frequency: 6         
Term: text                           Term Frequency: 6         
Term: made                           Term Frequency: 6         
Term: about                          Term Frequency: 6         
Term: 15                             Term Frequency: 6         
Term: texts                          Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: indicator                      Term Frequency: 6         
Term: used                           Term Frequency: 6         
Term: our                            Term Frequency: 6         
Term: self                           Term Frequency: 6         
Term: facets                         Term Frequency: 6         
Term: 2013                           Term Frequency: 6         
Term: age                            Term Frequency: 6         
Term: both                           Term Frequency: 6         
Term: psychometric                   Term Frequency: 6         
Term: stance                         Term Frequency: 6         
Term: role                           Term Frequency: 5         
Term: behavioral                     Term Frequency: 5         
Term: taking                         Term Frequency: 5         
Term: creation                       Term Frequency: 5         
Term: may                            Term Frequency: 5         
Term: justification                  Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: 21                             Term Frequency: 5         
Term: 26                             Term Frequency: 5         
Term: 39                             Term Frequency: 5         
Term: knowing                        Term Frequency: 5         
Term: across                         Term Frequency: 5         
Term: might                          Term Frequency: 5         
Term: simplicity                     Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: integrated                     Term Frequency: 5         
Term: uses                           Term Frequency: 5         
Term: while                          Term Frequency: 5         
Term: assessments                    Term Frequency: 5         
Term: development                    Term Frequency: 5         
Term: analysis                       Term Frequency: 5         
Term: given                          Term Frequency: 5         
Term: linguistic                     Term Frequency: 5         
Term: process                        Term Frequency: 5         
Term: talk                           Term Frequency: 5         
Term: 2006                           Term Frequency: 5         
Term: existing                       Term Frequency: 5         
Term: certainty                      Term Frequency: 5         
Term: during                         Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: identify                       Term Frequency: 5         
Term: isolation                      Term Frequency: 5         
Term: other                          Term Frequency: 5         
Term: described                      Term Frequency: 5         
Term: related                        Term Frequency: 5         
Term: thinking                       Term Frequency: 5         
Term: high                           Term Frequency: 5         
