Term: students                       Term Frequency: 55        
Term: student                        Term Frequency: 48        
Term: fractions                      Term Frequency: 37        
Term: we                             Term Frequency: 34        
Term: data                           Term Frequency: 23        
Term: each                           Term Frequency: 22        
Term: intervention                   Term Frequency: 18        
Term: 1                              Term Frequency: 16        
Term: 2                              Term Frequency: 16        
Term: during                         Term Frequency: 16        
Term: 3                              Term Frequency: 15        
Term: research                       Term Frequency: 15        
Term: one                            Term Frequency: 15        
Term: learning                       Term Frequency: 15        
Term: models                         Term Frequency: 14        
Term: design                         Term Frequency: 14        
Term: half                           Term Frequency: 13        
Term: from                           Term Frequency: 13        
Term: test                           Term Frequency: 12        
Term: manipulatives                  Term Frequency: 12        
Term: interview                      Term Frequency: 12        
Term: using                          Term Frequency: 12        
Term: were                           Term Frequency: 11        
Term: three                          Term Frequency: 11        
Term: use                            Term Frequency: 11        
Term: about                          Term Frequency: 11        
Term: class                          Term Frequency: 11        
Term: researcher                     Term Frequency: 11        
Term: fraction                       Term Frequency: 11        
Term: have                           Term Frequency: 10        
Term: used                           Term Frequency: 10        
Term: qualitative                    Term Frequency: 10        
Term: post                           Term Frequency: 10        
Term: number                         Term Frequency: 10        
Term: she                            Term Frequency: 10        
Term: analytics                      Term Frequency: 9         
Term: teacher                        Term Frequency: 9         
Term: low                            Term Frequency: 9         
Term: virtual                        Term Frequency: 9         
Term: when                           Term Frequency: 9         
Term: ability                        Term Frequency: 9         
Term: system                         Term Frequency: 9         
Term: interviews                     Term Frequency: 9         
Term: individual                     Term Frequency: 9         
Term: 7                              Term Frequency: 8         
Term: two                            Term Frequency: 8         
Term: so                             Term Frequency: 8         
Term: program                        Term Frequency: 8         
Term: how                            Term Frequency: 8         
Term: problems                       Term Frequency: 8         
Term: all                            Term Frequency: 8         
Term: more                           Term Frequency: 8         
Term: order                          Term Frequency: 7         
Term: proper                         Term Frequency: 7         
Term: work                           Term Frequency: 7         
Term: asked                          Term Frequency: 7         
Term: strategy                       Term Frequency: 7         
Term: what                           Term Frequency: 7         
Term: who                            Term Frequency: 7         
Term: which                          Term Frequency: 7         
Term: than                           Term Frequency: 7         
Term: problem                        Term Frequency: 7         
Term: our                            Term Frequency: 7         
Term: any                            Term Frequency: 7         
Term: results                        Term Frequency: 7         
Term: also                           Term Frequency: 7         
Term: model                          Term Frequency: 7         
Term: instruction                    Term Frequency: 7         
Term: develop                        Term Frequency: 6         
Term: day                            Term Frequency: 6         
Term: understanding                  Term Frequency: 6         
Term: because                        Term Frequency: 6         
Term: teachers                       Term Frequency: 6         
Term: practice                       Term Frequency: 6         
Term: like                           Term Frequency: 6         
Term: groups                         Term Frequency: 6         
Term: okay                           Term Frequency: 6         
Term: symbolic                       Term Frequency: 6         
Term: learned                        Term Frequency: 6         
Term: can                            Term Frequency: 6         
Term: 4                              Term Frequency: 5         
Term: 5                              Term Frequency: 5         
Term: 6                              Term Frequency: 5         
Term: s                              Term Frequency: 5         
Term: provided                       Term Frequency: 5         
Term: part                           Term Frequency: 5         
Term: compare                        Term Frequency: 5         
Term: term                           Term Frequency: 5         
Term: interpret                      Term Frequency: 5         
Term: interpreting                   Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: long                           Term Frequency: 5         
Term: word                           Term Frequency: 5         
Term: visual                         Term Frequency: 5         
Term: student’s                      Term Frequency: 5         
Term: decimal                        Term Frequency: 5         
Term: tions                          Term Frequency: 5         
Term: content                        Term Frequency: 5         
Term: seemed                         Term Frequency: 5         
Term: equals                         Term Frequency: 5         
Term: re                             Term Frequency: 5         
Term: reports                        Term Frequency: 5         
