Term: data                           Term Frequency: 216       
Term: privacy                        Term Frequency: 132       
Term: learning                       Term Frequency: 116       
Term: analytics                      Term Frequency: 109       
Term: http                           Term Frequency: 50        
Term: from                           Term Frequency: 50        
Term: we                             Term Frequency: 47        
Term: has                            Term Frequency: 41        
Term: ethical                        Term Frequency: 40        
Term: been                           Term Frequency: 38        
Term: can                            Term Frequency: 37        
Term: ethics                         Term Frequency: 36        
Term: legal                          Term Frequency: 33        
Term: 2015                           Term Frequency: 33        
Term: information                    Term Frequency: 28        
Term: education                      Term Frequency: 28        
Term: educational                    Term Frequency: 28        
Term: about                          Term Frequency: 28        
Term: checklist                      Term Frequency: 26        
Term: subjects                       Term Frequency: 26        
Term: research                       Term Frequency: 26        
Term: have                           Term Frequency: 25        
Term: personal                       Term Frequency: 25        
Term: big                            Term Frequency: 24        
Term: protection                     Term Frequency: 22        
Term: use                            Term Frequency: 20        
Term: student                        Term Frequency: 20        
Term: should                         Term Frequency: 20        
Term: other                          Term Frequency: 20        
Term: being                          Term Frequency: 19        
Term: which                          Term Frequency: 19        
Term: them                           Term Frequency: 19        
Term: more                           Term Frequency: 19        
Term: security                       Term Frequency: 18        
Term: how                            Term Frequency: 18        
Term: human                          Term Frequency: 18        
Term: 2014                           Term Frequency: 18        
Term: eu                             Term Frequency: 17        
Term: when                           Term Frequency: 17        
Term: some                           Term Frequency: 17        
Term: system                         Term Frequency: 17        
Term: all                            Term Frequency: 17        
Term: also                           Term Frequency: 17        
Term: right                          Term Frequency: 16        
Term: identity                       Term Frequency: 16        
Term: need                           Term Frequency: 16        
Term: context                        Term Frequency: 16        
Term: code                           Term Frequency: 16        
Term: what                           Term Frequency: 15        
Term: our                            Term Frequency: 15        
Term: 1                              Term Frequency: 14        
Term: facebook                       Term Frequency: 14        
Term: de                             Term Frequency: 14        
Term: directive                      Term Frequency: 14        
Term: paper                          Term Frequency: 14        
Term: control                        Term Frequency: 14        
Term: available                      Term Frequency: 14        
Term: technology                     Term Frequency: 14        
Term: between                        Term Frequency: 14        
Term: collected                      Term Frequency: 14        
Term: www.laceproject.eu             Term Frequency: 14        
Term: 3                              Term Frequency: 13        
Term: transparency                   Term Frequency: 13        
Term: concept                        Term Frequency: 13        
Term: 46                             Term Frequency: 13        
Term: one                            Term Frequency: 13        
Term: out                            Term Frequency: 13        
Term: blog                           Term Frequency: 13        
Term: like                           Term Frequency: 13        
Term: even                           Term Frequency: 13        
Term: consent                        Term Frequency: 13        
Term: ep4la                          Term Frequency: 12        
Term: relationship                   Term Frequency: 12        
Term: users                          Term Frequency: 12        
Term: way                            Term Frequency: 12        
Term: en                             Term Frequency: 12        
Term: digital                        Term Frequency: 12        
Term: time                           Term Frequency: 12        
Term: trusted                        Term Frequency: 12        
Term: society                        Term Frequency: 12        
Term: law                            Term Frequency: 12        
Term: university                     Term Frequency: 12        
Term: integrity                      Term Frequency: 12        
Term: provide                        Term Frequency: 12        
Term: new                            Term Frequency: 12        
Term: used                           Term Frequency: 12        
Term: user                           Term Frequency: 12        
Term: practice                       Term Frequency: 12        
Term: issue                          Term Frequency: 12        
Term: ownership                      Term Frequency: 12        
Term: towards                        Term Frequency: 12        
Term: 2                              Term Frequency: 11        
Term: rights                         Term Frequency: 11        
Term: section                        Term Frequency: 11        
Term: systems                        Term Frequency: 11        
Term: power                          Term Frequency: 11        
Term: experiment                     Term Frequency: 11        
Term: part                           Term Frequency: 11        
Term: very                           Term Frequency: 11        
Term: design                         Term Frequency: 11        
Term: collection                     Term Frequency: 11        
Term: trust                          Term Frequency: 11        
Term: any                            Term Frequency: 11        
Term: relevant                       Term Frequency: 11        
Term: files                          Term Frequency: 11        
Term: 6                              Term Frequency: 10        
Term: 95                             Term Frequency: 10        
Term: who                            Term Frequency: 10        
Term: content                        Term Frequency: 10        
Term: https                          Term Frequency: 10        
Term: than                           Term Frequency: 10        
Term: self                           Term Frequency: 10        
Term: principles                     Term Frequency: 10        
Term: first                          Term Frequency: 10        
Term: individuals                    Term Frequency: 10        
Term: developed                      Term Frequency: 10        
Term: social                         Term Frequency: 10        
Term: rather                         Term Frequency: 10        
Term: providers                      Term Frequency: 10        
Term: against                        Term Frequency: 10        
Term: students                       Term Frequency: 10        
Term: management                     Term Frequency: 10        
Term: most                           Term Frequency: 10        
Term: s                              Term Frequency: 9         
Term: e.g                            Term Frequency: 9         
Term: made                           Term Frequency: 9         
Term: todays                         Term Frequency: 9         
Term: 10                             Term Frequency: 9         
Term: work                           Term Frequency: 9         
Term: private                        Term Frequency: 9         
Term: recent                         Term Frequency: 9         
Term: commercial                     Term Frequency: 9         
Term: up                             Term Frequency: 9         
Term: institution                    Term Frequency: 9         
Term: sensitive                      Term Frequency: 9         
Term: stakeholders                   Term Frequency: 9         
Term: article                        Term Frequency: 9         
Term: however                        Term Frequency: 9         
Term: access                         Term Frequency: 9         
Term: medical                        Term Frequency: 9         
Term: ec.europa.eu                   Term Frequency: 9         
Term: added                          Term Frequency: 9         
Term: contextual                     Term Frequency: 9         
Term: criteria                       Term Frequency: 9         
Term: therefore                      Term Frequency: 9         
Term: frameworks                     Term Frequency: 9         
Term: review                         Term Frequency: 9         
Term: 4                              Term Frequency: 8         
Term: 5                              Term Frequency: 8         
Term: same                           Term Frequency: 8         
Term: provided                       Term Frequency: 8         
Term: further                        Term Frequency: 8         
Term: concerns                       Term Frequency: 8         
Term: subject                        Term Frequency: 8         
Term: often                          Term Frequency: 8         
Term: another                        Term Frequency: 8         
Term: study                          Term Frequency: 8         
Term: anonymisation                  Term Frequency: 8         
Term: concepts                       Term Frequency: 8         
Term: purposes                       Term Frequency: 8         
Term: inbloom                        Term Frequency: 8         
Term: those                          Term Frequency: 8         
Term: world                          Term Frequency: 8         
Term: vienna                         Term Frequency: 8         
Term: informed                       Term Frequency: 8         
Term: applied                        Term Frequency: 8         
Term: were                           Term Frequency: 8         
Term: open                           Term Frequency: 8         
Term: around                         Term Frequency: 8         
Term: 2012                           Term Frequency: 8         
Term: through                        Term Frequency: 8         
Term: over                           Term Frequency: 8         
Term: model                          Term Frequency: 8         
Term: fears                          Term Frequency: 7         
Term: make                           Term Frequency: 7         
Term: 11                             Term Frequency: 7         
Term: 16                             Term Frequency: 7         
Term: 21                             Term Frequency: 7         
Term: foundation                     Term Frequency: 7         
Term: summit                         Term Frequency: 7         
Term: sites                          Term Frequency: 7         
Term: while                          Term Frequency: 7         
Term: us                             Term Frequency: 7         
Term: without                        Term Frequency: 7         
Term: conduct                        Term Frequency: 7         
Term: must                           Term Frequency: 7         
Term: could                          Term Frequency: 7         
Term: national                       Term Frequency: 7         
Term: report                         Term Frequency: 7         
Term: only                           Term Frequency: 7         
Term: policy                         Term Frequency: 7         
Term: full                           Term Frequency: 7         
Term: matrix                         Term Frequency: 7         
Term: conference                     Term Frequency: 7         
Term: service                        Term Frequency: 7         
Term: clear                          Term Frequency: 7         
Term: knowledge                      Term Frequency: 7         
Term: within                         Term Frequency: 7         
Term: online                         Term Frequency: 7         
Term: where                          Term Frequency: 7         
Term: results                        Term Frequency: 7         
Term: case                           Term Frequency: 7         
Term: protect                        Term Frequency: 7         
Term: see                            Term Frequency: 7         
Term: participants                   Term Frequency: 7         
Term: 7                              Term Frequency: 6         
Term: 8                              Term Frequency: 6         
Term: after                          Term Frequency: 6         
Term: order                          Term Frequency: 6         
Term: services                       Term Frequency: 6         
Term: unethical                      Term Frequency: 6         
Term: later                          Term Frequency: 6         
Term: uri                            Term Frequency: 6         
Term: 12                             Term Frequency: 6         
Term: 14                             Term Frequency: 6         
Term: 15                             Term Frequency: 6         
Term: 24                             Term Frequency: 6         
Term: long                           Term Frequency: 6         
Term: themselves                     Term Frequency: 6         
Term: 10.1145                        Term Frequency: 6         
Term: understanding                  Term Frequency: 6         
Term: eur                            Term Frequency: 6         
Term: companies                      Term Frequency: 6         
Term: seen                           Term Frequency: 6         
