Term: learning                       Term Frequency: 109       
Term: analytics                      Term Frequency: 66        
Term: cycle                          Term Frequency: 29        
Term: learners                       Term Frequency: 25        
Term: loop                           Term Frequency: 23        
Term: can                            Term Frequency: 22        
Term: which                          Term Frequency: 20        
Term: more                           Term Frequency: 20        
Term: feedback                       Term Frequency: 20        
Term: system                         Term Frequency: 18        
Term: data                           Term Frequency: 14        
Term: from                           Term Frequency: 14        
Term: e.g                            Term Frequency: 12        
Term: theory                         Term Frequency: 12        
Term: one                            Term Frequency: 12        
Term: 1                              Term Frequency: 11        
Term: may                            Term Frequency: 11        
Term: metrics                        Term Frequency: 11        
Term: 2011                           Term Frequency: 10        
Term: level                          Term Frequency: 10        
Term: teacher                        Term Frequency: 9         
Term: open                           Term Frequency: 9         
Term: assessment                     Term Frequency: 9         
Term: teachers                       Term Frequency: 9         
Term: has                            Term Frequency: 9         
Term: interventions                  Term Frequency: 9         
Term: learner                        Term Frequency: 9         
Term: control                        Term Frequency: 9         
Term: 2                              Term Frequency: 8         
Term: effective                      Term Frequency: 8         
Term: experience                     Term Frequency: 8         
Term: make                           Term Frequency: 8         
Term: about                          Term Frequency: 8         
Term: practice                       Term Frequency: 8         
Term: some                           Term Frequency: 8         
Term: intervention                   Term Frequency: 8         
Term: educational                    Term Frequency: 8         
Term: through                        Term Frequency: 8         
Term: 4                              Term Frequency: 7         
Term: reflective                     Term Frequency: 7         
Term: use                            Term Frequency: 7         
Term: education                      Term Frequency: 7         
Term: used                           Term Frequency: 7         
Term: process                        Term Frequency: 7         
Term: outcome                        Term Frequency: 7         
Term: all                            Term Frequency: 7         
Term: theories                       Term Frequency: 7         
Term: set                            Term Frequency: 7         
Term: 3                              Term Frequency: 6         
Term: university                     Term Frequency: 6         
Term: literature                     Term Frequency: 6         
Term: action                         Term Frequency: 6         
Term: between                        Term Frequency: 6         
Term: information                    Term Frequency: 5         
Term: academic                       Term Frequency: 5         
Term: final                          Term Frequency: 5         
Term: 11                             Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: speed                          Term Frequency: 5         
Term: step                           Term Frequency: 5         
Term: include                        Term Frequency: 5         
Term: generated                      Term Frequency: 5         
Term: students                       Term Frequency: 5         
Term: double                         Term Frequency: 5         
Term: study                          Term Frequency: 5         
