Term: out                            Term Frequency: 90        
Term: students                       Term Frequency: 73        
Term: dropping                       Term Frequency: 59        
Term: semesters                      Term Frequency: 45        
Term: student                        Term Frequency: 31        
Term: break                          Term Frequency: 31        
Term: programme                      Term Frequency: 29        
Term: programmes                     Term Frequency: 26        
Term: 5                              Term Frequency: 25        
Term: each                           Term Frequency: 25        
Term: education                      Term Frequency: 25        
Term: analysis                       Term Frequency: 25        
Term: 1                              Term Frequency: 24        
Term: university                     Term Frequency: 24        
Term: definition                     Term Frequency: 24        
Term: 3                              Term Frequency: 23        
Term: number                         Term Frequency: 23        
Term: 4                              Term Frequency: 22        
Term: have                           Term Frequency: 22        
Term: more                           Term Frequency: 22        
Term: degree                         Term Frequency: 21        
Term: enrolment                      Term Frequency: 20        
Term: from                           Term Frequency: 20        
Term: drop                           Term Frequency: 18        
Term: first                          Term Frequency: 17        
Term: academic                       Term Frequency: 16        
Term: which                          Term Frequency: 16        
Term: distance                       Term Frequency: 16        
Term: 2                              Term Frequency: 15        
Term: who                            Term Frequency: 15        
Term: than                           Term Frequency: 15        
Term: we                             Term Frequency: 15        
Term: semester                       Term Frequency: 15        
Term: law                            Term Frequency: 14        
Term: during                         Term Frequency: 14        
Term: studies                        Term Frequency: 14        
Term: higher                         Term Frequency: 13        
Term: only                           Term Frequency: 13        
Term: one                            Term Frequency: 12        
Term: considered                     Term Frequency: 12        
Term: consecutive                    Term Frequency: 12        
Term: has                            Term Frequency: 12        
Term: enrolled                       Term Frequency: 12        
Term: online                         Term Frequency: 11        
Term: other                          Term Frequency: 11        
Term: 8                              Term Frequency: 10        
Term: same                           Term Frequency: 10        
Term: specific                       Term Frequency: 10        
Term: paper                          Term Frequency: 10        
Term: all                            Term Frequency: 10        
Term: should                         Term Frequency: 10        
Term: can                            Term Frequency: 10        
Term: 6                              Term Frequency: 9         
Term: learning                       Term Frequency: 9         
Term: been                           Term Frequency: 9         
Term: degrees                        Term Frequency: 9         
Term: total                          Term Frequency: 9         
Term: taking                         Term Frequency: 8         
Term: main                           Term Frequency: 8         
Term: 16                             Term Frequency: 8         
Term: open                           Term Frequency: 8         
Term: work                           Term Frequency: 8         
Term: de                             Term Frequency: 8         
Term: he                             Term Frequency: 8         
Term: brick                          Term Frequency: 8         
Term: data                           Term Frequency: 8         
Term: period                         Term Frequency: 8         
Term: institutional                  Term Frequency: 8         
Term: point                          Term Frequency: 8         
Term: take                           Term Frequency: 8         
Term: where                          Term Frequency: 8         
Term: case                           Term Frequency: 8         
Term: also                           Term Frequency: 8         
Term: mortar                         Term Frequency: 8         
Term: p                              Term Frequency: 7         
Term: may                            Term Frequency: 7         
Term: 14                             Term Frequency: 7         
Term: study                          Term Frequency: 7         
Term: very                           Term Frequency: 7         
Term: second                         Term Frequency: 7         
Term: i.e                            Term Frequency: 7         
Term: analysed                       Term Frequency: 7         
Term: having                         Term Frequency: 7         
Term: perspective                    Term Frequency: 7         
Term: causes                         Term Frequency: 7         
Term: error                          Term Frequency: 7         
Term: therefore                      Term Frequency: 7         
Term: years                          Term Frequency: 7         
Term: taken                          Term Frequency: 7         
Term: results                        Term Frequency: 7         
Term: sequences                      Term Frequency: 7         
Term: 0                              Term Frequency: 6         
Term: 7                              Term Frequency: 6         
Term: duration                       Term Frequency: 6         
Term: subject                        Term Frequency: 6         
Term: define                         Term Frequency: 6         
Term: breaks                         Term Frequency: 6         
Term: when                           Term Frequency: 6         
Term: those                          Term Frequency: 6         
Term: percentage                     Term Frequency: 6         
Term: different                      Term Frequency: 6         
Term: between                        Term Frequency: 6         
Term: 9                              Term Frequency: 5         
Term: example                        Term Frequency: 5         
Term: after                          Term Frequency: 5         
Term: institutions                   Term Frequency: 5         
Term: two                            Term Frequency: 5         
Term: does                           Term Frequency: 5         
Term: experience                     Term Frequency: 5         
Term: shows                          Term Frequency: 5         
Term: record                         Term Frequency: 5         
Term: finally                        Term Frequency: 5         
Term: 19                             Term Frequency: 5         
Term: sequence                       Term Frequency: 5         
Term: least                          Term Frequency: 5         
Term: research                       Term Frequency: 5         
Term: non                            Term Frequency: 5         
Term: probability                    Term Frequency: 5         
Term: section                        Term Frequency: 5         
Term: seen                           Term Frequency: 5         
Term: time                           Term Frequency: 5         
Term: universities                   Term Frequency: 5         
Term: history                        Term Frequency: 5         
Term: subjects                       Term Frequency: 5         
Term: notice                         Term Frequency: 5         
Term: dropped                        Term Frequency: 5         
Term: based                          Term Frequency: 5         
Term: fact                           Term Frequency: 5         
Term: recognised                     Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: view                           Term Frequency: 5         
Term: cycle                          Term Frequency: 5         
Term: officially                     Term Frequency: 5         
Term: relevant                       Term Frequency: 5         
Term: available                      Term Frequency: 5         
Term: following                      Term Frequency: 5         
Term: behaviour                      Term Frequency: 5         
Term: would                          Term Frequency: 4         
Term: information                    Term Frequency: 4         
Term: defined                        Term Frequency: 4         
Term: 1996                           Term Frequency: 4         
Term: initial                        Term Frequency: 4         
Term: shown                          Term Frequency: 4         
Term: particular                     Term Frequency: 4         
Term: maximum                        Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: invested                       Term Frequency: 4         
Term: 22                             Term Frequency: 4         
Term: achieved                       Term Frequency: 4         
Term: authors                        Term Frequency: 4         
Term: new                            Term Frequency: 4         
Term: rates                          Term Frequency: 4         
Term: continuity                     Term Frequency: 4         
Term: way                            Term Frequency: 4         
Term: certain                        Term Frequency: 4         
Term: used                           Term Frequency: 4         
Term: recent                         Term Frequency: 4         
Term: starting                       Term Frequency: 4         
Term: course                         Term Frequency: 4         
Term: minimum                        Term Frequency: 4         
Term: theoretical                    Term Frequency: 4         
Term: purposes                       Term Frequency: 4         
Term: retention                      Term Frequency: 4         
Term: continue                       Term Frequency: 4         
Term: values                         Term Frequency: 4         
Term: process                        Term Frequency: 4         
Term: prior                          Term Frequency: 4         
Term: some                           Term Frequency: 4         
Term: 2008                           Term Frequency: 4         
Term: 2004                           Term Frequency: 4         
Term: reached                        Term Frequency: 4         
Term: could                          Term Frequency: 4         
Term: fewer                          Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: shorter                        Term Frequency: 4         
Term: using                          Term Frequency: 4         
Term: see                            Term Frequency: 4         
Term: however                        Term Frequency: 4         
Term: related                        Term Frequency: 4         
Term: highly                         Term Frequency: 4         
Term: 100                            Term Frequency: 4         
Term: once                           Term Frequency: 4         
Term: graphs                         Term Frequency: 4         
Term: figure                         Term Frequency: 4         
Term: carried                        Term Frequency: 4         
Term: result                         Term Frequency: 3         
Term: well                           Term Frequency: 3         
Term: question                       Term Frequency: 3         
Term: were                           Term Frequency: 3         
Term: start                          Term Frequency: 3         
Term: specifically                   Term Frequency: 3         
Term: part                           Term Frequency: 3         
Term: methodology                    Term Frequency: 3         
Term: adult                          Term Frequency: 3         
Term: 0.11                           Term Frequency: 3         
Term: graph                          Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: sense                          Term Frequency: 3         
Term: due                            Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: variables                      Term Frequency: 3         
Term: 40                             Term Frequency: 3         
Term: needed                         Term Frequency: 3         
Term: among                          Term Frequency: 3         
Term: existence                      Term Frequency: 3         
Term: qualification                  Term Frequency: 3         
Term: seems                          Term Frequency: 3         
Term: establishing                   Term Frequency: 3         
Term: engineering                    Term Frequency: 3         
Term: fields                         Term Frequency: 3         
Term: string                         Term Frequency: 3         
Term: differences                    Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: needs                          Term Frequency: 3         
Term: rate                           Term Frequency: 3         
Term: author                         Term Frequency: 3         
Term: follows                        Term Frequency: 3         
Term: allows                         Term Frequency: 3         
Term: obtained                       Term Frequency: 3         
Term: up                             Term Frequency: 3         
Term: type                           Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: terms                          Term Frequency: 3         
Term: columns                        Term Frequency: 3         
Term: institution                    Term Frequency: 3         
Term: psychology                     Term Frequency: 3         
Term: basis                          Term Frequency: 3         
Term: objectives                     Term Frequency: 3         
Term: began                          Term Frequency: 3         
Term: actions                        Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: his                            Term Frequency: 3         
Term: consider                       Term Frequency: 3         
Term: general                        Term Frequency: 3         
Term: qualitative                    Term Frequency: 3         
Term: although                       Term Frequency: 3         
Term: periods                        Term Frequency: 3         
Term: since                          Term Frequency: 3         
Term: appears                        Term Frequency: 3         
Term: undertaken                     Term Frequency: 3         
Term: characteristics                Term Frequency: 3         
Term: dropout                        Term Frequency: 3         
Term: established                    Term Frequency: 3         
Term: criterion                      Term Frequency: 3         
Term: article                        Term Frequency: 3         
Term: smaller                        Term Frequency: 3         
Term: aim                            Term Frequency: 3         
Term: curriculum                     Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: always                         Term Frequency: 3         
Term: difficulty                     Term Frequency: 3         
Term: important                      Term Frequency: 3         
Term: personal                       Term Frequency: 3         
Term: she                            Term Frequency: 3         
Term: over                           Term Frequency: 3         
Term: enrolments                     Term Frequency: 3         
Term: majority                       Term Frequency: 3         
Term: model                          Term Frequency: 3         
Term: establish                      Term Frequency: 3         
Term: objective                      Term Frequency: 3         
Term: especially                     Term Frequency: 3         
Term: ones                           Term Frequency: 3         
Term: hand                           Term Frequency: 2         
Term: e                              Term Frequency: 2         
Term: accumulated                    Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: order                          Term Frequency: 2         
Term: e.g                            Term Frequency: 2         
Term: respectively                   Term Frequency: 2         
Term: 3.14                           Term Frequency: 2         
Term: quantitative                   Term Frequency: 2         
Term: element                        Term Frequency: 2         
Term: 3.77                           Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: reducing                       Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: teaching                       Term Frequency: 2         
Term: depending                      Term Frequency: 2         
Term: profile                        Term Frequency: 2         
Term: term                           Term Frequency: 2         
Term: returning                      Term Frequency: 2         
Term: later                          Term Frequency: 2         
Term: 0.04                           Term Frequency: 2         
Term: 0.03                           Term Frequency: 2         
Term: possibly                       Term Frequency: 2         
Term: 0.17                           Term Frequency: 2         
Term: 0.15                           Term Frequency: 2         
Term: final                          Term Frequency: 2         
Term: virtual                        Term Frequency: 2         
Term: 0.29                           Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: 0.37                           Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: field                          Term Frequency: 2         
Term: enrol                          Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: concentrates                   Term Frequency: 2         
Term: 326                            Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: about                          Term Frequency: 2         
Term: above                          Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 37                             Term Frequency: 2         
Term: associated                     Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: 69                             Term Frequency: 2         
Term: 80                             Term Frequency: 2         
Term: 89                             Term Frequency: 2         
Term: year                           Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: immediately                    Term Frequency: 2         
Term: measurement                    Term Frequency: 2         
Term: official                       Term Frequency: 2         
Term: historical                     Term Frequency: 2         
Term: generated                      Term Frequency: 2         
Term: student’s                      Term Frequency: 2         
Term: end                            Term Frequency: 2         
Term: family                         Term Frequency: 2         
Term: valid                          Term Frequency: 2         
Term: undertake                      Term Frequency: 2         
Term: running                        Term Frequency: 2         
Term: strategy                       Term Frequency: 2         
Term: inductive                      Term Frequency: 2         
Term: monitoring                     Term Frequency: 2         
Term: another                        Term Frequency: 2         
Term: graduates                      Term Frequency: 2         
Term: give                           Term Frequency: 2         
Term: 13.3                           Term Frequency: 2         
Term: cohorts                        Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: 57.6                           Term Frequency: 2         
Term: administrative                 Term Frequency: 2         
Term: 62,450                         Term Frequency: 2         
Term: consideration                  Term Frequency: 2         
