Term: week                           Term Frequency: 115       
Term: social                         Term Frequency: 79        
Term: network                        Term Frequency: 78        
Term: networks                       Term Frequency: 51        
Term: learning                       Term Frequency: 38        
Term: 2                              Term Frequency: 36        
Term: from                           Term Frequency: 36        
Term: models                         Term Frequency: 34        
Term: 1                              Term Frequency: 32        
Term: model                          Term Frequency: 32        
Term: data                           Term Frequency: 30        
Term: forum                          Term Frequency: 28        
Term: previous                       Term Frequency: 27        
Term: current                        Term Frequency: 26        
Term: al                             Term Frequency: 25        
Term: et                             Term Frequency: 25        
Term: 3                              Term Frequency: 24        
Term: we                             Term Frequency: 24        
Term: links                          Term Frequency: 22        
Term: effects                        Term Frequency: 22        
Term: score                          Term Frequency: 22        
Term: analysis                       Term Frequency: 21        
Term: performance                    Term Frequency: 21        
Term: engagement                     Term Frequency: 21        
Term: nodes                          Term Frequency: 20        
Term: p                              Term Frequency: 19        
Term: discussion                     Term Frequency: 19        
Term: more                           Term Frequency: 19        
Term: posts                          Term Frequency: 19        
Term: weeks                          Term Frequency: 18        
Term: between                        Term Frequency: 18        
Term: 4                              Term Frequency: 17        
Term: individuals                    Term Frequency: 17        
Term: were                           Term Frequency: 17        
Term: study                          Term Frequency: 16        
Term: course                         Term Frequency: 16        
Term: random                         Term Frequency: 16        
Term: attributes                     Term Frequency: 16        
Term: lectures                       Term Frequency: 15        
Term: 0.15                           Term Frequency: 15        
Term: views                          Term Frequency: 15        
Term: scores                         Term Frequency: 15        
Term: results                        Term Frequency: 15        
Term: have                           Term Frequency: 14        
Term: lecture                        Term Frequency: 14        
Term: post                           Term Frequency: 14        
Term: number                         Term Frequency: 14        
Term: all                            Term Frequency: 14        
Term: 5                              Term Frequency: 13        
Term: graph                          Term Frequency: 13        
Term: 0.13                           Term Frequency: 13        
Term: which                          Term Frequency: 13        
Term: content                        Term Frequency: 13        
Term: using                          Term Frequency: 13        
Term: indicates                      Term Frequency: 13        
Term: exponential                    Term Frequency: 13        
Term: density                        Term Frequency: 12        
Term: effect                         Term Frequency: 12        
Term: significant                    Term Frequency: 12        
Term: forums                         Term Frequency: 12        
Term: students                       Term Frequency: 12        
Term: node                           Term Frequency: 12        
Term: connected                      Term Frequency: 12        
Term: 2015                           Term Frequency: 12        
Term: other                          Term Frequency: 12        
Term: assignment                     Term Frequency: 12        
Term: also                           Term Frequency: 12        
Term: over                           Term Frequency: 12        
Term: 6                              Term Frequency: 11        
Term: 7                              Term Frequency: 11        
Term: k                              Term Frequency: 11        
Term: s                              Term Frequency: 11        
Term: y                              Term Frequency: 11        
Term: two                            Term Frequency: 11        
Term: 0.20                           Term Frequency: 11        
Term: 0.19                           Term Frequency: 11        
Term: 0.17                           Term Frequency: 11        
Term: 0.30                           Term Frequency: 11        
Term: connectedness                  Term Frequency: 11        
Term: educational                    Term Frequency: 11        
Term: each                           Term Frequency: 11        
Term: edge                           Term Frequency: 11        
Term: our                            Term Frequency: 11        
Term: online                         Term Frequency: 11        
Term: 0.05                           Term Frequency: 10        
Term: conference                     Term Frequency: 10        
Term: one                            Term Frequency: 10        
Term: 2007                           Term Frequency: 10        
Term: 0.18                           Term Frequency: 9         
Term: 0.14                           Term Frequency: 9         
Term: 0.42                           Term Frequency: 9         
Term: variables                      Term Frequency: 9         
Term: statistics                     Term Frequency: 9         
Term: do                             Term Frequency: 9         
Term: than                           Term Frequency: 9         
Term: related                        Term Frequency: 9         
Term: degree                         Term Frequency: 9         
Term: interaction                    Term Frequency: 9         
Term: may                            Term Frequency: 9         
Term: methods                        Term Frequency: 9         
Term: 2014                           Term Frequency: 9         
Term: tendency                       Term Frequency: 9         
Term: future                         Term Frequency: 9         
Term: 8                              Term Frequency: 8         
Term: stars                          Term Frequency: 8         
Term: 0.33                           Term Frequency: 8         
Term: 0.38                           Term Frequency: 8         
Term: work                           Term Frequency: 8         
Term: mining                         Term Frequency: 8         
Term: structural                     Term Frequency: 8         
Term: thus                           Term Frequency: 8         
Term: weekly                         Term Frequency: 8         
Term: first                          Term Frequency: 8         
Term: however                        Term Frequency: 8         
Term: would                          Term Frequency: 8         
Term: communities                    Term Frequency: 8         
Term: relations                      Term Frequency: 8         
Term: possible                       Term Frequency: 7         
Term: 0.09                           Term Frequency: 7         
Term: 0.16                           Term Frequency: 7         
Term: 0.31                           Term Frequency: 7         
Term: 0.26                           Term Frequency: 7         
Term: 0.49                           Term Frequency: 7         
Term: who                            Term Frequency: 7         
Term: difference                     Term Frequency: 7         
Term: time                           Term Frequency: 7         
Term: reply                          Term Frequency: 7         
Term: regression                     Term Frequency: 7         
Term: high                           Term Frequency: 7         
Term: different                      Term Frequency: 7         
Term: graphs                         Term Frequency: 7         
Term: following                      Term Frequency: 7         
Term: only                           Term Frequency: 7         
Term: structure                      Term Frequency: 7         
Term: 2013                           Term Frequency: 7         
Term: space                          Term Frequency: 7         
Term: g                              Term Frequency: 6         
Term: information                    Term Frequency: 6         
Term: analytics                      Term Frequency: 6         
Term: covariates                     Term Frequency: 6         
Term: 0.34                           Term Frequency: 6         
Term: 0.32                           Term Frequency: 6         
Term: 0.28                           Term Frequency: 6         
Term: 0.29                           Term Frequency: 6         
Term: 0.43                           Term Frequency: 6         
Term: 0.39                           Term Frequency: 6         
Term: use                            Term Frequency: 6         
Term: observed                       Term Frequency: 6         
Term: 29                             Term Frequency: 6         
Term: community                      Term Frequency: 6         
Term: hubs                           Term Frequency: 6         
Term: features                       Term Frequency: 6         
Term: hierarchical                   Term Frequency: 6         
Term: student                        Term Frequency: 6         
