Term: learning                       Term Frequency: 50        
Term: analytics                      Term Frequency: 31        
Term: open                           Term Frequency: 17        
Term: research                       Term Frequency: 12        
Term: from                           Term Frequency: 11        
Term: results                        Term Frequency: 11        
Term: she                            Term Frequency: 11        
Term: failures                       Term Frequency: 9         
Term: mistakes                       Term Frequency: 9         
Term: workshop                       Term Frequency: 8         
Term: about                          Term Frequency: 8         
Term: project                        Term Frequency: 8         
Term: more                           Term Frequency: 8         
Term: failure                        Term Frequency: 8         
Term: has                            Term Frequency: 7         
Term: projects                       Term Frequency: 7         
Term: social                         Term Frequency: 7         
Term: her                            Term Frequency: 6         
Term: researchers                    Term Frequency: 6         
Term: positive                       Term Frequency: 6         
Term: use                            Term Frequency: 6         
Term: evidence                       Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: 1                              Term Frequency: 5         
Term: success                        Term Frequency: 5         
Term: well                           Term Frequency: 5         
Term: teaching                       Term Frequency: 5         
Term: his                            Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: learn                          Term Frequency: 5         
Term: educational                    Term Frequency: 5         
Term: presenters                     Term Frequency: 5         
Term: likely                         Term Frequency: 5         
Term: practitioners                  Term Frequency: 5         
Term: student                        Term Frequency: 5         
Term: participants                   Term Frequency: 5         
Term: held                           Term Frequency: 5         
Term: data                           Term Frequency: 5         
Term: own                            Term Frequency: 5         
Term: can                            Term Frequency: 5         
Term: 3                              Term Frequency: 4         
Term: discussion                     Term Frequency: 4         
Term: bias                           Term Frequency: 4         
Term: house                          Term Frequency: 4         
Term: experience                     Term Frequency: 4         
Term: session                        Term Frequency: 4         
Term: international                  Term Frequency: 4         
Term: rule                           Term Frequency: 4         
Term: education                      Term Frequency: 4         
Term: fields                         Term Frequency: 4         
Term: negative                       Term Frequency: 4         
Term: who                            Term Frequency: 4         
Term: chatham                        Term Frequency: 4         
Term: management                     Term Frequency: 4         
Term: literature                     Term Frequency: 4         
Term: publication                    Term Frequency: 4         
Term: organisers                     Term Frequency: 4         
Term: we                             Term Frequency: 4         
Term: technology                     Term Frequency: 4         
Term: our                            Term Frequency: 4         
Term: 2                              Term Frequency: 3         
Term: have                           Term Frequency: 3         
Term: opportunities                  Term Frequency: 3         
Term: working                        Term Frequency: 3         
Term: each                           Term Frequency: 3         
Term: source                         Term Frequency: 3         
Term: part                           Term Frequency: 3         
Term: business                       Term Frequency: 3         
Term: under                          Term Frequency: 3         
Term: other’s                        Term Frequency: 3         
Term: member                         Term Frequency: 3         
Term: may                            Term Frequency: 3         
Term: online                         Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: work                           Term Frequency: 3         
Term: network                        Term Frequency: 3         
Term: currently                      Term Frequency: 3         
Term: community                      Term Frequency: 3         
Term: curriculum                     Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: all                            Term Frequency: 3         
Term: keep                           Term Frequency: 3         
Term: contribute                     Term Frequency: 3         
Term: national                       Term Frequency: 3         
Term: co                             Term Frequency: 3         
Term: which                          Term Frequency: 3         
Term: large                          Term Frequency: 3         
Term: focuses                        Term Frequency: 3         
Term: than                           Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: successes                      Term Frequency: 3         
Term: development                    Term Frequency: 3         
Term: scale                          Term Frequency: 3         
Term: studies                        Term Frequency: 3         
Term: half                           Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: analysis                       Term Frequency: 2         
Term: policy                         Term Frequency: 2         
Term: s                              Term Frequency: 2         
Term: information                    Term Frequency: 2         
Term: hard                           Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: 2.0                            Term Frequency: 2         
Term: academic                       Term Frequency: 2         
Term: meeting                        Term Frequency: 2         
Term: personalisation                Term Frequency: 2         
Term: institutional                  Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: three                          Term Frequency: 2         
