Term: student                        Term Frequency: 69        
Term: 1                              Term Frequency: 53        
Term: model                          Term Frequency: 52        
Term: regression                     Term Frequency: 47        
Term: models                         Term Frequency: 43        
Term: course                         Term Frequency: 38        
Term: students                       Term Frequency: 35        
Term: 2                              Term Frequency: 34        
Term: features                       Term Frequency: 31        
Term: we                             Term Frequency: 31        
Term: multi                          Term Frequency: 28        
Term: different                      Term Frequency: 27        
Term: 3                              Term Frequency: 24        
Term: g                              Term Frequency: 24        
Term: s                              Term Frequency: 21        
Term: performance                    Term Frequency: 21        
Term: all                            Term Frequency: 21        
Term: linear                         Term Frequency: 20        
Term: number                         Term Frequency: 20        
Term: d                              Term Frequency: 19        
Term: each                           Term Frequency: 18        
Term: bias                           Term Frequency: 18        
Term: collaborative                  Term Frequency: 18        
Term: 0                              Term Frequency: 17        
Term: js                             Term Frequency: 17        
Term: grades                         Term Frequency: 16        
Term: 4                              Term Frequency: 15        
Term: three                          Term Frequency: 15        
Term: activity                       Term Frequency: 15        
Term: k                              Term Frequency: 14        
Term: have                           Term Frequency: 14        
Term: group                          Term Frequency: 14        
Term: can                            Term Frequency: 14        
Term: two                            Term Frequency: 13        
Term: specific                       Term Frequency: 13        
Term: feature                        Term Frequency: 13        
Term: one                            Term Frequency: 12        
Term: material                       Term Frequency: 12        
Term: figure                         Term Frequency: 12        
Term: n                              Term Frequency: 11        
Term: gs                             Term Frequency: 11        
Term: terms                          Term Frequency: 11        
Term: groups                         Term Frequency: 11        
Term: using                          Term Frequency: 11        
Term: l                              Term Frequency: 10        
Term: estimated                      Term Frequency: 10        
Term: related                        Term Frequency: 10        
Term: predicted                      Term Frequency: 9         
Term: interaction                    Term Frequency: 9         
Term: estimate                       Term Frequency: 9         
Term: how                            Term Frequency: 9         
Term: from                           Term Frequency: 9         
Term: where                          Term Frequency: 9         
Term: 6                              Term Frequency: 8         
Term: weights                        Term Frequency: 8         
Term: which                          Term Frequency: 8         
Term: than                           Term Frequency: 8         
Term: departments                    Term Frequency: 8         
Term: other                          Term Frequency: 8         
Term: grade                          Term Frequency: 8         
Term: courses                        Term Frequency: 8         
Term: set                            Term Frequency: 8         
Term: 5                              Term Frequency: 7         
Term: were                           Term Frequency: 7         
Term: does                           Term Frequency: 7         
Term: viewing                        Term Frequency: 7         
Term: importance                     Term Frequency: 7         
Term: analyzing                      Term Frequency: 7         
Term: learning                       Term Frequency: 7         
Term: department                     Term Frequency: 7         
Term: has                            Term Frequency: 7         
Term: within                         Term Frequency: 7         
Term: based                          Term Frequency: 7         
Term: 0.2                            Term Frequency: 7         
Term: results                        Term Frequency: 7         
Term: stu                            Term Frequency: 7         
Term: information                    Term Frequency: 6         
Term: memberships                    Term Frequency: 6         
Term: student’s                      Term Frequency: 6         
Term: non                            Term Frequency: 6         
Term: contribute                     Term Frequency: 6         
Term: bc                             Term Frequency: 6         
Term: bs                             Term Frequency: 6         
Term: ms                             Term Frequency: 6         
Term: disc                           Term Frequency: 6         
Term: wd                             Term Frequency: 6         
Term: much                           Term Frequency: 6         
Term: contributes                    Term Frequency: 6         
Term: tion                           Term Frequency: 6         
Term: some                           Term Frequency: 6         
Term: parameters                     Term Frequency: 6         
Term: over                           Term Frequency: 6         
Term: viewed                         Term Frequency: 6         
Term: left                           Term Frequency: 5         
Term: µ                              Term Frequency: 5         
Term: better                         Term Frequency: 5         
Term: activities                     Term Frequency: 5         
Term: dataset                        Term Frequency: 5         
Term: shows                          Term Frequency: 5         
Term: past                           Term Frequency: 5         
Term: under                          Term Frequency: 5         
Term: whereas                        Term Frequency: 5         
Term: init                           Term Frequency: 5         
Term: dents                          Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: forum                          Term Frequency: 5         
Term: achieved                       Term Frequency: 5         
Term: used                           Term Frequency: 5         
Term: uses                           Term Frequency: 5         
Term: ps                             Term Frequency: 5         
Term: single                         Term Frequency: 5         
Term: data                           Term Frequency: 5         
Term: thus                           Term Frequency: 5         
