Term: we                             Term Frequency: 71        
Term: reflections                    Term Frequency: 35        
Term: 1                              Term Frequency: 30        
Term: would                          Term Frequency: 28        
Term: context                        Term Frequency: 28        
Term: reflection                     Term Frequency: 27        
Term: text                           Term Frequency: 27        
Term: which                          Term Frequency: 27        
Term: feature                        Term Frequency: 26        
Term: 2                              Term Frequency: 22        
Term: data                           Term Frequency: 22        
Term: our                            Term Frequency: 19        
Term: point                          Term Frequency: 19        
Term: reflective                     Term Frequency: 18        
Term: process                        Term Frequency: 18        
Term: were                           Term Frequency: 17        
Term: group                          Term Frequency: 17        
Term: features                       Term Frequency: 16        
Term: analysis                       Term Frequency: 16        
Term: 3                              Term Frequency: 15        
Term: could                          Term Frequency: 15        
Term: from                           Term Frequency: 15        
Term: others                         Term Frequency: 13        
Term: self                           Term Frequency: 13        
Term: anomalies                      Term Frequency: 13        
Term: have                           Term Frequency: 12        
Term: writing                        Term Frequency: 12        
Term: approach                       Term Frequency: 12        
Term: anomaly                        Term Frequency: 12        
Term: birds                          Term Frequency: 12        
Term: more                           Term Frequency: 12        
Term: i                              Term Frequency: 11        
Term: progress                       Term Frequency: 11        
Term: first                          Term Frequency: 11        
Term: negative                       Term Frequency: 11        
Term: between                        Term Frequency: 11        
Term: can                            Term Frequency: 11        
Term: 4                              Term Frequency: 10        
Term: human                          Term Frequency: 10        
Term: students                       Term Frequency: 10        
Term: had                            Term Frequency: 10        
Term: all                            Term Frequency: 10        
Term: also                           Term Frequency: 10        
Term: set                            Term Frequency: 10        
Term: s                              Term Frequency: 9         
Term: about                          Term Frequency: 9         
Term: learning                       Term Frequency: 9         
Term: flight                         Term Frequency: 9         
Term: results                        Term Frequency: 9         
Term: focused                        Term Frequency: 9         
Term: e.g                            Term Frequency: 8         
Term: function                       Term Frequency: 8         
Term: bird                           Term Frequency: 8         
Term: computational                  Term Frequency: 8         
Term: included                       Term Frequency: 8         
Term: work                           Term Frequency: 8         
Term: used                           Term Frequency: 8         
Term: them                           Term Frequency: 8         
Term: so                             Term Frequency: 8         
Term: one                            Term Frequency: 8         
Term: positive                       Term Frequency: 8         
Term: however                        Term Frequency: 8         
Term: 5                              Term Frequency: 7         
Term: balanced                       Term Frequency: 7         
Term: information                    Term Frequency: 7         
Term: word                           Term Frequency: 7         
Term: user                           Term Frequency: 7         
Term: re                             Term Frequency: 7         
Term: focus                          Term Frequency: 7         
Term: deviation                      Term Frequency: 7         
Term: based                          Term Frequency: 7         
Term: other                          Term Frequency: 7         
Term: words                          Term Frequency: 7         
Term: divergence                     Term Frequency: 6         
Term: pronouns                       Term Frequency: 6         
Term: use                            Term Frequency: 6         
Term: make                           Term Frequency: 6         
Term: trial                          Term Frequency: 6         
Term: topic                          Term Frequency: 6         
Term: fly                            Term Frequency: 6         
Term: automated                      Term Frequency: 6         
Term: identified                     Term Frequency: 6         
Term: general                        Term Frequency: 6         
Term: mean                           Term Frequency: 6         
Term: classified                     Term Frequency: 6         
