Term: students                       Term Frequency: 82        
Term: student                        Term Frequency: 57        
Term: enrollment                     Term Frequency: 33        
Term: enrolled                       Term Frequency: 32        
Term: likely                         Term Frequency: 30        
Term: have                           Term Frequency: 29        
Term: significant                    Term Frequency: 29        
Term: times                          Term Frequency: 26        
Term: college                        Term Frequency: 25        
Term: compared                       Term Frequency: 25        
Term: inactive                       Term Frequency: 25        
Term: outcomes                       Term Frequency: 24        
Term: who                            Term Frequency: 23        
Term: identified                     Term Frequency: 23        
Term: likelihood                     Term Frequency: 23        
Term: case                           Term Frequency: 23        
Term: more                           Term Frequency: 22        
Term: being                          Term Frequency: 21        
Term: study                          Term Frequency: 21        
Term: studies                        Term Frequency: 21        
Term: completed                      Term Frequency: 20        
Term: grade                          Term Frequency: 19        
Term: 1                              Term Frequency: 17        
Term: variables                      Term Frequency: 17        
Term: which                          Term Frequency: 16        
Term: than                           Term Frequency: 16        
Term: learning                       Term Frequency: 16        
Term: support                        Term Frequency: 15        
Term: early                          Term Frequency: 15        
Term: results                        Term Frequency: 15        
Term: effect                         Term Frequency: 14        
Term: complete                       Term Frequency: 13        
Term: also                           Term Frequency: 13        
Term: chance                         Term Frequency: 13        
Term: less                           Term Frequency: 12        
Term: lapsing                        Term Frequency: 12        
Term: data                           Term Frequency: 12        
Term: units                          Term Frequency: 12        
Term: discontinue                    Term Frequency: 12        
Term: from                           Term Frequency: 12        
Term: base                           Term Frequency: 11        
Term: risk                           Term Frequency: 11        
Term: institution                    Term Frequency: 11        
Term: international                  Term Frequency: 11        
Term: system                         Term Frequency: 11        
Term: those                          Term Frequency: 11        
Term: estimates                      Term Frequency: 11        
Term: greater                        Term Frequency: 11        
Term: university                     Term Frequency: 10        
Term: average                        Term Frequency: 10        
Term: internal                       Term Frequency: 10        
Term: fee                            Term Frequency: 10        
Term: lapsed                         Term Frequency: 10        
Term: has                            Term Frequency: 10        
Term: age                            Term Frequency: 10        
Term: higher                         Term Frequency: 10        
Term: bachelor                       Term Frequency: 9         
Term: 10                             Term Frequency: 9         
Term: residential                    Term Frequency: 9         
Term: environment                    Term Frequency: 9         
Term: non                            Term Frequency: 9         
Term: when                           Term Frequency: 9         
Term: course                         Term Frequency: 9         
Term: number                         Term Frequency: 9         
Term: completing                     Term Frequency: 9         
Term: category                       Term Frequency: 9         
Term: 4                              Term Frequency: 8         
Term: variable                       Term Frequency: 8         
Term: education                      Term Frequency: 8         
Term: discontinuing                  Term Frequency: 8         
Term: probability                    Term Frequency: 8         
Term: systems                        Term Frequency: 8         
Term: alert                          Term Frequency: 8         
Term: significantly                  Term Frequency: 8         
Term: analysis                       Term Frequency: 8         
Term: retention                      Term Frequency: 8         
Term: workload                       Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: level                          Term Frequency: 8         
Term: 2                              Term Frequency: 7         
Term: 3                              Term Frequency: 7         
Term: respectively                   Term Frequency: 7         
Term: institutions                   Term Frequency: 7         
Term: gender                         Term Frequency: 7         
Term: categories                     Term Frequency: 7         
Term: external                       Term Frequency: 7         
Term: however                        Term Frequency: 7         
Term: analytics                      Term Frequency: 6         
Term: academic                       Term Frequency: 6         
Term: previous                       Term Frequency: 6         
Term: multinomial                    Term Frequency: 6         
Term: period                         Term Frequency: 6         
Term: tertiary                       Term Frequency: 6         
Term: lapse                          Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: all                            Term Frequency: 6         
Term: increased                      Term Frequency: 6         
