Term: student                        Term Frequency: 68        
Term: learning                       Term Frequency: 57        
Term: students                       Term Frequency: 56        
Term: analytics                      Term Frequency: 40        
Term: success                        Term Frequency: 32        
Term: data                           Term Frequency: 24        
Term: institutions                   Term Frequency: 21        
Term: support                        Term Frequency: 20        
Term: institution                    Term Frequency: 20        
Term: institutional                  Term Frequency: 19        
Term: education                      Term Frequency: 17        
Term: retention                      Term Frequency: 17        
Term: understanding                  Term Frequency: 15        
Term: 1                              Term Frequency: 14        
Term: which                          Term Frequency: 14        
Term: space                          Term Frequency: 14        
Term: all                            Term Frequency: 14        
Term: both                           Term Frequency: 14        
Term: academic                       Term Frequency: 13        
Term: we                             Term Frequency: 12        
Term: has                            Term Frequency: 12        
Term: where                          Term Frequency: 12        
Term: higher                         Term Frequency: 12        
Term: have                           Term Frequency: 11        
Term: impact                         Term Frequency: 11        
Term: analyses                       Term Frequency: 11        
Term: from                           Term Frequency: 11        
Term: notion                         Term Frequency: 11        
Term: also                           Term Frequency: 11        
Term: 2                              Term Frequency: 10        
Term: information                    Term Frequency: 10        
Term: two                            Term Frequency: 10        
Term: may                            Term Frequency: 10        
Term: open                           Term Frequency: 10        
Term: potential                      Term Frequency: 10        
Term: 2011                           Term Frequency: 10        
Term: other                          Term Frequency: 10        
Term: more                           Term Frequency: 10        
Term: conceptual                     Term Frequency: 9         
Term: 11                             Term Frequency: 9         
Term: identity                       Term Frequency: 9         
Term: challenges                     Term Frequency: 9         
Term: been                           Term Frequency: 9         
Term: between                        Term Frequency: 9         
Term: 6                              Term Frequency: 8         
Term: 13                             Term Frequency: 8         
Term: shared                         Term Frequency: 8         
Term: what                           Term Frequency: 8         
Term: paradoxes                      Term Frequency: 8         
Term: mega                           Term Frequency: 8         
Term: based                          Term Frequency: 8         
Term: engagement                     Term Frequency: 8         
Term: model                          Term Frequency: 8         
Term: can                            Term Frequency: 8         
Term: socio                          Term Frequency: 7         
Term: use                            Term Frequency: 7         
Term: module                         Term Frequency: 7         
Term: journeys                       Term Frequency: 7         
Term: non                            Term Frequency: 7         
Term: used                           Term Frequency: 7         
Term: our                            Term Frequency: 7         
Term: identities                     Term Frequency: 7         
Term: distance                       Term Frequency: 7         
Term: 3                              Term Frequency: 6         
Term: 4                              Term Frequency: 6         
Term: role                           Term Frequency: 6         
Term: provided                       Term Frequency: 6         
Term: provide                        Term Frequency: 6         
Term: critical                       Term Frequency: 6         
Term: cohort                         Term Frequency: 6         
Term: sense                          Term Frequency: 6         
Term: map                            Term Frequency: 6         
Term: make                           Term Frequency: 6         
Term: often                          Term Frequency: 6         
Term: refers                         Term Frequency: 6         
Term: systems                        Term Frequency: 6         
Term: us                             Term Frequency: 6         
Term: walk                           Term Frequency: 6         
Term: how                            Term Frequency: 6         
Term: departments                    Term Frequency: 6         
Term: different                      Term Frequency: 6         
Term: individual                     Term Frequency: 6         
Term: 5                              Term Frequency: 5         
Term: example                        Term Frequency: 5         
Term: rather                         Term Frequency: 5         
Term: construct                      Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: strategies                     Term Frequency: 5         
Term: appropriate                    Term Frequency: 5         
Term: useful                         Term Frequency: 5         
Term: research                       Term Frequency: 5         
Term: approaches                     Term Frequency: 5         
Term: than                           Term Frequency: 5         
Term: development                    Term Frequency: 5         
Term: approach                       Term Frequency: 5         
Term: opportunities                  Term Frequency: 5         
Term: whether                        Term Frequency: 5         
Term: major                          Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: find                           Term Frequency: 5         
Term: stakeholders                   Term Frequency: 5         
Term: becoming                       Term Frequency: 5         
Term: interactions                   Term Frequency: 5         
Term: world                          Term Frequency: 5         
Term: provides                       Term Frequency: 4         
Term: services                       Term Frequency: 4         
Term: teaching                       Term Frequency: 4         
Term: trails                         Term Frequency: 4         
Term: constructs                     Term Frequency: 4         
Term: third                          Term Frequency: 4         
Term: retrieved                      Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: http                           Term Frequency: 4         
Term: specific                       Term Frequency: 4         
Term: attrition                      Term Frequency: 4         
Term: integrated                     Term Frequency: 4         
Term: context                        Term Frequency: 4         
Term: behaviours                     Term Frequency: 4         
Term: modules                        Term Frequency: 4         
Term: shaped                         Term Frequency: 4         
Term: help                           Term Frequency: 4         
Term: analysis                       Term Frequency: 4         
Term: namely                         Term Frequency: 4         
Term: aspirations                    Term Frequency: 4         
Term: understand                     Term Frequency: 4         
Term: clear                          Term Frequency: 4         
Term: prior                          Term Frequency: 4         
Term: 2010                           Term Frequency: 4         
Term: processes                      Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: currently                      Term Frequency: 4         
Term: interventions                  Term Frequency: 4         
Term: educational                    Term Frequency: 4         
Term: number                         Term Frequency: 4         
Term: system                         Term Frequency: 4         
Term: choices                        Term Frequency: 4         
Term: individuals                    Term Frequency: 4         
Term: throughput                     Term Frequency: 4         
Term: case                           Term Frequency: 4         
Term: most                           Term Frequency: 4         
Term: place                          Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: would                          Term Frequency: 3         
Term: 0                              Term Frequency: 3         
Term: 7                              Term Frequency: 3         
