Term: students                       Term Frequency: 102       
Term: teachers                       Term Frequency: 73        
Term: learning                       Term Frequency: 62        
Term: were                           Term Frequency: 48        
Term: analytics                      Term Frequency: 47        
Term: data                           Term Frequency: 41        
Term: predictive                     Term Frequency: 37        
Term: risk                           Term Frequency: 35        
Term: she                            Term Frequency: 35        
Term: use                            Term Frequency: 34        
Term: module                         Term Frequency: 30        
Term: education                      Term Frequency: 25        
Term: who                            Term Frequency: 24        
Term: her                            Term Frequency: 24        
Term: system                         Term Frequency: 22        
Term: what                           Term Frequency: 21        
Term: from                           Term Frequency: 21        
Term: modules                        Term Frequency: 20        
Term: support                        Term Frequency: 20        
Term: predictions                    Term Frequency: 19        
Term: 1                              Term Frequency: 18        
Term: student                        Term Frequency: 18        
Term: them                           Term Frequency: 18        
Term: teacher                        Term Frequency: 17        
Term: about                          Term Frequency: 17        
Term: found                          Term Frequency: 15        
Term: between                        Term Frequency: 15        
Term: 2                              Term Frequency: 14        
Term: have                           Term Frequency: 14        
Term: teaching                       Term Frequency: 14        
Term: when                           Term Frequency: 14        
Term: performance                    Term Frequency: 14        
Term: dashboard                      Term Frequency: 13        
Term: higher                         Term Frequency: 13        
Term: study                          Term Frequency: 12        
Term: which                          Term Frequency: 12        
Term: had                            Term Frequency: 12        
Term: could                          Term Frequency: 12        
Term: access                         Term Frequency: 12        
Term: made                           Term Frequency: 11        
Term: he                             Term Frequency: 11        
Term: university                     Term Frequency: 10        
Term: did                            Term Frequency: 10        
Term: 10                             Term Frequency: 10        
Term: might                          Term Frequency: 10        
Term: all                            Term Frequency: 10        
Term: more                           Term Frequency: 10        
Term: most                           Term Frequency: 10        
Term: technology                     Term Frequency: 10        
Term: would                          Term Frequency: 9         
Term: two                            Term Frequency: 9         
Term: 17                             Term Frequency: 9         
Term: useful                         Term Frequency: 9         
Term: used                           Term Frequency: 9         
Term: one                            Term Frequency: 9         
Term: we                             Term Frequency: 9         
Term: terms                          Term Frequency: 9         
Term: out                            Term Frequency: 9         
Term: groups                         Term Frequency: 9         
Term: time                           Term Frequency: 9         
Term: some                           Term Frequency: 9         
Term: first                          Term Frequency: 9         
Term: flagged                        Term Frequency: 9         
Term: distance                       Term Frequency: 9         
Term: 3                              Term Frequency: 8         
Term: 4                              Term Frequency: 8         
Term: rates                          Term Frequency: 8         
Term: uses                           Term Frequency: 8         
Term: while                          Term Frequency: 8         
Term: yet                            Term Frequency: 8         
Term: how                            Term Frequency: 8         
Term: future                         Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: engagement                     Term Frequency: 8         
