Term: twitter                        Term Frequency: 82        
Term: we                             Term Frequency: 44        
Term: topics                         Term Frequency: 44        
Term: analytics                      Term Frequency: 43        
Term: learning                       Term Frequency: 42        
Term: analysis                       Term Frequency: 37        
Term: were                           Term Frequency: 36        
Term: community                      Term Frequency: 33        
Term: participants                   Term Frequency: 32        
Term: from                           Term Frequency: 30        
Term: each                           Term Frequency: 29        
Term: network                        Term Frequency: 27        
Term: data                           Term Frequency: 26        
Term: tweets                         Term Frequency: 25        
Term: social                         Term Frequency: 25        
Term: conference                     Term Frequency: 25        
Term: 1                              Term Frequency: 23        
Term: conferences                    Term Frequency: 23        
Term: years                          Term Frequency: 23        
Term: research                       Term Frequency: 22        
Term: d                              Term Frequency: 18        
Term: lak12                          Term Frequency: 18        
Term: also                           Term Frequency: 18        
Term: c                              Term Frequency: 17        
Term: s                              Term Frequency: 17        
Term: user                           Term Frequency: 17        
Term: 2                              Term Frequency: 16        
Term: topic                          Term Frequency: 16        
Term: lak14                          Term Frequency: 16        
Term: lak11                          Term Frequency: 16        
Term: new                            Term Frequency: 16        
Term: 2014                           Term Frequency: 16        
Term: more                           Term Frequency: 16        
Term: 4                              Term Frequency: 15        
Term: 5                              Term Frequency: 15        
Term: among                          Term Frequency: 15        
Term: over                           Term Frequency: 15        
Term: 3                              Term Frequency: 14        
Term: 6                              Term Frequency: 14        
Term: use                            Term Frequency: 14        
Term: hashtags                       Term Frequency: 14        
Term: figure                         Term Frequency: 14        
Term: information                    Term Frequency: 13        
Term: have                           Term Frequency: 13        
Term: could                          Term Frequency: 13        
Term: ing                            Term Frequency: 13        
Term: all                            Term Frequency: 13        
Term: b                              Term Frequency: 12        
Term: academic                       Term Frequency: 12        
Term: users                          Term Frequency: 12        
Term: hashtag                        Term Frequency: 12        
Term: first                          Term Frequency: 12        
Term: its                            Term Frequency: 12        
Term: using                          Term Frequency: 12        
Term: lak13                          Term Frequency: 12        
Term: communities                    Term Frequency: 12        
Term: dataset                        Term Frequency: 12        
Term: participation                  Term Frequency: 12        
Term: based                          Term Frequency: 11        
Term: field                          Term Frequency: 11        
Term: 2011                           Term Frequency: 11        
Term: 2010                           Term Frequency: 11        
Term: 8                              Term Frequency: 10        
Term: study                          Term Frequency: 10        
Term: who                            Term Frequency: 10        
Term: because                        Term Frequency: 10        
Term: during                         Term Frequency: 10        
Term: through                        Term Frequency: 10        
Term: 9                              Term Frequency: 9         
Term: year                           Term Frequency: 9         
Term: proceedings                    Term Frequency: 9         
Term: retweets                       Term Frequency: 9         
Term: has                            Term Frequency: 9         
Term: related                        Term Frequency: 9         
Term: cluster                        Term Frequency: 9         
Term: interaction                    Term Frequency: 9         
Term: pages                          Term Frequency: 9         
Term: media                          Term Frequency: 9         
Term: used                           Term Frequency: 9         
Term: knowledge                      Term Frequency: 9         
Term: some                           Term Frequency: 9         
Term: 2012                           Term Frequency: 9         
Term: interactions                   Term Frequency: 9         
Term: 7                              Term Frequency: 8         
Term: flow                           Term Frequency: 8         
Term: further                        Term Frequency: 8         
Term: 10                             Term Frequency: 8         
Term: 34                             Term Frequency: 8         
Term: which                          Term Frequency: 8         
Term: terms                          Term Frequency: 8         
Term: tion                           Term Frequency: 8         
Term: descriptive                    Term Frequency: 8         
