Term: analytics                      Term Frequency: 128       
Term: learning                       Term Frequency: 127       
Term: institutions                   Term Frequency: 86        
Term: data                           Term Frequency: 80        
Term: institutional                  Term Frequency: 62        
Term: factor                         Term Frequency: 60        
Term: were                           Term Frequency: 59        
Term: institution                    Term Frequency: 55        
Term: analysis                       Term Frequency: 55        
Term: from                           Term Frequency: 47        
Term: than                           Term Frequency: 39        
Term: readiness                      Term Frequency: 36        
Term: p                              Term Frequency: 35        
Term: 1                              Term Frequency: 33        
Term: professionals                  Term Frequency: 33        
Term: factors                        Term Frequency: 32        
Term: culture                        Term Frequency: 30        
Term: lower                          Term Frequency: 30        
Term: survey                         Term Frequency: 29        
Term: expertise                      Term Frequency: 27        
Term: respondents                    Term Frequency: 26        
Term: higher                         Term Frequency: 26        
Term: implement                      Term Frequency: 25        
Term: faculty                        Term Frequency: 25        
Term: items                          Term Frequency: 24        
Term: research                       Term Frequency: 23        
Term: within                         Term Frequency: 23        
Term: all                            Term Frequency: 23        
Term: education                      Term Frequency: 22        
Term: application                    Term Frequency: 22        
Term: each                           Term Frequency: 22        
Term: new                            Term Frequency: 22        
Term: management                     Term Frequency: 22        
Term: organizational                 Term Frequency: 22        
Term: have                           Term Frequency: 21        
Term: average                        Term Frequency: 20        
Term: scores                         Term Frequency: 20        
Term: student                        Term Frequency: 19        
Term: had                            Term Frequency: 19        
Term: feedback                       Term Frequency: 19        
Term: 3                              Term Frequency: 18        
Term: n                              Term Frequency: 18        
Term: also                           Term Frequency: 18        
Term: training                       Term Frequency: 17        
Term: doi                            Term Frequency: 17        
Term: implementation                 Term Frequency: 17        
Term: how                            Term Frequency: 17        
Term: different                      Term Frequency: 17        
Term: significantly                  Term Frequency: 17        
Term: can                            Term Frequency: 17        
Term: s                              Term Frequency: 16        
Term: academic                       Term Frequency: 16        
Term: use                            Term Frequency: 16        
Term: while                          Term Frequency: 16        
Term: about                          Term Frequency: 16        
Term: five                           Term Frequency: 16        
Term: beta                           Term Frequency: 15        
Term: points                         Term Frequency: 15        
Term: should                         Term Frequency: 15        
Term: ethical                        Term Frequency: 15        
Term: more                           Term Frequency: 15        
Term: 2                              Term Frequency: 14        
Term: 4                              Term Frequency: 14        
Term: roles                          Term Frequency: 14        
Term: point                          Term Frequency: 14        
Term: university                     Term Frequency: 14        
Term: field                          Term Frequency: 14        
Term: provided                       Term Frequency: 13        
Term: communication                  Term Frequency: 13        
Term: particularly                   Term Frequency: 13        
Term: individuals                    Term Frequency: 13        
Term: policy                         Term Frequency: 13        
Term: well                           Term Frequency: 13        
Term: alpha                          Term Frequency: 13        
Term: loading                        Term Frequency: 13        
Term: 5                              Term Frequency: 12        
Term: 6                              Term Frequency: 12        
Term: role                           Term Frequency: 12        
Term: multiple                       Term Frequency: 12        
Term: success                        Term Frequency: 12        
Term: has                            Term Frequency: 12        
Term: administrators                 Term Frequency: 12        
Term: instrument                     Term Frequency: 12        
Term: members                        Term Frequency: 12        
Term: process                        Term Frequency: 12        
Term: other                          Term Frequency: 12        
Term: results                        Term Frequency: 12        
Term: information                    Term Frequency: 11        
Term: further                        Term Frequency: 11        
Term: work                           Term Frequency: 11        
Term: http                           Term Frequency: 11        
Term: authors                        Term Frequency: 11        
Term: who                            Term Frequency: 11        
Term: which                          Term Frequency: 11        
Term: type                           Term Frequency: 11        
Term: deans                          Term Frequency: 11        
Term: using                          Term Frequency: 11        
Term: available                      Term Frequency: 11        
Term: technology                     Term Frequency: 11        
Term: only                           Term Frequency: 11        
Term: students                       Term Frequency: 11        
Term: identified                     Term Frequency: 11        
Term: knowledge                      Term Frequency: 11        
Term: change                         Term Frequency: 11        
Term: researchers                    Term Frequency: 10        
Term: perceptions                    Term Frequency: 10        
Term: need                           Term Frequency: 10        
Term: systems                        Term Frequency: 10        
Term: those                          Term Frequency: 10        
Term: individual                     Term Frequency: 10        
Term: perceived                      Term Frequency: 10        
Term: associated                     Term Frequency: 10        
Term: institution’s                  Term Frequency: 10        
Term: used                           Term Frequency: 10        
Term: practices                      Term Frequency: 10        
Term: model                          Term Frequency: 10        
Term: staff                          Term Frequency: 9         
Term: understanding                  Term Frequency: 9         
Term: 0.001                          Term Frequency: 9         
Term: administration                 Term Frequency: 9         
Term: expansive                      Term Frequency: 9         
Term: could                          Term Frequency: 9         
Term: characteristics                Term Frequency: 9         
Term: paper                          Term Frequency: 9         
Term: its                            Term Frequency: 9         
Term: level                          Term Frequency: 9         
Term: would                          Term Frequency: 9         
Term: activity                       Term Frequency: 9         
Term: capacity                       Term Frequency: 9         
Term: score                          Term Frequency: 9         
Term: through                        Term Frequency: 9         
Term: large                          Term Frequency: 9         
Term: implementing                   Term Frequency: 9         
Term: across                         Term Frequency: 8         
Term: study                          Term Frequency: 8         
Term: various                        Term Frequency: 8         
Term: do                             Term Frequency: 8         
Term: ability                        Term Frequency: 8         
Term: necessary                      Term Frequency: 8         
Term: first                          Term Frequency: 8         
Term: important                      Term Frequency: 8         
Term: high                           Term Frequency: 8         
Term: cross                          Term Frequency: 8         
Term: others                         Term Frequency: 8         
Term: overall                        Term Frequency: 8         
Term: experience                     Term Frequency: 8         
Term: regarding                      Term Frequency: 8         
Term: because                        Term Frequency: 8         
Term: similar                        Term Frequency: 8         
Term: one                            Term Frequency: 8         
Term: development                    Term Frequency: 8         
Term: pdf                            Term Frequency: 8         
Term: processes                      Term Frequency: 8         
Term: both                           Term Frequency: 8         
Term: 7                              Term Frequency: 7         
Term: 8                              Term Frequency: 7         
Term: regard                         Term Frequency: 7         
Term: measures                       Term Frequency: 7         
Term: specifically                   Term Frequency: 7         
Term: included                       Term Frequency: 7         
Term: 15                             Term Frequency: 7         
Term: 16                             Term Frequency: 7         
Term: many                           Term Frequency: 7         
