Term: students                       Term Frequency: 71        
Term: data                           Term Frequency: 38        
Term: we                             Term Frequency: 34        
Term: math                           Term Frequency: 23        
Term: 1                              Term Frequency: 22        
Term: learning                       Term Frequency: 22        
Term: online                         Term Frequency: 22        
Term: first                          Term Frequency: 21        
Term: college                        Term Frequency: 21        
Term: engagement                     Term Frequency: 20        
Term: from                           Term Frequency: 19        
Term: student                        Term Frequency: 17        
Term: persistence                    Term Frequency: 17        
Term: productive                     Term Frequency: 17        
Term: success                        Term Frequency: 16        
Term: course                         Term Frequency: 14        
Term: levels                         Term Frequency: 13        
Term: which                          Term Frequency: 13        
Term: platform                       Term Frequency: 12        
Term: community                      Term Frequency: 12        
Term: education                      Term Frequency: 12        
Term: our                            Term Frequency: 12        
Term: during                         Term Frequency: 12        
Term: level                          Term Frequency: 12        
Term: week                           Term Frequency: 12        
Term: conceptual                     Term Frequency: 11        
Term: knowledge                      Term Frequency: 11        
Term: system                         Term Frequency: 11        
Term: were                           Term Frequency: 10        
Term: study                          Term Frequency: 10        
Term: who                            Term Frequency: 10        
Term: self                           Term Frequency: 10        
Term: indicators                     Term Frequency: 10        
Term: report                         Term Frequency: 10        
Term: can                            Term Frequency: 10        
Term: mindset                        Term Frequency: 9         
Term: each                           Term Frequency: 9         
Term: across                         Term Frequency: 9         
Term: developmental                  Term Frequency: 9         
Term: 2013                           Term Frequency: 9         
Term: have                           Term Frequency: 8         
Term: low                            Term Frequency: 8         
Term: module                         Term Frequency: 8         
Term: assessment                     Term Frequency: 8         
Term: summative                      Term Frequency: 8         
Term: belonging                      Term Frequency: 8         
Term: results                        Term Frequency: 8         
Term: more                           Term Frequency: 8         
Term: also                           Term Frequency: 8         
Term: high                           Term Frequency: 8         
Term: 3                              Term Frequency: 7         
Term: activities                     Term Frequency: 7         
Term: two                            Term Frequency: 7         
Term: mathematics                    Term Frequency: 7         
Term: understanding                  Term Frequency: 7         
Term: plan                           Term Frequency: 7         
Term: classroom                      Term Frequency: 7         
Term: checkpoint                     Term Frequency: 7         
Term: improvement                    Term Frequency: 7         
Term: using                          Term Frequency: 7         
Term: surprised                      Term Frequency: 7         
Term: 2                              Term Frequency: 6         
Term: 4                              Term Frequency: 6         
