Term: collaboration                  Term Frequency: 46        
Term: cohesion                       Term Frequency: 36        
Term: each                           Term Frequency: 30        
Term: semantic                       Term Frequency: 29        
Term: from                           Term Frequency: 27        
Term: we                             Term Frequency: 24        
Term: between                        Term Frequency: 24        
Term: participants                   Term Frequency: 23        
Term: conversation                   Term Frequency: 22        
Term: knowledge                      Term Frequency: 22        
Term: utterances                     Term Frequency: 22        
Term: discourse                      Term Frequency: 21        
Term: through                        Term Frequency: 20        
Term: chat                           Term Frequency: 19        
Term: based                          Term Frequency: 19        
Term: building                       Term Frequency: 18        
Term: zones                          Term Frequency: 17        
Term: words                          Term Frequency: 17        
Term: model                          Term Frequency: 17        
Term: social                         Term Frequency: 17        
Term: cohesive                       Term Frequency: 16        
Term: utterance                      Term Frequency: 16        
Term: analysis                       Term Frequency: 15        
Term: other                          Term Frequency: 15        
Term: learning                       Term Frequency: 14        
Term: can                            Term Frequency: 14        
Term: conversations                  Term Frequency: 13        
Term: collaborative                  Term Frequency: 13        
Term: our                            Term Frequency: 13        
Term: 2                              Term Frequency: 12        
Term: links                          Term Frequency: 12        
Term: intense                        Term Frequency: 12        
Term: terms                          Term Frequency: 12        
Term: process                        Term Frequency: 12        
Term: within                         Term Frequency: 12        
Term: 4                              Term Frequency: 11        
Term: 5                              Term Frequency: 11        
Term: overall                        Term Frequency: 11        
Term: importance                     Term Frequency: 11        
Term: specific                       Term Frequency: 11        
Term: which                          Term Frequency: 11        
Term: textual                        Term Frequency: 11        
Term: its                            Term Frequency: 11        
Term: personal                       Term Frequency: 11        
Term: 1                              Term Frequency: 10        
Term: multiple                       Term Frequency: 10        
Term: have                           Term Frequency: 10        
Term: were                           Term Frequency: 10        
Term: text                           Term Frequency: 10        
Term: different                      Term Frequency: 10        
Term: 3                              Term Frequency: 9         
Term: 6                              Term Frequency: 9         
Term: word                           Term Frequency: 9         
Term: lexical                        Term Frequency: 9         
Term: more                           Term Frequency: 9         
Term: b                              Term Frequency: 8         
Term: computational                  Term Frequency: 8         
Term: ideas                          Term Frequency: 8         
Term: among                          Term Frequency: 8         
Term: used                           Term Frequency: 8         
Term: presented                      Term Frequency: 8         
Term: previous                       Term Frequency: 8         
Term: therefore                      Term Frequency: 8         
Term: same                           Term Frequency: 7         
Term: interaction                    Term Frequency: 7         
Term: assessment                     Term Frequency: 7         
Term: relevance                      Term Frequency: 7         
Term: students                       Term Frequency: 7         
Term: section                        Term Frequency: 7         
Term: has                            Term Frequency: 7         
Term: identified                     Term Frequency: 7         
Term: score                          Term Frequency: 7         
Term: all                            Term Frequency: 7         
Term: using                          Term Frequency: 7         
Term: reflected                      Term Frequency: 7         
Term: c                              Term Frequency: 6         
Term: p                              Term Frequency: 6         
Term: speakers                       Term Frequency: 6         
Term: order                          Term Frequency: 6         
Term: 10                             Term Frequency: 6         
Term: models                         Term Frequency: 6         
Term: correlations                   Term Frequency: 6         
Term: language                       Term Frequency: 6         
Term: similarity                     Term Frequency: 6         
Term: underlying                     Term Frequency: 6         
Term: must                           Term Frequency: 6         
Term: evaluating                     Term Frequency: 6         
Term: wordnet                        Term Frequency: 6         
Term: annotated                      Term Frequency: 6         
Term: first                          Term Frequency: 6         
Term: educational                    Term Frequency: 6         
Term: local                          Term Frequency: 6         
Term: regards                        Term Frequency: 6         
Term: 8                              Term Frequency: 5         
Term: 9                              Term Frequency: 5         
Term: information                    Term Frequency: 5         
Term: e.g                            Term Frequency: 5         
Term: inter                          Term Frequency: 5         
