Term: student                        Term Frequency: 37        
Term: probability                    Term Frequency: 33        
Term: students                       Term Frequency: 29        
Term: we                             Term Frequency: 29        
Term: model                          Term Frequency: 27        
Term: prior                          Term Frequency: 24        
Term: belief                         Term Frequency: 22        
Term: from                           Term Frequency: 20        
Term: 1                              Term Frequency: 19        
Term: individual                     Term Frequency: 19        
Term: data                           Term Frequency: 16        
Term: algorithm                      Term Frequency: 14        
Term: over                           Term Frequency: 14        
Term: context                        Term Frequency: 12        
Term: her                            Term Frequency: 12        
Term: knowledge                      Term Frequency: 12        
Term: learning                       Term Frequency: 11        
Term: 2                              Term Frequency: 10        
Term: d                              Term Frequency: 10        
Term: p                              Term Frequency: 10        
Term: correct                        Term Frequency: 10        
Term: likelihood                     Term Frequency: 10        
Term: item                           Term Frequency: 10        
Term: can                            Term Frequency: 10        
Term: 4                              Term Frequency: 9         
Term: items                          Term Frequency: 9         
Term: than                           Term Frequency: 9         
Term: personalization                Term Frequency: 9         
Term: how                            Term Frequency: 9         
Term: answers                        Term Frequency: 9         
Term: 3                              Term Frequency: 8         
Term: each                           Term Frequency: 8         
Term: may                            Term Frequency: 8         
Term: behavior                       Term Frequency: 8         
Term: prediction                     Term Frequency: 8         
Term: framework                      Term Frequency: 8         
Term: incorrect                      Term Frequency: 8         
Term: proportion                     Term Frequency: 8         
Term: s                              Term Frequency: 7         
Term: rather                         Term Frequency: 7         
Term: about                          Term Frequency: 7         
Term: posterior                      Term Frequency: 7         
Term: psychology                     Term Frequency: 7         
Term: some                           Term Frequency: 7         
Term: all                            Term Frequency: 7         
Term: predict                        Term Frequency: 7         
Term: using                          Term Frequency: 7         
Term: quiz                           Term Frequency: 6         
Term: impact                         Term Frequency: 6         
Term: sense                          Term Frequency: 6         
Term: being                          Term Frequency: 6         
Term: structure                      Term Frequency: 6         
Term: way                            Term Frequency: 6         
Term: simulated                      Term Frequency: 6         
Term: do                             Term Frequency: 6         
Term: our                            Term Frequency: 6         
Term: statements                     Term Frequency: 6         
Term: performance                    Term Frequency: 6         
Term: accuracy                       Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: also                           Term Frequency: 6         
Term: stu                            Term Frequency: 6         
Term: only                           Term Frequency: 6         
Term: provides                       Term Frequency: 5         
Term: have                           Term Frequency: 5         
Term: three                          Term Frequency: 5         
Term: use                            Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: 30                             Term Frequency: 5         
Term: increasing                     Term Frequency: 5         
Term: logical                        Term Frequency: 5         
Term: against                        Term Frequency: 5         
Term: what                           Term Frequency: 5         
Term: which                          Term Frequency: 5         
Term: decreasing                     Term Frequency: 5         
Term: estimate                       Term Frequency: 5         
Term: factors                        Term Frequency: 5         
Term: given                          Term Frequency: 5         
Term: tion                           Term Frequency: 5         
Term: validation                     Term Frequency: 5         
Term: ing                            Term Frequency: 5         
Term: probabilistic                  Term Frequency: 5         
Term: hypothesis                     Term Frequency: 5         
Term: more                           Term Frequency: 5         
Term: both                           Term Frequency: 5         
Term: dent                           Term Frequency: 5         
Term: makes                          Term Frequency: 5         
Term: between                        Term Frequency: 5         
Term: example                        Term Frequency: 4         
Term: rational                       Term Frequency: 4         
Term: information                    Term Frequency: 4         
Term: were                           Term Frequency: 4         
Term: concept                        Term Frequency: 4         
Term: average                        Term Frequency: 4         
Term: under                          Term Frequency: 4         
Term: becomes                        Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: modelling                      Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: predictions                    Term Frequency: 4         
Term: student’s                      Term Frequency: 4         
Term: new                            Term Frequency: 4         
Term: represented                    Term Frequency: 4         
Term: who                            Term Frequency: 4         
Term: sudden                         Term Frequency: 4         
Term: cognitive                      Term Frequency: 4         
Term: so                             Term Frequency: 4         
Term: problem                        Term Frequency: 4         
Term: terms                          Term Frequency: 4         
Term: here                           Term Frequency: 4         
Term: approach                       Term Frequency: 4         
Term: linear                         Term Frequency: 4         
Term: has                            Term Frequency: 4         
Term: group                          Term Frequency: 4         
Term: values                         Term Frequency: 4         
Term: within                         Term Frequency: 4         
Term: task                           Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: people                         Term Frequency: 4         
Term: rule                           Term Frequency: 4         
Term: abstract                       Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: estimates                      Term Frequency: 4         
Term: generate                       Term Frequency: 4         
Term: following                      Term Frequency: 4         
Term: left                           Term Frequency: 3         
Term: 5                              Term Frequency: 3         
Term: 6                              Term Frequency: 3         
Term: beliefs                        Term Frequency: 3         
Term: applied                        Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: better                         Term Frequency: 3         
Term: noise                          Term Frequency: 3         
Term: does                           Term Frequency: 3         
Term: start                          Term Frequency: 3         
Term: requires                       Term Frequency: 3         
Term: means                          Term Frequency: 3         
Term: further                        Term Frequency: 3         
Term: operational                    Term Frequency: 3         
Term: computational                  Term Frequency: 3         
Term: test                           Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: 0.75                           Term Frequency: 3         
Term: 13                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: substantial                    Term Frequency: 3         
Term: sequence                       Term Frequency: 3         
Term: pages                          Term Frequency: 3         
Term: models                         Term Frequency: 3         
Term: psychometrics                  Term Frequency: 3         
Term: contextual                     Term Frequency: 3         
Term: used                           Term Frequency: 3         
Term: uses                           Term Frequency: 3         
Term: de                             Term Frequency: 3         
Term: ability                        Term Frequency: 3         
Term: them                           Term Frequency: 3         
Term: re                             Term Frequency: 3         
Term: one                            Term Frequency: 3         
Term: single                         Term Frequency: 3         
Term: us                             Term Frequency: 3         
Term: proof                          Term Frequency: 3         
Term: weighted                       Term Frequency: 3         
Term: perform                        Term Frequency: 3         
Term: per                            Term Frequency: 3         
Term: pre                            Term Frequency: 3         
Term: stronger                       Term Frequency: 3         
Term: conclusions                    Term Frequency: 3         
Term: ways                           Term Frequency: 3         
Term: since                          Term Frequency: 3         
Term: multiplied                     Term Frequency: 3         
Term: membership                     Term Frequency: 3         
Term: score                          Term Frequency: 3         
Term: variation                      Term Frequency: 3         
Term: number                         Term Frequency: 3         
Term: property                       Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: either                         Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: difficulty                     Term Frequency: 3         
Term: benefits                       Term Frequency: 3         
Term: suddenly                       Term Frequency: 3         
Term: rely                           Term Frequency: 3         
Term: priorknowledge                 Term Frequency: 3         
Term: most                           Term Frequency: 3         
Term: personal                       Term Frequency: 3         
Term: words                          Term Frequency: 3         
Term: thelikelihood                  Term Frequency: 3         
Term: she                            Term Frequency: 3         
Term: level                          Term Frequency: 3         
Term: conditions                     Term Frequency: 3         
Term: confirm                        Term Frequency: 3         
Term: demonstrate                    Term Frequency: 3         
Term: goal                           Term Frequency: 3         
Term: successfully                   Term Frequency: 2         
Term: 7                              Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: 1000                           Term Frequency: 2         
Term: heuristics                     Term Frequency: 2         
Term: resolve                        Term Frequency: 2         
Term: making                         Term Frequency: 2         
Term: automate                       Term Frequency: 2         
Term: inter                          Term Frequency: 2         
Term: question                       Term Frequency: 2         
Term: con                            Term Frequency: 2         
Term: less                           Term Frequency: 2         
Term: linearly                       Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: 1931                           Term Frequency: 2         
Term: overall                        Term Frequency: 2         
Term: assume                         Term Frequency: 2         
Term: subgroups                      Term Frequency: 2         
Term: 1994                           Term Frequency: 2         
Term: prob                           Term Frequency: 2         
Term: priors                         Term Frequency: 2         
Term: experience                     Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: editors                        Term Frequency: 2         
Term: methodology                    Term Frequency: 2         
Term: subgroup                       Term Frequency: 2         
Term: unlike                         Term Frequency: 2         
Term: indi                           Term Frequency: 2         
Term: dif                            Term Frequency: 2         
Term: down                           Term Frequency: 2         
Term: brings                         Term Frequency: 2         
Term: 0.25                           Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: 0.50                           Term Frequency: 2         
Term: text                           Term Frequency: 2         
Term: 0.84                           Term Frequency: 2         
Term: 0.83                           Term Frequency: 2         
Term: psychological                  Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: 59                             Term Frequency: 2         
Term: common                         Term Frequency: 2         
Term: mod                            Term Frequency: 2         
Term: attempts                       Term Frequency: 2         
Term: estimation                     Term Frequency: 2         
Term: priorsfor                      Term Frequency: 2         
Term: thecurrent                     Term Frequency: 2         
Term: proportional                   Term Frequency: 2         
Term: estimating                     Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: characterize                   Term Frequency: 2         
Term: student‘s                      Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: education                      Term Frequency: 2         
Term: tions                          Term Frequency: 2         
Term: indicates                      Term Frequency: 2         
Term: individually                   Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: formulation                    Term Frequency: 2         
Term: cess                           Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: dicting                        Term Frequency: 2         
Term: statement                      Term Frequency: 2         
Term: when                           Term Frequency: 2         
Term: certain                        Term Frequency: 2         
Term: statistics                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: unsupervised                   Term Frequency: 2         
Term: student’sbehavior              Term Frequency: 2         
Term: estimationabout                Term Frequency: 2         
Term: confirms                       Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: likely                         Term Frequency: 2         
Term: predicting                     Term Frequency: 2         
Term: ofa                            Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: second                         Term Frequency: 2         
Term: weighting                      Term Frequency: 2         
Term: allows                         Term Frequency: 2         
Term: determine                      Term Frequency: 2         
Term: 0.053                          Term Frequency: 2         
Term: vs                             Term Frequency: 2         
Term: drop                           Term Frequency: 2         
Term: 0.077                          Term Frequency: 2         
Term: method                         Term Frequency: 2         
Term: distribution                   Term Frequency: 2         
Term: mathematical                   Term Frequency: 2         
Term: dashed                         Term Frequency: 2         
Term: revise                         Term Frequency: 2         
Term: underlying                     Term Frequency: 2         
Term: ever                           Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: particularly                   Term Frequency: 2         
Term: discussed                      Term Frequency: 2         
Term: who’s                          Term Frequency: 2         
Term: represents                     Term Frequency: 2         
Term: 0.237                          Term Frequency: 2         
Term: swer                           Term Frequency: 2         
Term: 30items                        Term Frequency: 2         
Term: characterizing                 Term Frequency: 2         
Term: early                          Term Frequency: 2         
Term: thehypothesis                  Term Frequency: 2         
Term: time                           Term Frequency: 2         
Term: knowledgeand                   Term Frequency: 2         
Term: latent                         Term Frequency: 2         
Term: choice                         Term Frequency: 2         
Term: psycho                         Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: mean                           Term Frequency: 2         
Term: jump                           Term Frequency: 2         
Term: series                         Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: 2017                           Term Frequency: 2         
Term: thereis                        Term Frequency: 2         
Term: distributions                  Term Frequency: 2         
Term: find                           Term Frequency: 2         
Term: simulations                    Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: operationalized                Term Frequency: 2         
Term: cannot                         Term Frequency: 2         
Term: first                          Term Frequency: 2         
Term: paper                          Term Frequency: 2         
Term: track                          Term Frequency: 2         
Term: building                       Term Frequency: 2         
Term: theposterior                   Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: behave                         Term Frequency: 2         
Term: truth                          Term Frequency: 2         
Term: learners                       Term Frequency: 2         
Term: intuitive                      Term Frequency: 2         
Term: any                            Term Frequency: 2         
Term: handed                         Term Frequency: 2         
Term: increases                      Term Frequency: 2         
Term: asa                            Term Frequency: 2         
Term: algo                           Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: individuals                    Term Frequency: 2         
Term: view                           Term Frequency: 2         
Term: those                          Term Frequency: 2         
Term: parameters                     Term Frequency: 2         
Term: assuming                       Term Frequency: 2         
Term: purely                         Term Frequency: 2         
Term: aptitude                       Term Frequency: 2         
Term: important                      Term Frequency: 2         
Term: job                            Term Frequency: 2         
Term: treating                       Term Frequency: 2         
Term: subsequent                     Term Frequency: 2         
Term: world                          Term Frequency: 2         
Term: change                         Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: directly                       Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: nature                         Term Frequency: 2         
Term: objective                      Term Frequency: 2         
Term: current                        Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: frequency                      Term Frequency: 2         
Term: idea                           Term Frequency: 2         
Term: reach                          Term Frequency: 2         
Term: tested                         Term Frequency: 2         
Term: substantially                  Term Frequency: 2         
Term: should                         Term Frequency: 2         
Term: would                          Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: hand                           Term Frequency: 1         
Term: becausewe                      Term Frequency: 1         
Term: imag                           Term Frequency: 1         
Term: accumulated                    Term Frequency: 1         
Term: illegitimate                   Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: predicted                      Term Frequency: 1         
Term: characteristicswere            Term Frequency: 1         
Term: cir                            Term Frequency: 1         
Term: termine                        Term Frequency: 1         
Term: inthe                          Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: matter                         Term Frequency: 1         
Term: priorprobability               Term Frequency: 1         
Term: implications                   Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: iscommon                       Term Frequency: 1         
Term: academic                       Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: ordis                          Term Frequency: 1         
Term: storiesin                      Term Frequency: 1         
Term: 2000s                          Term Frequency: 1         
Term: circumstances                  Term Frequency: 1         
Term: orderof                        Term Frequency: 1         
Term: condition                      Term Frequency: 1         
Term: anovel                         Term Frequency: 1         
Term: try                            Term Frequency: 1         
Term: studentas                      Term Frequency: 1         
Term: possibility                    Term Frequency: 1         
Term: ques                           Term Frequency: 1         
Term: theirprior                     Term Frequency: 1         
Term: proba                          Term Frequency: 1         
Term: intertiary                     Term Frequency: 1         
Term: respond                        Term Frequency: 1         
Term: splits                         Term Frequency: 1         
Term: uncertain                      Term Frequency: 1         
Term: defines                        Term Frequency: 1         
Term: thisintuition:p                Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: 249                            Term Frequency: 1         
Term: thirty                         Term Frequency: 1         
Term: distribu                       Term Frequency: 1         
Term: networks                       Term Frequency: 1         
Term: 253                            Term Frequency: 1         
Term: scenario                       Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: replaced                       Term Frequency: 1         
Term: 260                            Term Frequency: 1         
Term: lin                            Term Frequency: 1         
Term: 278                            Term Frequency: 1         
Term: 281                            Term Frequency: 1         
Term: 287                            Term Frequency: 1         
Term: easiest                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: away                           Term Frequency: 1         
Term: estimateswithout               Term Frequency: 1         
