Word                           CF TF-IDF
-----------------------------------
cfa                            24.42400721514802
polytomous                     20.72000601262335
irt                            19.956124005328256
mcfa                           13.335722925343012
grm                            13.335722925343012
scfa                           10.251792194007258
group ii                       10.251792194007258
mec                            10.251792194007258
ec                             8.862389333526405
dichotomization                8.709826828339382
omits                          7.373335337541117
na                             7.256359140383877
crms                           5.625896097003629
unpenalized                    5.625896097003629
subparts                       5.625896097003629
treating                       5.061617913001285
applied psychological measurement 4.70400120252467
ets reseach                    4.70400120252467
dichotomous                    4.4357497942058455
allowance                      4.40400120252467
