Word                           TF-IDF
-----------------------------------
ecosurvey                      174.36448720087716
organisms                      149.78800265495704
maria                          116.65780649229885
modeling                       110.07619578555101
practices                      101.86421628781126
card                           93.46213434750965
chavez                         85.68062813788212
organism                       70.63802683640552
cards                          63.97630483124401
students                       62.5229754311109
scientific                     55.32030478715799
student                        54.396090650989215
iteration                      53.186924055230165
models                         51.64072033522001
classrooms                     47.01557353494398
ecosystem                      46.948255223254236
differences                    45.407280633882515
actions                        42.687226210902104
model                          40.71373993274432
variation                      39.51552656172505
